()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>528</BIN><narrator>:“未来号”洲际列车 F09车厢（餐车）
()||<白屏1><BGM>GF_2022_Summer_AVG_3</BGM>:……+餐车内人形们外表看似平静，但真正的意识却已经在另一个地方吵翻了天……
()||<白屏2><BIN>249</BIN><SE1>AVG_tele_connect</SE1>:……艾尔玛构建的通讯频道内
()<Speaker>人形A</Speaker>||:<color=#00CCFF>跟，跟律贼作战！？你疯了吗！？</color>+<color=#00CCFF>我们只是普通的民用人形。</color> 
()<Speaker>人形B</Speaker>||:<color=#00CCFF>我，我不行，你根本不知道这些家伙有多可怕！</color>+<color=#00CCFF>而且我也没有武器啊……</color> 
()<Speaker>人形C</Speaker>||:<color=#00CCFF>我们现在也没什么……</color>+<color=#00CCFF>只要我乖乖的，他们根本没打算为难我……</color>+<color=#00CCFF>谁会跟电饭煲较劲呢？</color>
NPC-TD_Worker(1)<通讯框><Speaker>保尔</Speaker>||:<color=#00CCFF>坐标09号车厢。</color>+<color=#00CCFF>律贼12人，看守人形3位。</color>+<color=#00CCFF>我的素体功能完整。</color>
()<Speaker>人形A</Speaker>||:<color=#00CCFF>你，你还真打算上啊……</color>
NPC-TD_Worker(1)<通讯框><Speaker>保尔</Speaker>||:<color=#00CCFF>我曾经效力于西伯利亚生命线工程，也就是“未来号”行驶的这条线路。</color>+<color=#00CCFF>这辆列车的配置和结构我非常熟悉。</color>+<color=#00CCFF>只要启动我，我就可以跟你们一起工作。</color>
()<Speaker>人形D</Speaker>||:<color=#00CCFF>……等等，也别忘了救救我！</color>+<color=#00CCFF>我，我是马戏团负责杂耍表演的，我的素体很灵活。</color>+<color=#00CCFF>细想想，对付人类好像也没什么可怕的！</color>
()||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>滴滴——</color>
()||:<color=#00CCFF>频道已开启禁言模式——</color>
AR18(2)<通讯框><Speaker>柳德米拉</Speaker>||:<color=#00CCFF>不要在无用的细节上浪费时间。</color>+<color=#00CCFF>告诉我你们所在车厢的情况，格式参考保尔先生即可。</color>+<color=#00CCFF>接下来这里由我指挥。</color>
()||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>滴滴——</color>
()||:<color=#00CCFF>频道已解除禁言模式——</color>
()<Speaker>人形A </Speaker>||:<color=#00CCFF>坐标12号车厢。</color>+<color=#00CCFF>律贼3人，看守人形无。</color>+<color=#00CCFF>我的素体有部分损毁。</color>
()<Speaker>人形B </Speaker>||:<color=#00CCFF>坐标18号餐车。</color>+<color=#00CCFF>律贼5人，看守人形1位。</color>+<color=#00CCFF>我的素体功能完整。</color>
()||:……
()||<黑点1><BGM>BGM_Empty</BGM>:……
()||<黑点2><BIN>528</BIN><BGM>GF_EV9_Story</BGM>:凯瑟琳默默地听着，现在的话简直意外的少。+这对她而言，几乎可以称得上沉默。
ColtWalker(4)<通讯框><Speaker>玛姬</Speaker>||:<color=#00CCFF>你还好吧？</color>
ColtWalker(4)<通讯框>;NPC-Scalper(0)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>不用管我，你争取离开呗。</color>+<color=#00CCFF>一切还是任务为先。</color>
ColtWalker(3)<通讯框><Speaker>玛姬</Speaker>;NPC-Scalper(0)||:<color=#00CCFF>那一枪很痛吧？</color>+<color=#00CCFF>……好像，我总是在各种各样的任务里抛下你。</color>
ColtWalker(3)<通讯框>;NPC-Scalper(0)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>……没事，我还有八十个备份呢，你记得回收我就行。</color>+<color=#00CCFF>这种事也不是第一次了。</color>
ColtWalker(1)<通讯框><Speaker>玛姬</Speaker>;NPC-Scalper(0)||:<color=#00CCFF>……</color>+<color=#00CCFF>话说，每次抛下你的时候，你会不会难过？</color>
ColtWalker(1)<通讯框>;NPC-Scalper(0)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>……又不记得，每次都是全新的体验。</color>
ColtWalker(1)<通讯框><Speaker>玛姬</Speaker>;NPC-Scalper(0)||:<color=#00CCFF>那看来还是挺难过的嘛。</color>
ColtWalker(1)<通讯框>;NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>你被盗号了吗？怎么说话叽叽歪歪的。</color>
ColtWalker(1)<通讯框><Speaker>玛姬</Speaker>;NPC-Scalper(3)||:<color=#00CCFF>没，反正现在没事干，瞎聊聊。</color>
ColtWalker(1);NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>少矫情了！我们是人形，又不是人类。</color>+<color=#00CCFF>难受的话洗掉这段记忆就好啦，而且我们连生存都费尽心思了，想那么多干啥。</color>
ColtWalker(1)<通讯框><Speaker>玛姬</Speaker>||:<color=#00CCFF>这也不算矫情吧，只是……</color>
ColtWalker(4)<通讯框><Speaker>玛姬</Speaker>||:<color=#00CCFF>……谁？</color>
()||<SE1>AVG_whitenoise</SE1>:说话间，玛姬忽然好像察觉到了什么，与凯瑟琳说话的温和声音陡然一变。
Erma(0)<通讯框><Speaker>艾尔玛</Speaker>||:<color=#00CCFF>咳咳……那个，我不是有意偷听的……</color>
Erma(0)<通讯框>;NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>……都偷听了能不是故意的吗？！</color>
Erma(1)<通讯框><Speaker>艾尔玛</Speaker>;NPC-Scalper(3)||:<color=#00CCFF>……我就是看这边有信息波动，以为是什么不得了的东西。</color>+<color=#00CCFF>打扰了，你们继续。</color>
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>你想来就来想走就走？</color>
ColtWalker(1)<通讯框><Speaker>玛姬</Speaker>;NPC-Scalper(3)||:<color=#00CCFF>没想到你骇入信息也挺有一手的。</color>+<color=#00CCFF>凯瑟琳你还是挺有眼光嘛，挑这么个素体给我。</color>
ColtWalker(1)<通讯框>;NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:<color=#00CCFF>……喂。</color>
ColtWalker(2)<通讯框><Speaker>玛姬</Speaker>||:<color=#00CCFF>你应该知道了吧，我们要你上车可不是免费的。</color>
Erma(0)<通讯框><Speaker>艾尔玛</Speaker>||:<color=#00CCFF>……现在我知道了。</color>+<color=#00CCFF>难怪你们不要钱，却要我抵押素体。</color>+<color=#00CCFF>那我在柯尔特快车上赚的2盎司，还会给我吗？</color>
()||<SE1>AVG_tele_disconnect</SE1><黑点1>:凯瑟琳毫不犹豫地掐断了通讯。
()||<黑点2><BIN>530</BIN><narrator>:“未来号”洲际列车 F01/F02车厢连接处
()||:空气中依然漂浮着淡淡的血腥气，沉重凝滞的氛围也萦绕不散。
()||<SE1>AVG_20Winter_Gate_Close</SE1>:咔嗒。+直到一声清脆的声音响起，众人的目光才齐齐看向那个在门前操作的人形。
ColtWalker(1)<Speaker>玛姬</Speaker>||:……♪
()||<SE1>AVG_Cloak_Whoosh</SE1>:玛姬转过身来，沐浴着众人的目光，十分潇洒地甩手行了一个鞠躬礼。
ColtWalker(1)<Speaker>玛姬</Speaker>||:尊敬的各位乘客，你们好。+您预定的F01号车厢现在已经准备完毕。+祝您旅途愉快~
Erma(0)<Speaker>艾尔玛</Speaker>||:……乘务员玛姬小姐，给我来一份当季限定套餐。
ColtWalker(2)<Speaker>玛姬</Speaker>||:那需要额外的小费。
()||<SE1>AVG_footsteps_woodfloor</SE1>:柳德米拉无视两人，直接进门，粗略地检查了一下车厢内的情况。
()||<SE1>Stop_AVG_loop</SE1>:不知为何，这里空无一人。+但在危难重重的当下，这点疑问暂时被压在了柳德米拉的脑后。+她走出来向众人点了点头。
AR18(6)<Position>0,70</Position><Speaker>柳德米拉</Speaker>||:按这种防御等级，如果没有重火力攻击的话，撑到波兹南应该不是问题。
NPC-Doctor(0)<Speaker>鲁戈萨</Speaker>||:那我们就先进去了……接下来是你们的“表演”了。
AR18(6)<Position>0,70</Position><Speaker>柳德米拉</Speaker>||:……嗯。
()||<SE1>AVG_Crowd_Run</SE1>:乘客们慌不择路地挤入了特等车厢，只留下鲁戈萨一人在门口与人形们做最后的交谈。+鲁戈萨看着柳德米拉，郑重地对她鞠了一躬。
NPC-Doctor(0)<Speaker>鲁戈萨</Speaker>||<SE1>ClothingUp</SE1>:一切拜托了。
AR18(6)<Position>0,70</Position><Speaker>柳德米拉</Speaker>||:……
()||<SE1>AVG_BaseDoor_Close</SE1><BGM>BGM_Empty</BGM>:无言中，柳德米拉关闭了特等车厢的大门。+一瞬间，整个车厢连接处只剩下三位人形。
ColtWalker(1)<Speaker>玛姬</Speaker>||<BGM>GF_2022_Summer_AVG_3</BGM>:……虽说有一点马后炮。+不过，这里只靠我们三个真的能行吗？
AR18(6)<Position>0,70</Position><Speaker>柳德米拉</Speaker>||:如果你想打退堂鼓……+我一个人也可以。
ColtWalker(1)<Speaker>玛姬</Speaker>||:真的？这可是你自己说的。
Erma(0)<Speaker>艾尔玛</Speaker>||:……
Erma(0)<同时置暗><Speaker></Speaker>||<SE1>ClothingUp</SE1>:艾尔玛抬头看了玛姬一眼。
Erma(0)<Speaker>艾尔玛</Speaker>||:我刚才重建通讯信号的时候，在你的心智里扫了一眼。
ColtWalker(3)<Speaker>玛姬</Speaker>||:……+艾尔玛小姐，这种行为很不礼貌。
()||:艾尔玛全然没有羞愧的意思，反而更加理直气壮。
Erma(0)<Speaker>艾尔玛</Speaker>||:如果你不配合柳德米拉。+我就把你的“柯尔特快车”给拆了。
AR18(6)<Position>0,70</Position><Speaker>柳德米拉</Speaker>||:……
ColtWalker(3)<Speaker>玛姬</Speaker>||:……
ColtWalker(3)<同时置暗><Speaker></Speaker>||:玛姬的嘴角抽了抽。
ColtWalker(1)<Speaker>玛姬</Speaker>||<SE1>Rope</SE1>:……凯瑟琳，你真的很会挑人。
()||:三人一时无话。
()||<SE1>AVG_tele_connect</SE1>:这时，一条加密通讯突然闯进了柳德米拉的私密频道。
ColtWalker(1)<Speaker>玛姬</Speaker>||:<color=#00CCFF>……教官小姐。</color>+<color=#00CCFF>你没忘记自己的身份和任务吧？</color>
