()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>139</BIN><BGM>GF_Swim_Marnie</BGM>:……距现在十个月前，慈善晚会。+身着华贵礼服的人们游走在酒席间，觥筹交错，好不热闹。+尼古拉混迹其中，如鱼得水。
()<Speaker>晚会主持人</Speaker>||:……感谢各位来宾的捧场，我很荣幸地在此宣布，慈善拍卖环节正式开始！
()||<SE1>AVG_applause_indoor</SE1>:潮水般的掌声响起，尼古拉敷衍地鼓着掌，同时在人群中搜索着值得下手的目标。
()<Speaker>晚会主持人</Speaker>||<SE1>Stop_AVG_loop</SE1>:我们的第一件藏品是由塔奇拉美术馆提供的阿尔希普·伊凡诺维奇·库因芝所绘的《第聂伯河上的月夜》。+负责人玛姬小姐是这样介绍这幅名画的——+这幅画采用了留白的构图方式，深蓝色的夜空下，河水在月光的照耀下发出幽幽的蓝光，连圆月周围的云彩也是静谧的蓝，而恰到好处的留白更是渲染出了空间的寂静……
NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||:……
()||:主持人还在台上滔滔不绝，而尼古拉手中的香槟杯早已停滞多时。+沉思了半晌后，尼古拉脸上凝滞的表情渐渐化开，露出了隐藏其下的狡黠的微笑。
NPC-NervousMan(1)<Speaker>尼古拉</Speaker>||<黑屏1>:这可真是我离开律贼以后的最好的消息。
()||<黑屏2><Night><BIN>97</BIN><SE1>AVG_20Winter_People_Discussion_Loop</SE1>:……慈善晚会外，人流拥挤的走廊。+塔奇拉美术馆的负责人玛姬正和感兴趣的宾客热络地聊着天。
()||<SE1>Stop_AVG_loop</SE1>:尼古拉摇晃着手中的香槟杯，看似漫不经心地来到了玛姬的身边。
NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||:《第聂伯河上的月夜》，这失传已久的名画，真是好久没有听见它的消息了。
ColtWalker(1)<Speaker>玛姬</Speaker>||:是的，我们塔奇拉美术馆也是多方打听、费了好一番功夫才找到的。+这位先生怎么称呼？
ColtWalker(1);NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||<BGM>BGM_Empty</BGM>:尼古拉·瓦西里耶维奇，叫我尼古拉就好。
ColtWalker(2)<Speaker>玛姬</Speaker>;NPC-NervousMan(0)||:您好，尼古拉先生。里面正在进行画作的拍卖，感兴趣的话，可不要错过。
ColtWalker(2);NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||<BGM>BGM_stage11</BGM>:我对这幅画作确实很感兴趣，但很遗憾，我并不想拍下它。+因为这只是一幅赝品。
ColtWalker(4)<Speaker>玛姬</Speaker>;NPC-NervousMan(0)||:……
ColtWalker(4);NPC-NervousMan(0)<同时置暗><Speaker></Speaker>||:围绕在玛姬身边的喧嚣骤停，玛姬脸上保持着从容的笑容。
ColtWalker(2)<Speaker>玛姬</Speaker>;NPC-NervousMan(0)||:尼古拉先生真会说笑，这幅画作可是经过了专业人士的层层鉴定，绝不可能是赝品。
ColtWalker(2);NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||:可是我有确凿的证据，能够证明我所说属实。
ColtWalker(2)<Speaker>玛姬</Speaker>||:哈哈，各位恕我失陪，尼古拉先生，还请您带我去看看您所说的证据。
()||<黑屏1>:玛姬看似从容地邀请尼古拉借一步谈话，尼古拉也没有拆穿，跟着离开了。
()||<黑屏2><BIN>18</BIN><Night>:……会场外。+确认没有第三个人在场后，玛姬停下了脚步。
ColtWalker(1)<Speaker>玛姬</Speaker>||:尼古拉先生，虽然不知道是谁邀请您来的晚宴，但还请别再说出那样让人误会的话了。+我们塔奇拉画廊向来是不碰赝品的。
NPC-NervousMan(1)<Speaker>尼古拉</Speaker>||:啊哈，是吗？
()||:尼古拉讽刺地笑了笑。
