()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>548</BIN><BGM>GF_EV3_Bingocard_loop</BGM><SE1>AVG_footsteps_woodfloor</SE1>:嘎吱嘎吱——伴随着愤怒的踱步声，古老的地板发出不堪承受重负的惨叫。+现在是清晨时分，按照谢丽尔的作息还不是起床的时候，但她的家中已经是鸡飞狗跳的动静。
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>||<SE1>Stop_AVG_loop</SE1>:……我告诉你！你这样做严重侵犯了我作为消费者的权益！
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>||<SE1>AVG_Punch</SE1><震屏3>:<size=50>你这是挂羊头卖狗肉！和前段时间被打击的挂高级人形卖扫地机器人案件是一丘之貉！</size>
()<Speaker></Speaker>||:正对着通讯器狂吼乱叫的她突然回头一瞥。
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>||:<size=50>你这还不如卖扫地机器人！</size>
NPC-Cheryl(4);NPC-Quimby(0)<Speaker>小昆比</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>嘤嘤嘤，这位客官不要生气嘛。</color>+<color=#00CCFF>您所反馈的问题，我已经为您记录好了，等我们副店长上班就立刻帮您解决，还请耐心等待哦亲亲~</color>
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>;NPC-Quimby(0)||:不生气？！怎么可能不生气！+你现在就去找能解决问题的来！不然我就67890投诉你们！
NPC-Quimby(0)<Speaker>小昆比</Speaker><通讯框>||:<color=#00CCFF>喔副店长来了，我让她来接通讯器！</color>
NPC-Scalper(0)<Speaker>凯瑟琳</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>怎么了？</color>
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>;NPC-Scalper(0)||:我上周在你家订购的最新款高级人形，就是那个金发碧眼、超模身材、功能齐全、还会按摩肩颈——
NPC-Cheryl(4);NPC-Scalper(0)<Speaker>凯瑟琳</Speaker><通讯框>||:<color=#00CCFF>不是已经给您送去了吗？</color>
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker><Shake>0.1</Shake>||<SE1>AVG_Punch</SE1>:<size=50>你们送的是个啥啊？！</size>
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:谢丽尔愤怒地跳了起来，她将通讯器的摄像头对准了家中如废墟般高高垒起的杂物堆。+其中似乎有什么东西在蠕动……
NPC-Scalper(0)<Speaker>凯瑟琳</Speaker><通讯框>||:<color=#00CCFF>喔，我看见了，这位就是您收到的人形是吧？</color>
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>;NPC-Scalper(0)||:对啊！你自己说说，这邋遢样子跟我预定的是不是差远了！
NPC-Cheryl(4);NPC-Scalper(0)<Speaker>凯瑟琳</Speaker><通讯框>||:<color=#00CCFF>嗯……我完全理解您的心情，请稍等，我去跟仓库核对一下。</color>
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>||<SE1>AVG_tele_disconnect</SE1>:喂！我还没说完——
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:通讯被掐断，但正在气头上的谢丽尔立刻打了回去。+但不管怎么夺命连环呼叫，对方都不再接起。
()<Speaker>系统</Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#FFFF00>尊敬的用户，您好，您所链接的用户暂时无法接通，请——</color>
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker><Shake>0.1</Shake>||<SE1>AVG_Thunder_Dry</SE1><controll_shake>%%type_id=2%%duration=4%%delay=0.1%%range=20</controll_shake>:<size=65>我靠——！！！</size>
()<Speaker></Speaker>||:谢丽尔狂暴的怒嗥响遍了整个街区。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:她捂着突突狂跳的太阳穴瘫倒在沙发上，手摸到了陷入沙发缝隙间的遥控器，她决定打开电视转移下注意力。
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:但任凭她怎么狂按，电视机都没有反应。
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>||:怎么回事？！管家AI？+<size=50>给我开启电视！</size>
()<Speaker></Speaker>||:连家里的AI都不理会她。
()<Speaker></Speaker>||<SE1>AVG_21Winter_Phone_Crash</SE1><震屏3>:谢丽尔气得摔掉了遥控器。
NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>||<SE1>Rope</SE1>:<size=55>啊啊啊！今天到底是怎么回事？！</size>+有一个来一个，一个更比一个让我生气！
()<Speaker>？？？</Speaker>||:嗝。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:杂物堆中传来一声幽幽的饱嗝。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:紧接着，犹如废墟坍塌般，一个庞然大物现身于废墟之上。
NPC-SCAR-H(3)<Speaker>？？？</Speaker>||<BGM>m_wv_title</BGM>:嗝，好像是因为我……
NPC-SCAR-H(3);NPC-Cheryl(4)<Speaker>谢丽尔</Speaker>||:……你干了啥啊？！
NPC-SCAR-H(3)<Speaker>？？？</Speaker><Shake>0.1</Shake>||:嗝——+好久没碰到这么充足的电力，没忍住功率开大了点。
