()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>650</BIN><SE1>AVG_2023Slow_WN_Whistle</SE1>:别斯兰第一中学 
()<Speaker></Speaker>||:第一堂课之前的半小时，往往是校门口人最多的时候。+然而今天，来往的学生却格外的稀少。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……
()<Speaker></Speaker>||:安娜走进了校门口，但身后的人依旧跟着自己亦步亦趋。+只是跟着的话倒是无所谓……但是——
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>||<SE1>AVG_2023Slow_WN_Whistle</SE1>:<size=50>♪</size>
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:别吹了。
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>||<SE1>ClothingUp</SE1>:<size=50>♪~♫</size>
()<Speaker></Speaker>||:他甚至还专门转了一个调。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:我进校门了。
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>;NPC-Ange(37)<Position>0,-50</Position>||:哦。
NPC-Pamzan(0);NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……我可以自己上去。
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>;NPC-Ange(33)<Position>0,-50</Position>||:那你倒是上去啊。
NPC-Pamzan(0);NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……+送到这里就够了。
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>;NPC-Ange(33)<Position>0,-50</Position>||:我也不想，是艾赫明千叮咛万嘱咐。+必须送你到教室门口才能回我教室哦，他就像个老妈子一样烦人。
NPC-Pamzan(0);NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……我不会跟他说的。+你走吧。
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>;NPC-Ange(33)<Position>0,-50</Position>||:怎么，你要背着我干什么吗？
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……
()<Speaker></Speaker>||<BGM>BGM_23S_Winter_Night</BGM><SE1>ClothingUp</SE1>:安娜不想再搭理此人，默默地选择上楼。
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>||:其实可以请假啊，我的课我都不担心，不知道你非得来上个什么劲。
NPC-Pamzan(0);NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……+拉姆赞。
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>;NPC-Ange(37)<Position>0,-50</Position>||:嗯？
NPC-Pamzan(0);NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……+你知道巫婆最喜欢吃什么东西的肉吗？
NPC-Pamzan(0)<Speaker>拉姆赞</Speaker>;NPC-Ange(37)<Position>0,-50</Position>||:锯了嘴的女人？
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:不，话多的男人。
()||<黑点1>:
()<Speaker></Speaker>||<BIN>553</BIN><黑点2>:两人步行到教室门口，拉姆赞正准备离去。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_20Winter_Doorbell</SE1>:广播里响起一条通知，他停住了脚步。
()<Speaker>校园广播</Speaker>||<BGM>Campaion-58-2</BGM>:<color=#00CCFF>……由别斯兰警卫团极端分子组织的“永恒之火”行动，事发两小时后，行动相关人员已经全部被捕。</color>+<color=#00CCFF>政府下令接手安保工作，原别斯兰警卫团现已解散。</color>
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:喂……
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:拉姆赞回头看了安娜一眼，眼神中带着一股子不甘。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:你……怎么想的？
NPC-Pamzan(3)<Speaker>拉姆赞</Speaker>||:……我不知道。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:不知道你就随便参加？+果然是头没脑子的熊。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:拉姆赞竟然罕见地没有反驳安娜。+他叹了口气，将脸转了过去。
NPC-Pamzan(2)<Speaker>拉姆赞</Speaker>||:听过一句俗话吗？硬币有两面，但人只有一个。+比起乱七八糟的道理，我更相信我的兄弟。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……那警卫团的人就不是你过去的兄弟了？
NPC-Pamzan(2)<Speaker>拉姆赞</Speaker>||:如果只能选择一面，就是现在的选择。+因为，我只有一个亲兄弟。
()<Speaker></Speaker>||:拉姆赞不再搭理安娜，他朝着楼梯口走过去。+安娜嘴角撇了撇，径直走入教室。
()||<黑点1>:
()<Speaker></Speaker>||<SE1>AVG_20Winter_Door_Open</SE1><黑点2><BIN>654</BIN>:教室内的人少了许多，但热闹程度跟以前没多少区别。
()<Speaker>娇小瘦弱的学生</Speaker>||:……新闻看了吗？
()<Speaker>身材魁梧的学生</Speaker>||:看了，太可怕了……难怪昨天不让我来学校。+没想到警卫团这么有种！
()<Speaker>娇小瘦弱的学生</Speaker>||:看新闻才知道……不止学校，他们还跑去街道那边，闯进人家里把人抓出来执行“正义审判”。+报纸上说，死了几十个“外籍人士”……好像，都是美国人吧？
()<Speaker>身材魁梧的学生</Speaker>||:要我说，干得漂亮。+早该给这群人一点教训了！
()<Speaker>娇小瘦弱的学生</Speaker>||:嘘！你小点声！这能大声讲吗？+市长都气疯了，连警卫团都被解散了，别惹上麻烦。+而且……嘘——她来了。
()<Speaker>身材魁梧的学生</Speaker>||:……切。
()<Speaker></Speaker>||:这一切私语，完全无法进入安娜的耳朵。+她来这里上课，其实只有一个目的。
()<Speaker></Speaker>||<SE1>AVG_Creep</SE1>:她沉默地在座位上翻找，左右搜索，却不论如何都找不到之前被她留在这里的东西。+毕竟，连课桌都被毁了个七七八八，何况是一个书包。+没过多久，有人在身后拍了拍自己。
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:安娜。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>;NPC-Sinia(0)<Position>0,-58</Position>||:……
NPC-Ange(33)<Position>0,-50</Position>;NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:我听说，是你们保护了玛莎•迈特纳。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>;NPC-Sinia(0)<Position>0,-58</Position>||:……
NPC-Ange(33)<Position>0,-50</Position>;NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:明明，你没打算帮她的……+到底怎么回事？
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>;NPC-Sinia(0)<Position>0,-58</Position>||:……+我没有义务向你解释。
NPC-Ange(33)<Position>0,-50</Position>;NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:……你不在乎别人怎么看你吗？+你现在不是安娜，是叛徒安娜。+这样下去你会后悔的。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……不关你的事。
()<Speaker></Speaker>||<SE1>AVG_File_Put</SE1>:西尼娅深呼吸一口气，一个皱巴巴的书包被扔在了安娜桌上。
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:我以为我们是一边的。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……哦。
()<Speaker></Speaker>||<SE1>AVG_Zipper</SE1>:安娜拎起满是灰尘的书包，将里面的东西全部倒出来。+只有笔、硬币和几张便利贴纸。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……我的书呢？
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:……你有听我说话吗？
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:我•的•书•呢？
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:……你自己没看好包，我能想着帮你捡起来就不错了。+你还想要怎样？
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:安娜站起身来，一把推开西尼娅。
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:喂！你站住！
()<Speaker></Speaker>||:安娜停了一下，转过头看了她一眼。
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:你去哪？
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……关你什么事？
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:那不过是一本普通的科幻小说。+什么书店都能买到。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……
NPC-Sinia(0)<Speaker>西尼亚</Speaker><Position>0,-58</Position>||:你想清楚了？ 
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||<BGM>BGM_Empty</BGM>:没有人可以对我指手画脚。
()<Speaker></Speaker>||<SE1>RunStep</SE1>:安娜转过头，向着图书馆的方向跑了过去。
()||<黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:……
()||<黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>644</BIN>:别斯兰第一中学 图书馆
()<Speaker></Speaker>||<BGM>BGM_23S_Winter_Night</BGM>:图书馆对于安娜来说是很陌生的场所，她上一次来到这里，还是第一天艾赫明带她参观学校。+这个时候图书馆内一个人都没有，甚至都没有开灯。+这倒是很常见，毕竟在这个浮躁的年代，比起静坐在一个地方进行无聊的阅读，持械斗殴要有趣得多。
NPC-Ange(33)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……+希望那个版本还能在这里找到。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:昏暗的书架之间，只有微弱的灯光。+在这个年代，喜欢阅读实体书的人日渐稀少。+但每个学校，多少还保留着这样的场所，用来装装样子。+安娜无比庆幸这一陋习。
NPC-Ange(35)<Speaker>安娜</Speaker><Position>0,-50</Position>||:找到了……+1972的版本——
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:安娜将手伸向了这本藏在角落的书籍——
()<Speaker></Speaker>||<SE1>Rope</SE1>:然而，抽不动……
()<Speaker></Speaker>||<SE1>Rope</SE1>:安娜用力——+还是不行——
()<Speaker></Speaker>||<SE1>AVG_Scene_Transfer</SE1><黑屏2>:一双眼睛透过书架看过来……
NPC-Ange(36)<Speaker>安娜</Speaker><Position>0,-50</Position><Shake>0.1</Shake>||:<size=50>啊啊啊——</size>
()<Speaker></Speaker>||<震屏3><SE1>AVG_XXS_kick</SE1>:手上对抗的力道忽然消失，安娜因为惯性跌倒在地。
()<Speaker>？？？</Speaker>||:……喊什么。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:什么人？给我出来！
()<Speaker>？？？</Speaker>||:嚯，还挺硬气。
()<Speaker></Speaker>||<SE1>AVG_footsteps_woodfloor</SE1>:黑影从书架后面慢慢显露出真面目，那是一张见过的面孔。
()<Speaker></Speaker>||<SE1>Stop_AVG_loop</SE1>:一头短卷发的女人，脸上充满了捉弄的笑容，手里正拿着安娜看中的书。+1972年的《路边野餐》。
NPC-Laplace(0)<Speaker>玛莎</Speaker>||:……你居然会来这里。+简直要怀疑是在做梦。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……
NPC-Laplace(0)<Speaker>玛莎</Speaker>||:噩梦。
NPC-Laplace(0)<Speaker>玛莎</Speaker>||:不过你来了也好，省得我去找艾赫明了。+你们都还没成年，所以我转了笔钱给你们父亲。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:什么意思？
NPC-Laplace(0)<Speaker>玛莎</Speaker>||:我不喜欢欠人人情。+特别是，立场不同的人。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:我哥救你才不是为了钱！+那天他就说了，只是不忍心小孩受罪，才不是跟你们这种美国人做朋友。
NPC-Laplace(1)<Speaker>玛莎</Speaker>||:哦是吗？我还打算顺便看看你的课业呢……
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||<SE1>ClothingUp</SE1>:打住——+大家的关系到此为止了！
NPC-Laplace(1)<Speaker>玛莎</Speaker>||:很好，我也这么想。+世上的关系，能用钱衡量的总是最简单和稳定的。
NPC-Laplace(0)<Speaker>玛莎</Speaker>||:我也不想再跟几个小鬼扯上什么关系。
()<Speaker></Speaker>||:说完，玛莎准备离开。+眼看着对方要走，安娜有些着急。
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:慢着！
NPC-Laplace(0)<Speaker>玛莎</Speaker>||:嗯？
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……你手里那本书，我先找到的。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:玛莎玩味一笑，看了眼手里的书，又看了看安娜。
NPC-Laplace(0)<Speaker>玛莎</Speaker>||:是吗？
NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……书让给我，条件随你提。
NPC-Laplace(1)<Speaker>玛莎</Speaker>||:哈——
()<Speaker></Speaker>||:她的嘴角露出一丝笑容。
NPC-Laplace(1)<Speaker>玛莎</Speaker>||:这就让人有点好奇了。+给我一个理由，安娜同学。+这本书既不珍贵，也不奇特。+别斯兰随便哪家书店都可以找到。+为什么非要这个？
NPC-Laplace(1);NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……页码不同。
NPC-Laplace(1)<Speaker>玛莎</Speaker>;NPC-Ange(37)<Position>0,-50</Position>||:嗯？
NPC-Laplace(1);NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……每个版本的页码不同，导致部分页码的内容也不同。
NPC-Laplace(1)<Speaker>玛莎</Speaker>;NPC-Ange(37)<Position>0,-50</Position>||:所以？
NPC-Laplace(1);NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……它们的129页，长得不一样。
NPC-Laplace(4)<Speaker>玛莎</Speaker>;NPC-Ange(37)<Position>0,-50</Position>||:哈？+你读书光记页码和样式，不记情节内容？
NPC-Laplace(4);NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:……记得页码就够了。+我不需要记得内容。
NPC-Laplace(4)<Speaker>玛莎</Speaker>;NPC-Ange(37)<Position>0,-50</Position>||:你读不懂？+这本书，对七年级学生来说应该没有语法问题。
NPC-Laplace(4);NPC-Ange(37)<Speaker>安娜</Speaker><Position>0,-50</Position>||:说完了？可以给我了？
NPC-Laplace(1)<Speaker>玛莎</Speaker>||:……呵。+有你这样的读者，斯特鲁伽茨基真是白写了。
