()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<睁眼><BIN>417</BIN><BGM>GF_22W_BGM_1</BGM>:……+距离醒来过去了多久？他没有答案。+但或许这个问题也并不重要。+他已经拥有了活下去的理由，一切都是为了……
NytoWhite(0)<Speaker>白涅托</Speaker>||:实验体已经全部按照您的命令出发了。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position><GradientShow>2</GradientShow>||:……
()||:面前的几面屏幕，展示着执行潜入任务的实验体们的视野。+咔嚓——连踩碎树枝的声响都被清晰地传回到这间房间。
NytoWhite(0)<Speaker>白涅托</Speaker>||:那么，我先告退了。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:……
()||:白衣少女明明已经是基地中的最新型号，可她却从来不敢和他对视一眼。+为什么？难道他是一个可怕的人吗？+他想找一面镜子看看，但后知后觉地，他回想起之前将所有能够反光的物体全部砸了。+没办法，他只好用冰冷的手指摸上脸部的疤痕，然后顺着脖颈、锁骨上纵横捭阖如沟壑般的缝合痕迹下滑……
()<Speaker>实验体</Speaker>||:<color=#00CCFF>甘拉狄上尉，我们已经抵达坐标点。</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:进行潜行，搜集目标的情报。
()<Speaker>实验体</Speaker>||:<color=#00CCFF>收到。</color>
()||:他悠然地将座椅转向右边，一具怀抱着布娃娃的拼接尸骸颓然躺在椅子上。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:大哥，你好好看着。+这场好戏终于要开始了……
()||<SE1>AVG_whitenoise</SE1>:兹兹——
()||<SE1>Stop_AVG_loop</SE1>:实验体成功在设施内安装了监听器。
()<Speaker>女性的声音</Speaker>||:<color=#00CCFF>……诺维科夫指挥官，您要的补给已经全部放在仓库货架B17-19处了，请查收。</color>
()<Speaker> 男性的声音</Speaker>||:<color=#00CCFF>嗯，看见了。</color>+<color=#00CCFF>对了，安洁指挥官来领过这个月的补给了吗？</color>
