()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><Night><BIN>18</BIN>:……夏园，大宫殿外。
()<Speaker></Speaker>||<SE1>RunStep</SE1>:艾尔玛不管不顾地在黑夜中狂奔，不知不觉已经来到了大宫殿门口。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1><BGM>GF_2022_Summer_AVG_2</BGM>:在她寻找着出口时，奈德丽的手放在了她的肩膀上。
NPC-Maid(1)<Speaker>奈德丽</Speaker>||:0号小姐，为什么一副伤心的表情呢？
Erma(28)<Speaker>艾尔玛</Speaker><Position>0,155</Position>;NPC-Maid(1)||:我才不是什么0号小姐。+我是艾尔玛。
Erma(28)<Position>0,155</Position>;NPC-Maid(1)<Speaker>奈德丽</Speaker>||:好的，艾尔玛小姐。
Erma(27)<Speaker>艾尔玛</Speaker><Position>0,155</Position>;NPC-Maid(1)||:我要离开这里。
Erma(27)<Position>0,155</Position>;NPC-Maid(1)<Speaker>奈德丽</Speaker>||:艾尔玛小姐，大宫殿一旦启动，除非自己关闭，否则您无法出去。
Erma(28)<Speaker>艾尔玛</Speaker><Position>0,155</Position>||:我不管，我现在就要离开这里。
()<Speaker></Speaker>||<SE1>AVG_20Winter_Drink_Tea</SE1>:看着任性发脾气的艾尔玛，奈德丽笑了笑，轻车熟路地端出了蜂蜜水和茶点。
NPC-Maid(1)<Speaker>奈德丽</Speaker>||:路途还很遥远，先吃点甜食休息一下吧。
Erma(26)<Speaker>艾尔玛</Speaker><Position>0,155</Position>||:……看在你这么识相的份上，我勉为其难吃一点吧。
()<Speaker></Speaker>||:奈德丽依旧露出那副微微笑的表情，完美而温柔。
NPC-Maid(1)<Speaker>奈德丽</Speaker>||:艾尔玛小姐，你是为了什么来到这里的呢？
Erma(27)<Speaker>艾尔玛</Speaker><Position>0,155</Position>||:……+<color=#00CCFF>为了指挥官……</color>
