()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<narrator><SE1>AVG_keyboardtype_sci</SE1><BIN>724</BIN><黑屏2>:■档案■ PACC37628974108749解码中……
()<Speaker></Speaker>||<narrator>:萨曼莎•肖（2009-2062）+曾用名：叶卡捷琳娜•瓦西列夫娜•彼得罗夫斯卡娅+2009，出生于斯塔夫罗波尔边疆区矿水城。+2015-2019，矿水城第一小学。【附件3】+2022，中学时期。【附件9】+……+家庭关系：姐妹+索菲娅•瓦西列夫娜•彼得罗夫斯卡娅（2001-？）
()<Speaker></Speaker>||<narrator><SE1>AVG_keyboardtype_sci</SE1>:……附件3解码中……
()||<黑屏1><CGDelay>1</CGDelay>:
()<Speaker></Speaker>||<黑屏2><BIN>654</BIN><BGM>BGM_23S_Winter_Night</BGM>:阶梯教室
()<Speaker></Speaker>||:教室内熙熙攘攘，前排坐满了四年级学生。+家长们坐在后排，纷纷举着手机，对准主讲台。+讲台上方挂着横幅：“矿水城第一小学2019航模比赛（四年级组）颁奖仪式”。
()<Speaker>主持人</Speaker>||:接下来要颁发的是，手抛滑翔机第一名——+帕拜达•伊万诺维奇•叶里科夫同学！
()<Speaker></Speaker>||<SE1>AVG_20Winter_Book</SE1>:一名中等身材的小男孩昂着头走上讲台，从老师手中接过奖状。
()<Speaker>帕拜达</Speaker>||:我就知道我会拿到这个奖状！+从小爸妈就鼓励我……
()<Speaker>帕拜达</Speaker>||<SE1>AVG_XXS_kick</SE1><震屏3>:<size=50>啊！！！</size>
()<Speaker></Speaker>||:帕拜达突然被从话筒前推开，是一名金发小女生跑了上来。 
()<Speaker>主持人</Speaker>||:叶卡捷琳娜，你在干什么，快下去！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:叶卡捷琳娜敏捷地躲开帕拜达的抓击，抢着凑到话筒边。
