()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑屏2><BIN>72</BIN> :The attacking signal vanished. Did I win? +No... Her processing power is far stronger than mine. She beat me.
()<Speaker></Speaker>||:UMP45 slowly gets up on her feet. She can tell that she's in her Level III base layer.
UMP45Mod(0)<Speaker>UMP45</Speaker>||<BGM>10258</BGM>:How merciful of her for not finishing me off instantly.+So she's forced me into my own base layer. Is she that desperate to read my memories from back then?+However, I've encrypted those memories, so it'll probably take her a while to find them.+Will you help me in the last bit of time I have left?
UMP40(0)<Speaker>???</Speaker>||:I thought you'd never come back here again.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:...And I would not, if I could have avoided it.
UMP40(0)<Speaker>???</Speaker>||:What should I say, then? Welcome back? Or gute reise?
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Stop teasing me. Why wish me a good journey when I'm obviously not going anywhere?
UMP40(0)<Speaker>???</Speaker>||:Ja, ja, I understand. +After all, something bad must've happened, or you wouldn't have wound up getting trapped in here again. Am I right, 45?
()<Speaker></Speaker>||:The UMP40 residing in the depths of 45's neural cloud slowly comes into view. +She grins happily at 45. She knows that 45 must have met with some terrible danger to have ended up in her base layer, but being able to see her again fills this simulated persona with heartfelt joy.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Yeah... I ran into a crisis that made a mockery of all the cool things I said in the past. +And here I thought I'd only meet you again to bid you farewell after settling everything.
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:That's fine. You look super cool even when you're as wretched as this, 45. +I don't mind chatting with you a few more times before we say our goodbyes.
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:Honestly... Right, do I need to explain the situation to you?
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:I exist in your neural cloud. I've been quietly watching everything that's happened to you.
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:So...you know exactly what I've overheard before, right?
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:You mean the fact that I'm not a manifestation of your longing for 40...but a consciousness born from the virus?
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:So you do know.
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:Yup. I know what you know.+Don't worry, I'm glad you know exactly what I am.+If I'm more than a simulated personality, that means I can at least be of some help, right?+The OGAS of the AR Team's leader is super strong, she can help her Doll do so much. I'm envious.+If only I had power like that...
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:...It all started because of OGAS, and yet everyone's becoming more reliant on its power.
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:There's nothing wrong with power in itself. +If I also had the power to help you, would I have been a useful aide to you, the way Miss Dandelion is to M4A1?
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:I don't need...
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:But right now, you DO need help. +If my appearance makes you uncomfortable, I can...
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:... +No...ignore what I just said. This isn't the time to dwell on my own past. +I need to use all the power I can get my hands on. If I can't get out of this place, then everything will be for nothing.
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:So you're saying...
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:I need your help. I don't care if you're an image of her past or an OGAS entity that developed from the virus.+If you're willing to help me, please lend me your strength so I can keep the promise I once made.
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:Heheh, I would have done that even if you hadn't asked. +I have to hand it to you; you're really resilient.
UMP40(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:...Stop making fun of me. Focus on the mission.
UMP40(0)<Speaker>UMP40's Simulated Persona</Speaker>;UMP45Mod(0)||:Alright, alright, you're the boss.
