()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>313</BIN><narrator>:Late at night, Gene's Bar, Moscow.
()||<SE1>AVG_20Winter_Bar_Cheering</SE1>:Boisterous underground rap fills the entire hall. The barkeeper joins in on the lively conversations around him as he meticulously polishes wine glasses.
()<Speaker>Barkeeper</Speaker>||:...Hm?
()||<SE1>Stop_AVG_loop</SE1><SE2>AVG_whitenoise</SE2>:Pzzt—the feed of sexy women dancing that is playing on the hanging screen suddenly grows blurry and distorted. +Then it completely dissolves into static.
()||:The customers boo and voice their discontent, but the barkeeper simply smirks to himself.
()<Speaker>Barkeeper</Speaker>||<BGM>GF_21winter_avg_nightbar</BGM>:Maggie, it's been a while.
ColtWalker(1)<Speaker>Maggie</Speaker>||:Mhmm.
()||:A woman has appeared out of nowhere. She sits down at the bar counter and seems completely at home.
()<Speaker>Barkeeper</Speaker>||:If you keep toying with my screen, you'll end up killing it for good.
ColtWalker(1)<Speaker>Maggie</Speaker>||:Haha, don't worry. +I never make any bad deals.
()||<SE1>AVG_Button_Click</SE1>:Maggie taps the signal jammer on her waist with a finger, and the sexy ladies resume their dirty dancing on the screen.
ColtWalker(1)<Speaker>Maggie</Speaker>||:You know the drill. Same place, same order.
ColtWalker(1)<Speaker>Barkeeper</Speaker><同时置暗>||:Alright.
()||<SE1>AVG_footsteps_cave</SE1>:Maggie walks over to an inconspicuous corner and waits for her drink.
()||<SE1>Stop_AVG_loop</SE1>:The barkeeper soon serves up a shot of tequila and a small plate with salt and lemon slices.
ColtWalker(1)<Speaker>Maggie</Speaker>||:Thanks.
()||<SE1>ClothingUp</SE1>:Maggie places a pinch of salt on the crook of her left thumb, then she picks up the delicate shot glass with her right thumb and index finger together with a slice of lemon in between her middle and ring fingers.
()||<SE1>AVG_20Winter_Drink_Tea</SE1>:After licking the salt, she knocks back the tequila.
ColtWalker(1)<Speaker>Maggie</Speaker>||:Ah—Fantastic!
()||<SE1>AVG_20Winter_Door_Car_Close</SE1>:Maggie lets out a long sigh, then slumps into the table head-first.
