()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>592</BIN><BGM>BGM_Saga_AVG_Day</BGM><SE1>AVG_AMB_Street</SE1>:森林中央的空地上，米棕的遮阳棚错落有致，如一颗颗咖啡豆，在阳光的烘焙下升起袅袅炊烟。+要不是被莉莉拉来逛逛，你还不知道这里会定期组织市集。
()<Speaker>指挥官</Speaker>||:真热闹啊……
NPC-Lily(0)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||<SE1>Stop_AVG_loop</SE1>:嗯！没想到这么多年了，好多摊位都没变呢。
NPC-Lily(9)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:那家的鱿鱼丝特别好吃，要不要给多惠和罗梅罗买一点？
NPC-Lily(2)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:哇，这家手作的布玩偶真可爱！
()||<SE1>ClothingUp</SE1>:人群之中，莉莉的小脑袋一会儿从左边冒出，一会儿又钻到右边。
()<Speaker>指挥官</Speaker>||:莉莉，等等我……
NPC-Lily(9)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:诶，那上面写的是……法兰秀秀？
()||:你往莉莉指的方向看去，是个卖章鱼烧的铺子，上面贴着一条白底的横幅。
()<Speaker>指挥官</Speaker>||:<color=#A9A9A9>Fran……哎，后面的挡住了……</color>
()||<SE1>ClothingUp</SE1>:你踮起脚伸着脖子才看全，的确是法兰秀秀的应援横幅！看来法兰秀秀还是有不少粉丝的。
()<Speaker>指挥官</Speaker>||<BGM>BGM_Empty</BGM>:莉莉，是法兰秀——
()||<震屏3>:来往的只剩下陌生的面孔，你呼吸一滞。
()<Speaker>指挥官</Speaker>||<BGM>10394</BGM>:莉莉，你在哪？！听得见吗？
()||:无人回应你的呼唤，只有一些好事的目光从你身上扫过。
()<Speaker>指挥官</Speaker>||:莉莉很懂事的，应该不会自己走远……
()||<SE1>ClothingUp</SE1>:你逐个向附近的摊主打听，有没有见过莉莉。
NPC-Ninja(6)<Speaker>花艺摊主</Speaker><Position>0,-420</Position><Scale>1.6</Scale>||:嗯，我有印象……+她跟在一个非常魁梧的男人身边，男人左眼上有一道刀疤，有点可怕，所以记得很牢。
NPC-Ninja(6)<Speaker>指挥官</Speaker><Position>0,-420</Position><Scale>1.6</Scale><同时置暗>||:诶？！他们看起来关系怎么样？
NPC-Ninja(6)<Speaker>花艺摊主</Speaker><Position>0,-420</Position><Scale>1.6</Scale>||:这个我也不好说，总之他们买了吃的，就往那边去了。
NPC-Ninja(6)<Speaker>指挥官</Speaker><Position>0,-420</Position><Scale>1.6</Scale><同时置暗>||:好的，太谢谢您了！+<color=#A9A9A9>千万别出什么事啊，莉莉……</color>
()||<黑点1><BGM>BGM_Empty</BGM>:
()||<黑点2><BIN>593</BIN><SE1>RunStep</SE1>:……
()||<BGM>BGM_Saga_AVG_Dusk</BGM>:再度见到树荫里那道熟悉的身影时，你终于舒出了长长的一口气。
()<Speaker>指挥官</Speaker>||:莉莉！呼……吓坏我了。
()<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:……
()||:莉莉只是静静地不吭声。
()<Speaker>指挥官</Speaker>||:生我气了？是我不好，和莉莉走散了……
()||:你半蹲着，视线与莉莉平齐，正打算扮个鬼脸逗笑她，却发现莉莉眼里居然满是泪水。
()<Speaker>指挥官</Speaker>||:你、你怎么哭了，莉莉？是不是谁欺负你了？
NPC-Lily(4)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:……
()||<SE1>AVG_21Winter_Ink_Drop</SE1>:眼泪落在你的手背上，你一下子慌了神。
()<Speaker>指挥官</Speaker>||<SE1>Stop_AVG_loop</SE1>:是不是那个左眼有刀疤的家伙？我去帮你教训他！
NPC-Lily(4)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:嘘，小声点……
()||:莉莉紧张的表情让你意识到，那个男人或许就在附近。<c>大声叫喊<c>默默寻找
()<Speaker>指挥官</Speaker>||<分支>1</分支>:喂，刀疤男——
()||<SE1>ClothingUp</SE1><分支>1</分支>:你扯着嗓子嘶吼起来，引得行人纷纷侧目，莉莉急忙拉住你的衣角。
NPC-Lily(4)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||<分支>1</分支>:指挥官，别……
NPC-Lily(4)<Speaker>指挥官</Speaker><Position>70,-170</Position><Scale>1.21</Scale><同时置暗>||<分支>1</分支>:别担心，这里这么多人，他不敢真的拿我们怎么样的。+就算他真的动手，我也不会让他伤害到你的。
()||<分支>2</分支>:你环顾着四周，目光渐渐锁定一个小山似的身影。+甚至都不用搜寻……以他的块头站在人群中，你想忽视都很难。
()<Speaker>指挥官</Speaker>||<分支>2</分支>:莉莉，你站在安全的地方等我。
()||<分支>2</分支><SE1>AVG_footsteps_cave</SE1>:你刚走出两步，莉莉似乎看出了你的意图，从背后拉住了你的衣角。
NPC-Lily(4)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||<SE1>Stop_AVG_loop</SE1>:这是个误会……+那个人，只是来祭奠的。
