()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>592</BIN><Night><SE1>AVG_amb_wilderness</SE1><BGM>BGM_Saga_AVG_Dusk</BGM>:一到夜晚，静谧的公园里，连风声都格外轻。+源樱站在你的面前，脸上的笑容一如既往。
NPC-Sakura(0)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||<SE1>Stop_AVG_loop</SE1>:时间过得真快啊。
NPC-Sakura(0)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:仔细算算，居然只有几天。+但我觉得好像跟你认识很久了。
NPC-Sakura(0)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:是吗？+我，我也觉得认识指挥官很久了。
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:久到有时候甚至会产生一种错觉，觉得你会留在这里一辈子。
NPC-Sakura(1)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:……
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:但那是不可能的吧。+能跟我说说吗……你原来的世界。
NPC-Sakura(1)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:格里芬吗？+……对你来说恐怕会显得很无聊。+都是一些没什么乐趣的艰难生存。+大部分都是些乱世中见惯的痛苦、挣扎、离别和伤心。
NPC-Sakura(2)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:那你为什么还是想要回去？
NPC-Sakura(2)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:因为那里还有我无法抛弃的战友和同伴。
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:既然大部分的时候都是痛苦，既然是真正的朋友。+我想，他们一定会希望你活在没有战乱的时代。
NPC-Sakura(1)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:是，所以这是我必须要回去的理由。+因为我想要与他们一起，共同打造一个没有战乱的年代。+就像这里一样。
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:像这里一样？
NPC-Sakura(1)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:对……那时候我说不定可以真正放下指挥官这个身份，去做一位经纪人，就象这些时日一样，每天烦恼的事情是怎样去完成一场盛大的演出。
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:那，看来我真的没有办法挽留你了呢……
NPC-Sakura(1)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:源樱……
()||<SE1>ClothingUp</SE1>:源樱低垂着头，脸上流露出悲伤的神情。
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:……对不起。
NPC-Sakura(1)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:为什么要道歉？
NPC-Sakura(7)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:因为我一时之间竟然产生了私心。+竟然想要你留下来陪着我们……+但我这样忽略了你真正的理想吧……+法兰秀秀于我，就像格里芬于你。+我……我不该要你放弃你的理想……对不起。+一直以来……我们都在麻烦你，麻烦你做很多无聊的事情。+……对不起。
NPC-Sakura(7)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:无聊？你是指和你们一起唱歌跳舞，一起完成法兰秀秀的演出吗？
NPC-Sakura(7)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:嗯。这些事，对你来说，应该会觉得没什么意思的吧。
NPC-Sakura(7)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:……我觉得那很有意思。
NPC-Sakura(2)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:诶？
NPC-Sakura(2)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:因为……这是源樱的梦想。+源樱的梦想，一点都不无聊。+就算回到没有你在的时代，只要想到你的笑容，我就一定会充满勇气。
NPC-Sakura(2)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:……为什么？
NPC-Sakura(2)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:我会幻想一下，假如我的新世界到来，是不是有更多的女孩子像源樱一样，充满了活力和勇气，将希望和快乐带给大家。+这就是我前进的动力。
NPC-Sakura(0)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:……真拿你没办法。
()||<SE1>ClothingUp</SE1>:源樱从背后拿出了一样东西递给你。
()<Speaker>指挥官</Speaker>||<黑屏1>:这是？
()<Speaker>源樱</Speaker>||<黑屏2><BIN>9</BIN><common_effect>%%code=Saga_Sakura_item%%</common_effect>:……是我每天训练时候，跟大家一起喊话的喇叭。
()<Speaker>指挥官</Speaker>||:是送给我的礼物吗？
()<Speaker>源樱</Speaker>||:是……啊不是……+不，是的！
()<Speaker>指挥官</Speaker>||:……我有点晕了。
()||<关闭蒙版><黑屏1>:
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||<黑屏2><BIN>592</BIN><Night>:……喇叭是很廉价的经常在用的东西，它不能被称之为礼物。+真正的礼物，是我……是我在里面留给你的话。
()||<SE1>Rope</SE1>:你下意识就想按下喇叭的按钮，却被面红耳赤的源樱一把捉住。
NPC-Sakura(2)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:……请，请你离开这里之后再打开吧。
NPC-Sakura(2)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:为什么？
NPC-Sakura(0)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:……这样的话，当你回到了自己的时代……+也能听见我的声音，就好像，我们还处在一个时代一样。
NPC-Sakura(0)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:……
NPC-Sakura(0)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:这样你就永远不会忘记一个叫源樱的女孩子，曾经与你一起度过的时光。
NPC-Sakura(0)<Speaker>指挥官</Speaker><Position>0,-270</Position><Scale>1.27</Scale><同时置暗>||:我永远不忘。
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||:而我会在这边，每天都向月亮许愿，许愿那个曾经在夜晚出现又消失的人。+那位指挥官——
NPC-Sakura(1)<Speaker>源樱</Speaker><Position>0,-270</Position><Scale>1.27</Scale>||<黑屏1>:最终回到自己的时代，建立属于自己的新世界。
()||<黑屏2><BIN>9</BIN>:夜色终将落幕，生命的旅途中总有无数的过客。
()<Speaker></Speaker>||<common_effect>%%code=Saga_Sakura_item%%</common_effect><SE1>AVG_Button_Click</SE1>:你在黑夜里独自启动了那枚按钮。+一道女声传来，充满着朝气与活力。
()<Speaker></Speaker>||<黑点1>:“指挥官，很期待与你再次相遇，那时候，你一定是成熟的法兰秀秀经纪人！”
