()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>BGM_ev2412_Yaroslavna</BGM><黑屏2><BIN>816</BIN>:...
NPC-Lunasia(1)<Speaker>Lunasia</Speaker>||:Well then, Commander? +Are you going to kill Miss Nele?
NPC-Lunasia(1)<Speaker>Commander</Speaker><同时置暗>||:... I refuse.
NPC-Lunasia(1)<Speaker>Lunasia</Speaker>||:Why? +Do you doubt her ability?
NPC-Lunasia(1)<Speaker>Commander</Speaker><同时置暗>||:...Not at all. +I understand perfectly what you mean. +I do believe that... in some other world, she accepts the codename "William". +That she becomes the executioner who opens the path to the Relics.
NPC-Lunasia(1)<Speaker>Commander</Speaker><同时置暗>||<CGDelay>0.5</CGDelay>:But what I know with even more certainty... is that it will not be in this world. +In this world, Nele lays down her gun. +Her hands are the hands of a compassionate healer. +Not hands steeped in sin.
NPC-Lunasia(1)<Speaker>Lunasia</Speaker>||<SE1>ClothingUp</SE1>:Congratulations, Commander, you've chosen correctly. +Because in this world, Miss Cornelia Schaefer has already learned the true cause of Gray's death. +The reason she seeks revenge on you and Angelia is that she believes Gray died at your hands.
NPC-Lunasia(1)<Speaker>Lunasia</Speaker>||:Because you saved Angelia at the mansion. +And she was given Gray's human remains by Hebe.
NPC-Lunasia(1)<Speaker>Commander</Speaker><同时置暗>||:... +And what about you?
NPC-Lunasia(0)<Speaker>Lunasia</Speaker>||:Me?
NPC-Lunasia(0)<Speaker>Commander</Speaker><同时置暗>||:At this point... you are already overflowing with sin... Six million lives' worth of blood has been spilled at your altar...
NPC-Lunasia(0)<Speaker>Lunasia</Speaker>||:Do you know the Kaiserdom St. Bartholomäus?
NPC-Lunasia(0)<Speaker>Commander</Speaker><同时置暗>||:What?
NPC-Lunasia(0)<Speaker>Lunasia</Speaker>||:It has a long history. Since 1356, it has been the official place where emperors of the Holy Roman Empire were elected. From 1562 to 1792, ten emperors were crowned there. +The magnificent robes of the coronation ceremonies are displayed inside, and if you climb the tall spire tower, you can get a panoramic view of the entire city.
NPC-Lunasia(0)<Speaker>Lunasia</Speaker>||:Through three world wars, only that tower miraculously survives. +Romantic, don't you think?
()<Speaker>Commander</Speaker>||:...
NPC-Lunasia(0)<Speaker>Lunasia</Speaker>||:That's why the operation was codenamed "Coronation Storm".
NPC-Lunasia(0)<Speaker>Commander</Speaker><同时置暗>||:...It's also why you must die.
NPC-Lunasia(0)<Speaker>Lunasia</Speaker>||:You want to kill me?
NPC-Lunasia(0)<Speaker>Commander</Speaker><同时置暗>||:Yes. No matter the cost...
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:Lunasia grins, as if this was the funniest thing she has heard all day.
