()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>229</BIN><黑屏2><BGM>BGM_Room</BGM>:At the power generators. +Several minutes ago.
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:Ange, we've entered the heart of the base. The heat signature that we detected earlier is also approaching, but we definitely got here sooner.
NPC-AngeDamage(4)<Speaker>Angelia</Speaker><通讯框>||:<color=#00CCFF>A mech isn't too maneuverable in such confined spaces. What about our other members?</color>
AN94(0)<Speaker>AN-94</Speaker><Position>0,100</Position>||:They will be here in one minute.
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:This is probably a little too late, but since you're sending us light-weight Dolls to fight a mech of that caliber, have you considered equipping each of us with something like M4's particle cannon?
NPC-AngeDamage(4)<Speaker>Angelia</Speaker><通讯框>||:<color=#00CCFF>If I get out of this alive, I might get Persica to build you some.</color>
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:In other words, we're on our own right now.
NPC-AngeDamage(4)<Speaker>Angelia</Speaker><通讯框>||:<color=#00CCFF>Instead of griping, running simulations for the upcoming fight would be a better use of time.</color>
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:I can gripe and run 20 different simulations simultaneously. +Though I doubt you'd want to know their outcome. 
NPC-AngeDamage(4)<Speaker>Angelia</Speaker><通讯框>||:<color=#00CCFF>I'm getting a much higher rate of success than you in my simulation.</color>
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:That's because I don't take your death-seeking tendencies into consideration.
NPC-AngeDamage(4)<Speaker>Angelia</Speaker><通讯框>||:<color=#00CCFF>I really may not walk out of this alive. What I need is a solution that is guaranteed to eliminate the enemy.</color>
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:You think too much of yourself, Ange. +It might be a different story if we were talking about a battle of wits, but your presence has pretty much no influence on the outcome when it comes to head-on fights like this.
NPC-AngeDamage(4)<Speaker>Angelia</Speaker><通讯框>||:<color=#00CCFF>...</color>
AN94(0)<Speaker>AN-94</Speaker><Position>0,100</Position>||:Ange, 12, our teammates are in position.
RPK16(0)<Speaker>RPK-16</Speaker>||:We seem to be right on time. Perfect. +We meet again, 12. +I told you we wouldn't be parted for long.
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:I was starting to question Ange's decision of making you the babysitter, but you're surprisingly good at the job. +Got any presents for me?
RPK16(0)<Speaker>RPK-16</Speaker>||:I will give it to you when the time is right. +Alright, 15, carry on. We mustn't argue with those we've been charged to protect, okay?
AK15(0)<Speaker>AK-15</Speaker>||:...Right. +Ammo.
AN94(0)<Speaker>AN-94</Speaker><Position>0,100</Position>||:Oh...! +D-do you need spare ammo? I have some here.
AK15(0)<Speaker>AK-15</Speaker>||:Yes.
AK12(0)<Speaker>AK-12</Speaker><Position>0,100</Position>||:Heh, a special snowflake who uses a different kind of ammo than everyone else and needs others to carry spare ammo just for her. What a pain in the ass. +Don't you agree, 94?
AN94(0)<Speaker>AN-94</Speaker><Position>0,100</Position>||:Huh? +Uh... I don't mind...
AK15(0)<Speaker>AK-15</Speaker>||:... +Rounds of larger caliber are needed against armored units. 5.45mm just won't cut it.
