()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>187</BIN><黑屏2><BGM>BGM_Room</BGM>:Some days later, somewhere in the wasteland. +A manned cargo vehicle stops at the edge of the wilderness. In the face of billowing sand, two Dolls disembark.
KP31(0)<Speaker>Suomi</Speaker>||:...Mission log. +Squad "Redlight" has arrived at the target perimeter, now proceeding on foot.
PPsh41MOD(0)<Speaker>Papasha</Speaker>||:Reiterating mission target: according to this week's sample records, the radiation being spread through the high-concentration zones will affect this area. +We are to assist and escort humans gathered nearby out of the area. +Any other questions, Suomi?
KP31(0)<Speaker>Suomi</Speaker>||:Yes.
()<Speaker></Speaker>||:Suomi puts away the recording pen, looking at Papasha.
KP31(0)<Speaker>Suomi</Speaker>||:Why must I be in a squad with you?
PPsh41MOD(0)<Speaker>Papasha</Speaker>||:Hell if I know. Go ask the Commander.
KP31(0)<Speaker>Suomi</Speaker>||:...
()<Speaker></Speaker>||:As Suomi raises her head, the Commander's face is seemingly projected onto the horizon. +...This is your amazing idea? +I'm not trusting you ever again.
PPsh41MOD(0)<Speaker>Papasha</Speaker>||:What are you looking at the sky for?+I know you'd rather not, but this is how things are, so might as well get it over with. +Do you think I want this?
KP31(0)<Speaker>Suomi</Speaker>||:I haven't even said anything, so don't around making wild one-sided assumptions. +As for anything I'm not happy with, it's just why there's only the two of us. +A bit paltry in the firepower department, no?
PPsh41MOD(0)<Speaker>Papasha</Speaker>||:Speak for yourself. +This is just the Yellow Zone, with no dangerous ELIDs or records of bandits appearing.
()<Speaker></Speaker>||:Guessing at the Commander's intentions, Suomi refrains from making taunts like before. +However, Papasha's words grew poisonous, clearly still hung up over the events that transpired a few days prior. +Faced with this attitude, that vague fire within Suomi's neural cloud rises once more, the belligerent urges growing stronger.
KP31(0)<Speaker>Suomi</Speaker>||:You messed up in the head? +What if something unexpected happens? Not that I care. +Are you a moron? There's no room to faff about.
PPsh41MOD(0)<Speaker>Papasha</Speaker>||:If you're scared, you're welcome to turn around right now.+I can complete this assignment all by myself anyway; you're nothing but an extra. +Don't forget, I'm in a new model of body with neural upgrades. My performance is on a whole other level compared to before.
KP31(0)<Speaker>Suomi</Speaker>||:…Got some newer parts, a bit more power, and look at you fluttering up to the heavens above.
PPsh41MOD(0)<Speaker>Papasha</Speaker>||:...
()<Speaker></Speaker>||:Papasha opens her mouth, intending to respond. +She seems to think of something, twists her head to the side, and takes a deep breath.
PPsh41MOD(0)<Speaker>Papasha</Speaker>||:I'm the squad leader... I need restraint, restraint. +Let's get this done and head back early so we'll have a win-win, ok?
KP31(0)<Speaker>Suomi</Speaker>||<黑点1>:Looks like that's the one thing we agree on.
()<Speaker></Speaker>||<黑点2>:Contaminated Zone, after 5 minutes of travel.
KP31(0)<Speaker>Suomi</Speaker>||:Mission record. +The radiation concentration is far beyond average for a Yellow Zone. +Electronic signal transmissions are somewhat affected, and the projected effect on humans: above average.
KP31(0)<Speaker>Suomi</Speaker>||:...Your intel abilities are far too poor to keep up with what's happening. +The situation here is far more grim than reports indicate. If we arrived just a bit later... +Even if the humans in this area are successfully evacuated, they'll be afflicted with severe side effects that'll be hard to recover from.
