()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
()<Speaker>M4A1</Speaker>||<BIN>138</BIN><黑屏2><BGM>BGM_Room</BGM>:...
()<Speaker></Speaker>||:After putting on the ivy-shaped garter, M4 stands before the mirror and studies herself from head to toe.
M4A1(7)<Speaker>M4A1</Speaker>||:Hm! +Perfect.
M4A1(7)<Speaker>M4A1</Speaker>||:(Do your best, M4!) +(...You've got this!)
M4A1(7)<Speaker></Speaker>||<黑屏1>:She gives herself a pep talk as if she's about to enter the battlefield. +Her gaze then falls onto the table next to the mirror, where a photograph stands. In the photo are four distinctive girls, including M4's bashful figure...
()<Speaker>M4A1</Speaker>||<黑屏2><黑屏1><BGM>BGM_Empty</BGM>:... +...I wish we could get a complete group photo.
()<Speaker></Speaker>||<黑屏2><BIN>139</BIN><BGM>BGM_Moon</BGM>:...
M16A1(1)<Speaker>M16A1</Speaker>||:Oooh, this is excellent whiskey!
M16A1(1)<Speaker></Speaker>||:M16 drains her glass in one go and exhales in satisfaction.
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:The ball hasn't even started yet. Don't drink it all up.
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:I consider the party started the moment I got my hands on booze. +But I thought the venue has its own beverage provider, so where did this whiskey come from?
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:You seem to like it.
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:Hm?
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:Ahem! Right, why don't you head over to the stage during the intermission?
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:What, are you going to perform?
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:Uh, that's not it.
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:Pity. I thought you had all kinds of surprises for me.
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:More importantly, I really want all of us to get a pho...
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:Pho?
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:Uh, n-nothing!
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:Hm?
M4A1(7);OTs14(6)<Speaker>OTs-14</Speaker>||:M16.
M4A1(7);OTs14(6)<Speaker></Speaker>||:The conversation is interrupted by Groza's sudden appearance. After exchanging a few words with her, M16's face darkens.
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:Then let's set off.
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:M16? +Is it an enemy attack?
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:Enemy attack? No, someone's just planning to down all the booze prepared for the banquet; I have to go and save it.
M4A1(7)<Speaker>M4A1</Speaker>;M16A1(1)||:But weren't you just...
M4A1(7);M16A1(1)<Speaker>M16A1</Speaker>||:We'll continue when I'm back. Go and have some fun with SOP-II and the others.
M4A1(7);M16A1(1)<Speaker></Speaker>||:M16 throws back the second glass of whiskey.
M4A1(7);M16A1(1)<Speaker></Speaker>||:And thanks for this, M4.
M4A1(7)<Speaker></Speaker>||:She puts down the glass and heads off with Groza.
M4A1(7)<Speaker>M4A1</Speaker>||:...
M4A1(7)<Speaker></Speaker>||:Looking at the empty whiskey glass, M4 can't help but feel just a little bit pleased. 
M4A1(7)<Speaker>M4A1</Speaker>||:So she knew all along. I got this whiskey just for her.
