DiffclutyNum|2
MissionMapSize|4000,2000
//MissionContainerMapSize|1200,600,500,1000
MissionSpotMapSize|1100,1500,450,600
MissionMapMaxScale|1
MissionSpotCode|Reversible_MissionPanelTitle
MissionPathCode|Reversible_MissionPanelCurve
//MissionContainerCode|ReversibleChapter
//MissionContainerReturnCode|PolarizedLight_ContainerReturn
//MissionContainerBackgroundCode|PolarizedLightChapterMap
MissionBackgroundCode|PolarizedLight_PanelBackground
MissionMoveAngle|10,10
SelectEffectName|SelectPanelEffect
LightColor|FFFFFFFF,FFFFFFFF

MissionSpot|0|11630,11630|300,0,0|0||0
