()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><BIN>99</BIN><BGM>BGM_War</BGM>:20分前、軍の駐屯地。
NPC-Yegor(4)<Speaker>エゴール</Speaker>||<SE1>AVG_tele_connect</SE1>:へマタイト、こちらアース、状況を報告せよ、オーバー。
NPC-Yegor(4);NPC-Soldier(0)<Speaker>正規軍将校</Speaker><通讯框>||:<color=#00CCFF>こちらへマタイト。すでにクオーツ残存部隊と合流済み。現在鉄血工造ならびにパラデウスの敵軍と交戦中。</color>+<color=#00CCFF>速やかな突破は不可能、繰り返す、速やかな突破は不可能。オーバー。</color>
NPC-Yegor(4)<Speaker>エゴール</Speaker>;NPC-Soldier(0)||:アース了解、損失報告を。オーバー。
NPC-Yegor(4);NPC-Soldier(0)<Speaker>正規軍将校</Speaker>||:<color=#00CCFF>へマタイト了解。任務続行可能、安心されたし。オーバー。</color>
NPC-Yegor(4)<Speaker>エゴール</Speaker>;NPC-Soldier(0)||:アース了解。20秒後に次の制圧砲撃を行う。//nジルコンが至急支援する、進攻を維持せよ。オーバー。
NPC-Soldier(0)<Speaker>正規軍将校</Speaker>||:<color=#00CCFF>へマタイト了解、アウト。</color>
()||:通信終了。
NPC-Soldier(0)<Speaker>副官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:大尉、ヘマタイトは酷い状況にあります。//n我々の歩兵と人形の数も、すでに残り僅かです。
NPC-Yegor(4)<Speaker>エゴール</Speaker>;NPC-Soldier(0)||:分かっている。准尉、アレを出せ。切り札を使う時が来た。
NPC-Soldier(0)<Speaker>副官</Speaker>||<黑屏1>:はっ！
()||<BIN>224</BIN><黑屏2><SE2>Alarm</SE2>:隔離扉の裂け目にて。+そう大きくない裂け目は、機械の残骸や燃え尽きた弾薬、//n人間の死体で埋め尽くされていた。+30分にも満たない時間の中で、双方はすでに持ち得る全戦力を、//nこの決戦へと注ぎ込んでいた。
BOSS-5(0)<Speaker>アルケミスト</Speaker>||:どうした、来い、人間！
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||<SE2>Gunfight</SE2><震屏>:伏せろ！
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:死に損ないどもめ。たかが砲台なんぞで調子に乗りおって。//n白い奴らは何をしてる？
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:全滅だ。さっきの砲撃にやられたので最後だろう。
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:チッ！こちらの予備部隊は？
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:残るはあたしら二人だけだ。//nスケアクロウはエクスキューショナーに運ばれて行った。//n見てみろ、部隊なんぞどこにもない。
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:まさかお前とここで死ぬ羽目になるのか？冗談はよせ。
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:無駄話をする暇があったら……
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:あったらなんだ？聞こえないぞ！それとも黙ったままか？
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:吉言をどうも。人間の戦車だ。
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:次から次へと。//nどういうことだ、人間は戦死した仲間を悼むんじゃなかったのか？
BOSS-5(0)<Speaker>アルケミスト</Speaker>||:虫のごとく群がってくるのを見ると、//n奴らは神など信じていないように見えるがな。
()||:冗談を言い合っていた二名の鉄血エリートは、//nその場に立ち上がり武器を構えた。
BOSS-3(0)<Speaker>ハンター</Speaker>||<黑屏1>:鉄血工造！突撃！！
()||<BIN>85</BIN><黑屏2>||:グリフィン臨時駐屯地。
()<Speaker>指揮官</Speaker>||:状況は？
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:鉄血残党がまだ軍と縺れ合っています。//nですが、パラデウスの部隊はすでに消滅しました。
NPC-Kalin(4)<Speaker>指揮官</Speaker>||:こっちの守備はどう？
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:市街地への爆薬の配置はほぼ終えています。//n本当に鉄血を支援しなくていいんでしょうか？//n先ほどの報告によると、軍の装甲部隊が近づいているそうです……
NPC-Kalin(4)<Speaker>指揮官</Speaker>||:分かってる、だが今は余裕がない。+こちらはもはや防衛線一本すら組織できない状態だ、市街戦で奴らを削ろう。
NPC-Kalin(0)<Speaker>カリーナ</Speaker>||:了解です。
NPC-Kalin(0)<Speaker>指揮官</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:軍の部隊から目を離さないで。//n奴らは先を読んでる、何か動きがあるはずだ。
()||<BIN>224</BIN><黑屏2><BGM>BGM_Sad</BGM>:隔離扉の裂け目にて。+軍の装甲と砲火による二重圧制のもと、//n動ける鉄血はもはや僅かとなっていた。
BOSS-5(0)<Speaker>アルケミスト</Speaker>||:ハンター、あと何体残ってる？
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:知らんな。てっきりお前が数えていると思ったが？
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:把握してるのは、自分の指揮する部分のみだ。//nどうした、壊されたのはその頭じゃなくて、腕だったはずだぞ。
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:その無駄に鋭い眼光で、人間でも狙撃してきたらどうだ？
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:いいだろう。お前の脳を吹き飛ばさない保証はないがな。
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:そう強がるな。+それにしても、こんなゴミ処理場でゴミに埋もれることになろうとは……//n吐き気がするぞ。この記憶は消すに限るな。
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:文句があるなら人間どもに……//nおい、何しに来た？エージェントと撤退しろと言ったはずだ。
BOSS-3(0)<Speaker></Speaker>||:ハンターが振り向くと、戦線の後ろには、もはや見飽きた二人の姿があった。
BOSS-1(0)<Speaker>スケアクロウ</Speaker>||:こんな楽しそうなことに、わたしを呼んで下さらないなんて。
BOSS-2(0)<Speaker>エクスキューショナー</Speaker>||:借りを作るのはガラじゃねぇんだ。まとめて返してやるよ。
BOSS-2(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:愚か者め！ここで死んで何になる？
BOSS-2(0)<Speaker>エクスキューショナー</Speaker>;BOSS-3(0)||:戻ったとこで、エージェントに罵詈雑言を浴びせられンのがオチだ。//nそういうのは、お前に任せようと思ってね。
BOSS-1(0)<Speaker>スケアクロウ</Speaker>;BOSS-3(0)||:このまま立ち去っても、気分が悪くなるわけですわ。
BOSS-1(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:お前たち！
BOSS-5(0)<Speaker>アルケミスト</Speaker>;BOSS-3(0)||:よせ、人間どもは待っちゃくれない、すぐにでも襲って来るぞ。+それに、全員で愛を確かめ合いながら死ぬってのも、//nなかなか一興じゃないか。
BOSS-5(0);BOSS-3(0)<Speaker>ハンター</Speaker>||:お前たちという奴は！+いいだろう！鉄血工造！――
BOSS-3(0)<Speaker></Speaker>||<SE1>Explode</SE1><BGM>BGM_Empty</BGM>:その瞬間、爆発音がハンターのスローガンを遮った。+鉄血陣内からではない、戦場のもう一方からだ。+軍の兵士が巨大な花火となって打ち上がる。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>||<BGM>BGM_Boss</BGM>:アハハ、アーハハハ！死ね死ね死ね――ッ！
BOSS-6(0)<Speaker></Speaker>||:戦線南側の丘の上では、小さな人影が大量の榴弾をばら撒いている。//n爆発によって軍の進攻が弱まった。
BOSS-11(0)<Speaker>ドリーマー</Speaker>||:あたしの援護が恋しくなったんじゃない？役立たずの先輩様方？
BOSS-2(0)<Speaker>エクスキューショナー</Speaker>||:ハッ！チビども、無事だったか！
