()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:戦場にて。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<BGM>BGM_War</BGM><BIN>99</BIN><黑屏2>:<color=#00CCFF>右に気を付けろ。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:了解。
()<Speaker></Speaker>||:一隊の兵士たちが、慌ただしく通路を横切って行った。//n角の暗がりに隠れているのが私だとは、誰も気づいていない。+私とKは軍の視野から逃れるため、//n互いの位置を確認しながら、遮蔽物を利用して進んだ。
NPC-Yegor(3)<Speaker>正規軍将校</Speaker>||:兵士と自律ユニットを組織し直す！//n敵に切り離されるな、合流が第一目標だ！
()<Speaker></Speaker>||<SE2>Alarm</SE2>:基地へと入って来た軍の部隊編成は、完全に攪乱されていた。//nだが依然として、遠くの銃声が鳴り止む気配はない。//n残った人形たちは、敵残党へのジャミングを続け、//n他の分隊との合流を妨げている。
NPC-Kalin(4)<Speaker>カリーナ</Speaker><通讯框>||<SE2>Gunfight</SE2><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>指揮官さま、聞こえますか？</color>
NPC-Kalin(4)<Speaker>指揮官</Speaker>||:ああ、はっきりと。
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||<SE2>Gunfight</SE2>:<color=#00CCFF>現在、こちらの小隊と軍の部隊が近距離交戦中です。再招集は不可能ですが、さしあたって敵が攻めて来る事はなさそうです。</color>+<color=#00CCFF>人形も残りわずかです、強攻は望めません。今はどうにかして敵を引き留めることしか……長くは持ちません。</color>
NPC-Kalin(4)<Speaker>指揮官</Speaker>||:了解、こっちも急ぐよ。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>;NPC-Kalin(4)||:<color=#00CCFF>指揮官、トラブルだ。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>;NPC-Kalin(4)||:見えてる。バルブ付近に臨時司令所を設置したらしい、腹ただしい奴らだ。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:<color=#00CCFF>いざとなれば捨て身の作戦に出ることなど、敵の将校はお見通しだったようだ。</color>+<color=#00CCFF>どうする。バルブにたどり着くには、敵の司令所を通るしかない。</color>+<color=#00CCFF>人形にやらせるか？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>;NPC-Kalin(4)||:敵の兵士は多くないが、こっちの人形も残りわずかだ。+チッ……カリーナ、聞こえる？
NPC-Jason(1);NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:<color=#00CCFF>聞こえてます、お話しください。</color>
