()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
VHS(0)<Speaker>VHS</Speaker>||<BIN>71</BIN><黑屏2><BGM>BGM_Room</BGM>:……成功したよ。
AUGPARA(0)<Speaker>AUG Para</Speaker>||:鉄血をハッキングして戦力を増やせるだなんて、すご～い！+さすがは可愛さと実力を併せ持つVHSちゃん、お近づきになりた～い！
VHS(0)<Speaker>VHS</Speaker>||:こんなの、ルービックキューブより簡単だよ……それと、あんまり近づかないで。
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:あの、隊長、次はどうしますか？
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:これからは二組に分かれて行動します。AUG PARA、あなたはVHSを援護し、この基地の指揮システムからデータ情報を収集するのです。できますね？
AUGPARA(0)<Speaker>AUG Para</Speaker>||:可愛いエンジェルちゃんのことは、私にお任せくださ～い！
VHS(0)<Speaker>VHS</Speaker>||:……なんなの、この人形？
AUGPARA(0)<Speaker>AUG Para</Speaker>||:えへへへ～、V・H・S・ちゃ～ん……はりゃっ？ま、待ってよぉ！
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:そして、リューとPM1910。私とともに基地で使えそうな物資を探しましょう。
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:はい！精一杯勉強させて頂きます！
PM1910(0)<Speaker>PM1910</Speaker>||:物資探しだと？つまんねーことさせんじゃねーよ。
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:では、あなたは何がしたいのです？
PM1910(0)<Speaker>PM1910</Speaker>||:ケンカに決まってんだろ！物資はお前らだけでゆっくり探しとけ、あばよ！
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:えっ、ま、待って……+隊長、どうしましょう？
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||<黑点1>:ついていきましょう。そんなに戦いが好きなら、彼女に敵を片づけてもらえばいい。
()||<黑点2>:……+……ウロボロス基地内、廊下にて。
PM1910(0)<Speaker>PM1910</Speaker>||:ウロボロスの手下ども、どこに行きやがった？さっさと出て来やがれ！
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:そ、そんなに大声出さないでください……さっきの奴らだけでもヘトヘトなのに……！
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:規則は置いておくにしても、こうも堂々とチームメイトに迷惑をかけて、恥ずかしいとは思わないのですか？
PM1910(0)<Speaker>PM1910</Speaker>||:ついてきたのはそっちだろ？自業自得だぜ。
()||:言葉だけでは飽き足らず、PM1910は廊下の隅に並べてあった空の弾薬箱を蹴とばした。真っ暗な基地の中に、ひとしきり「カラン」という音が響く。
PM1910(0)<Speaker>PM1910</Speaker>||:なんなんだよ、このボロい基地は。ガラクタまでおキレイに並べやがって。病気じゃねーのか？
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:ウロボロスは極めて几帳面な完璧主義者なのでしょう。立場が異なるとはいえ、規律の面においては賞賛に値する！
PM1910(0)<Speaker>PM1910</Speaker>||:なるほどな、お前と同じくらいカタブツなわけだ。
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:うん、「ウロボロスは完璧主義者」、と。
PM1910(0)<Speaker>PM1910</Speaker>||:おい、なにブツブツ言ってんだ？
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:す、すみません、ノートを取っていました。+経験を積むために、しっかり勉強しておかないと……
PM1910(0)<Speaker>PM1910</Speaker>||:ノートにペンで！？
()||:PM1910はリューの手からノートを奪い取った。
PM1910(0)<Speaker>PM1910</Speaker>||:お前が頼るべきなのは、こんなノートじゃねーだろ。メンタルだろ、メンタル！！
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:は、はい、すみません……
()||:威圧的なPM1910の態度を受けて、リューは後ずさりしながら謝った。ふいに何者かの両手が肩に置かれるまで。
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:た、隊長……？
PM1910(0)<Speaker>PM1910</Speaker>||:なんだよ、こいつを庇うってのか？
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:……あなたからは、実力を発揮できずにいる悔しさを感じます。
PM1910(0)<Speaker>PM1910</Speaker>||:ハァ？
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:言ってごらんなさい。なぜあの時、保護すべき人間を脅したのです？
PM1910(0)<Speaker>PM1910</Speaker>||:お前になんの関係がある？
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:人形が世界中に普及したのは、我々がいかなる状況下においても、人間の脅威とはなり得ないという前提があるからです。+ですがあなたは人間を脅し、メンタルに悪質な欠陥があるとみなされた。しかも原因は不明。もし本当にそうなら、あなたのメンタルを検査した人間は、すでに解雇されているはず……+あの時、一体なにがあったのです？
PM1910(0)<Speaker>PM1910</Speaker>||:だから、それがお前となんの関係があるってんだよ！？
()||<SE2>Gunfight</SE2>:PM1910は銃を構えてトリガーを引いた。モンドラゴンの足元に弾痕が散らばる。
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:……
AUGPARA(0)<Speaker>AUG Para</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>あ～、もしもし～聞こえますか——？</color>
PM1910(0)<Speaker>PM1910</Speaker>||:……
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:AUG PARA、急になんですか？
AUGPARA(0)<Speaker>AUG Para</Speaker><通讯框>||:<color=#00CCFF>おぉ、本当に繋がったよ！</color>
MondragonM1908(0)<Speaker>モンドラゴンM1908</Speaker>||:何がです？
