()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>84</BIN><黑屏1><BGM>BGM_Brain</BGM>:倉庫を離れ、ガラテアグループの車両隊は凸凹の道を進んでいた。+彼らは市街地に戻ることなく、逆にさらに辺鄙な方に向かっていた。
()<Speaker></Speaker>||<黑屏2><BIN>159</BIN>:隔離壁を通り、浄化エリアの外に出ても、まだ進み続けた。+そして誰もいないどこかへ着くと、車両隊はようやく止まった。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>||:グレイ先生、つきました。
NPC-Bodyguard1(0);NPC-MrsGray(0)<Speaker>グレイ</Speaker>||:……
NPC-Bodyguard1(0);NPC-MrsGray(0)<Speaker></Speaker>||<同时置暗>:（……サッサッ……）
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>;NPC-MrsGray(0)||:……！
NPC-Bodyguard1(0);NPC-MrsGray(0)<Speaker></Speaker>||<同时置暗>:突然の異変に、警備部隊の者たちはすぐ警報を鳴らした。+遮蔽物の後ろから大量の白い兵士たちが現れ、//nグレイを含むガラテアグループの一行を囲んだ。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>||:何者だ！
NytoWhite(0)<Speaker>ネイト</Speaker>||:……
NytoWhite(0)<Speaker></Speaker>||:……白い兵士の中から、//n体の半分が機械で出来ている白い少女がゆっくりと歩いて来た。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>||:こ、これ以上近づくな！
NPC-Bodyguard1(0)<Speaker></Speaker>||:謎の部隊のあまりの不気味さに、//n警備部隊の者たちはつい不安で銃を持ち上げた。
NPC-MrsGray(0)<Speaker>グレイ</Speaker>||:……
NPC-MrsGray(0)<Speaker></Speaker>||:しかし、保護するべき対象であるグレイは、意外な事に自分から前へ進み出た。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker><Shake>;NPC-MrsGray(0)||:まっ……グレイ先生！　お気を付けください！
NPC-Bodyguard1(0)<Speaker></Speaker>||:か弱い上司が自分から鎌を持った少女へ近寄っていくところを見て、//n警備部隊の一人は叫んだ。+だがそれに続く光景には、実に驚かざるを得なかった。
()<Speaker></Speaker>||:（バシッ）+グレイは少女に重いビンタを喰らわせた。
NPC-MrsGray(5)<Speaker>グレイ</Speaker>||:……どうしてアンジェリアが工場に現れた？
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(5)||:もうしわけ……
NytoWhite(0);NPC-MrsGray(5)<Speaker></Speaker>||:（バシッ）+さらに往復して一回ビンタを入れた。
NytoWhite(0);NPC-MrsGray(5)<Speaker>グレイ</Speaker>||:愚か者が。
NytoWhite(0);NPC-MrsGray(5)<Speaker></Speaker>||:グレイの薄気味悪い表情と、その凍えそうな冷たい声に、//n警備部隊たちは自分たちは夢でも見ているのではないかと疑った。
NytoWhite(0);NPC-MrsGray(5)<Speaker>グレイ</Speaker>||:こっちの者たちが知らせてくれたからいいものの、//nさもなくばどんな結果を招いたのか分かっているのか？
NytoWhite(0)<Speaker>ネイト</Speaker><Shake>;NPC-MrsGray(5)||:……
NytoWhite(0);NPC-MrsGray(5)<Speaker>グレイ</Speaker>||:お前たちのせいで私の完璧な計画に傷がついた。+もしそれでお父様の気に障ったら、責任が取れるのか？
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(5)||:……責任は、とります。
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:白いネイトの反応を見て、グレイは次第にいつもの雰囲気に戻った。
NytoWhite(0);NPC-MrsGray(0)<Speaker>グレイ</Speaker>||<BGM>BGM_Empty</BGM>:当たり前よ。+……それも今すぐ。
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(0)||<BGM>BGM_Danger</BGM>:はい。
NytoWhite(0)<Speaker></Speaker>||:白いネイトは頷くと、視線をグレイの後ろにいるガラテアの部隊に向けた。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>||:グレイ先生……これは一体どういうことですか！
NytoWhite(0)<Speaker>ネイト</Speaker>||<SE2>Alarm</SE2>:……やりなさい。
NytoWhite(0)<Speaker></Speaker>||:鎌を持ち上げ、白いネイトは軽く命令を呟いた。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>||<SE1>Explode</SE1>:なに――！
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:その瞬間、銃声と叫び声が交わった。+グレイは服に着いた埃を振り払い、後ろを見向きもしなかった。
NPC-MrsGray(0)<Speaker>グレイ</Speaker>||<BGM>BGM_Empty</BGM>:夜零時までに。覚えておきなさい。
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(0)||<BGM>BGM_Brain</BGM>:……死体は、要りますか？
NytoWhite(0);NPC-MrsGray(5)<Speaker>グレイ</Speaker>||:……
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:あまりに愚かな質問にグレイは怒りそうになったが、//n突然ある考えが脳内を過った。+少し表情をやわらげて、こう言った。
NytoWhite(0);NPC-MrsGray(0)<Speaker>グレイ</Speaker>||:いるわ。+だけど、私のところには送らないでね。+……このサプライズはモリドーに贈ってあげなさい。
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(0)||:はい。
NytoWhite(0)<Speaker></Speaker>;NPC-MrsGray(0)||:白いネイトは頷いた。+またグレイを怒らせるかもしれないと内心怯えている様子だったが、//n恐る恐る訊いた。
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(0)||:アンジェリアのところに残した目は……+使えますか？
NytoWhite(0);NPC-MrsGray(0)<Speaker>グレイ</Speaker>||:……
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:グレイは無表情でネイトを見つめた。+ネイトの緊張が目に見えるほど露わになってきたところで、//nグレイは頭を振りながら背を向けた。
NPC-MrsGray(0)<Speaker>グレイ</Speaker>||:まだ使えないわ。
NPC-MrsGray(0)<Speaker></Speaker>||:この時、警備部隊への虐殺はすでに終え、//n地面に流れた血はグレイの足元まで広がった。+白い兵士たちは手慣れた動きで死体を運び、//n車に置いてあった証拠となる物たちも丁寧に処分した。+グレイは血に汚れた車を見て、思わず不快な表情で一歩下がった。
NPC-MrsGray(0)<Speaker>グレイ</Speaker>||:パンドラの箱は……簡単に開けてはいけないわ。
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(0)||:分かりました。
NytoWhite(0)<Speaker></Speaker>;NPC-MrsGray(0)||:そう言って、白いネイトはグレイに頭を下げた。
NPC-MrsGray(0)<Speaker>グレイ</Speaker>||:それと、新しい車をちょうだい。
NytoWhite(0)<Speaker>ネイト</Speaker>;NPC-MrsGray(0)||<黑屏1>:……はい。
