()<Speaker>指揮官</Speaker>||:ハッピーホワイトデー、ハンター。+今回は本当に面倒をかけた。
BOSS-3(2)<Speaker>ハンター</Speaker><Position>290,-150</Position>||:ちゃんと覚えているとは、どうやら少しはデリカシーがあるようだな。+しかしまさか、自分の作ったチョコで借りを返してもらうとは思わなかった。
()<Speaker></Speaker>||:ハンターは平然とチョコレートを受け取ったが、口ぶりは非常に辛辣だった。
()<Speaker>指揮官</Speaker>||:……毒舌だね。
()<Speaker></Speaker>||:指揮官もやれやれと笑うしかなかった。
()<Speaker>指揮官</Speaker>||:もし他に欲しいものがあれば、また用意するよ。+でも今回のこれは私からのプレゼント、つまりそういう気持ちなんだ。
BOSS-3(2)<Speaker>ハンター</Speaker><Position>290,-150</Position>||:フン……そう真面目に受け取るな、今のは冗談だ。+そもそもの話、これは我々鉄血が招いたトラブルでもある。
BOSS-3(2)<Speaker>指揮官</Speaker><Position>290,-150</Position><同时置暗>||:鉄血でも、もともとグリフィンにいる人形でも、みんな同じだよ。+今はみんな仲間だ。
BOSS-3(2)<Speaker>ハンター</Speaker><Position>290,-150</Position>||:……
BOSS-3(2)<Speaker>指揮官</Speaker><Position>290,-150</Position><同时置暗>||:ハンター？
BOSS-3(2)<Speaker>ハンター</Speaker><Position>290,-150</Position>||:ありがとう、指揮官。
BOSS-3(2)<Speaker>指揮官</Speaker><Position>290,-150</Position><同时置暗>||:……どういたしまして。
()<Speaker></Speaker>||:……
