()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>527</BIN><narrator>:「未来号」大陸間列車、コルト・エクスプレス。
()||<BGM>GF_2022_Summer_AVG_4</BGM>:マギーの向こうに、一つの影が座っていた。+影の前には、「スペードのK」のトランプが置かれてある。
ColtWalker(3)<Speaker>マギー</Speaker>||:これが「彼女」の位置だ。
NPC-Tareus(2)<Speaker>スペードのK</Speaker>||:……受け取った。
ColtWalker(3)<Speaker>マギー</Speaker>||:そんじゃ、この……「ロイヤルカジノ」？の報酬金はいつ貰えるんだ？
NPC-Tareus(2)<Speaker>スペードのK</Speaker>||:……誰かがやる。
()||:スペードのKは淡々と答えると、マギーの前から消えた。
()||<黑屏1>:
()||<黑屏2><BIN>467</BIN><narrator>:「未来号」大陸間列車、コルト・エクスプレス、一番後ろの車両。
NPC-Scalper(3)<Speaker>キャサリン</Speaker>||:やっと戻ってきた……
()||:マギーが現れたのを見て、キャサリンは長い溜息をつく。
NPC-Scalper(3)<Speaker>キャサリン</Speaker>||:外には軍隊、中にはマフィア。+おまけに車両は雨漏り……+こんな依頼もう金輪際勘弁してほしいよ。+はぁ、あの時ニコライの金を横領しなけりゃよかった。
NPC-Scalper(3);ColtWalker(3)<Speaker>マギー</Speaker>||:……しょうもないことを言うな。
NPC-Scalper(3)<Speaker>キャサリン</Speaker>;ColtWalker(3)||:じゃあしょうもあることを言ってよ！+もうアタシらの役目は終わったんだろ……
NPC-Scalper(3);ColtWalker(3)<Speaker>マギー</Speaker>||:それはどうかな……+まだまだやることはたくさんあるぞ。
NPC-Scalper(3)<Speaker>キャサリン</Speaker>;ColtWalker(3)||:やめやめやめい……もうその話はいいって！+ていうか、さすがに今回は片方に賭けすぎなんじゃない？+以前と同じ、とりあえず漁夫の利を狙うって思ってたのに……
NPC-Scalper(3);ColtWalker(1)<Speaker>マギー</Speaker>||:……片方に加担するしかない時もあるさ。
NPC-Scalper(3)<Speaker>キャサリン</Speaker>;ColtWalker(1)||:外のあの装甲車たちはなんなの？+こんなの初めて見たよ……
