()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>356</BIN><narrator>:モスクワ、闇市の取引小屋。
()||<BGM>GF_Swim_Marnie</BGM>:キャサリンはソファーに寝ころびながら、クインビーに指示を出して//n荷物を片付けていた。
NPC-Scalper(0)<Speaker>キャサリン</Speaker>||:……こんぐらいにしとくか。
NPC-Scalper(0);NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>||:疲れましたよ！　今までコルト・エクスプレスに乗るのに//nこんなに荷物いらなかったんじゃないですか！
NPC-Scalper(0)<Speaker>キャサリン</Speaker>;NPC-Quimby(0)<Position>0,300</Position>||:今回は大事な任務があるの。
NPC-Scalper(0);NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>||:なのに新しいお客さんも呼び込んだのですか？　時間、本当に大丈夫ですの？
NPC-Scalper(0)<Speaker>キャサリン</Speaker>;NPC-Quimby(0)<Position>0,300</Position>||:大して時間かからないよ。それに――
NPC-Scalper(0);NPC-Quimby(0)<Position>0,300</Position><同时置暗><Speaker></Speaker>||:キャサリンは貪欲な笑みを浮かべる。
NPC-Scalper(0)<Speaker>キャサリン</Speaker>||:見たところ、あいつの素体はなかなかのもので……
()||<SE1>AVG_Knock</SE1>:（コン――コンコン――コン――）+約束通りのノック音だった。
NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>||:おや、来ましたようですね。
NPC-Scalper(0)<Speaker>キャサリン</Speaker>||:よし、クインビー、プランBだ。
()||<SE1>AVG_BaseDoor_Close</SE1>:キャサリンが壁のボタンを押すと、壁がゆっくりと回り始めた。//nその裏にある部屋にキャサリンは入る。+そしてキャサリンがいなくなったことを確認し、クインビーは//n小屋のドアを開く。
NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>||<SE1>AVG_Door_Open_Close</SE1>:いらっしゃいませ(*^▽^*)！+わたくし、テキーラ酒場のクインビーと申します！
NPC-Quimby(0)<Position>0,300</Position>;Erma(6)<Speaker>エルマ</Speaker>||:……約束通り、コルト・エクスプレスのチケットを取りに来た。
NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>;Erma(6)||:はいはい、それではまずはここにご記入をお願いします。
Erma(6)<Speaker>エルマ</Speaker>||:……
()||<SE1>AVG_20Winter_Drink_Tea</SE1>:クインビーがお茶の準備をしに行った隙に、エルマはこの小屋の中を観察した。+面積はおよそ20平米、角に色々な物が積まれており、//nもともと狭いこの小屋をさらに狭くしている。+その多くは人形の替えパーツで、中でも冷却用のパーツが殆どであった。//n残りは取引の記録書類みたいだが、文面は暗号化されており//n読み取ることができない。
Erma(4)<Speaker>エルマ</Speaker>||:<color=#A9A9A9>闇市の商売に演算力が必要なの？　こんなにたくさんの冷却装置、//nあたしなら300年は困らない……</color>
NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>||:はいどうぞ、お茶でございます(*^▽^*)！+ご記入は済んだようですね、では、こちらチケットになります。
()||<SE1>AVG_File_Put</SE1>:クインビーは一通の封筒を取り出し、エルマの前に置いた。
NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>||:お支払いはどうなされますか？
Erma(6)<Speaker>エルマ</Speaker>||:……
()||<SE1>AVG_20Winter_Book</SE1>:エルマは封筒を開き、チケットの情報を確認した。
Erma(5)<Speaker>エルマ</Speaker>||:支払いは……このチケットでコルト・エクスプレスに乗れた後にする。
NPC-Quimby(0)<Position>0,300</Position><Speaker>クインビー</Speaker>||:それはいけませんよ、お客様……
()||<SE1>ClothingUp</SE1>:それを聞いて、エルマはチケットを封筒に入れ、テーブルの上に戻した。
Erma(6)<Speaker>エルマ</Speaker>||:ダメなら、他を当たる。+チケットを売っているのはあなたたちだけじゃないから……
