()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
AR18(6)<Speaker>「Я」教官</Speaker><Position>0,70</Position><同时置暗>||<BIN>9</BIN><黑屏2><BGM>GF_2022_Summer_AVG_3</BGM>:<color=#66CDAA>リュドミラ、何をやっているんだ！</color>+<color=#66CDAA>任務と関係ないことをするな！</color>+<color=#66CDAA>敵に発見されるぞ！</color>
AR18(6)<Speaker>リュドミラ</Speaker><Position>0,70</Position>||:自分のやっていることはよく理解しているつもりだ。+敵に発見されるのが私の目的であり、それも君の計画通りである。
AR18(6)<Speaker>「Я」教官</Speaker><Position>0,70</Position><同时置暗>||:<color=#66CDAA>……</color>
AR18(6)<Speaker>リュドミラ</Speaker><Position>0,70</Position>||:君は私に何も言っていないけど、任務の目的については//nおおよその見当がついている。+「コルト・エクスプレス」に乗った時点で、私は切られる方の//nカードになった。+ただ肝心なのは、何時、私というカードを切るかだけ。+最初から、私の役割は「カモフラージュ」、でしょう？
AR18(6)<Speaker>「Я」教官</Speaker><Position>0,70</Position><同时置暗>||:<color=#66CDAA>……お互いを「カモフラージュ」だ。</color>
AR18(6)<Speaker>リュドミラ</Speaker><Position>0,70</Position>||:夜明けの星＜ウートレニャヤ＞が落ちた。
AR18(6)<Speaker>「Я」教官</Speaker><Position>0,70</Position><同时置暗>||:<color=#66CDAA>それはお前と関係ない。</color>+<color=#66CDAA>お前がカモフラージュして隠している対象は、まだ発見されていない。</color>
AR18(6)<Speaker>リュドミラ</Speaker><Position>0,70</Position>||:……だけど、私はすでに狙われている。
AR18(6)<Speaker>「Я」教官</Speaker><Position>0,70</Position><同时置暗>||:<color=#66CDAA>いや、まだその時ではない。</color>
AR18(6)<Speaker>リュドミラ</Speaker><Position>0,70</Position>||:今がベストタイミングだと思う。+今、前線に立っているのは私。
AR18(6)<Speaker>「Я」教官</Speaker><Position>0,70</Position><同时置暗>||:<color=#66CDAA>……</color>
AR18(6)<Speaker>リュドミラ</Speaker><Position>0,70</Position>||:マフィアの排除に入る。+「Я」教官、君にはこの作戦の指揮を担当してもらう。+そして実行は――リュドミラ・パヴリチェンコ。
AR18(6)<Speaker>「Я」教官</Speaker><Position>0,70</Position><同时置暗>||:<color=#66CDAA>お前……</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_Door_Hit</SE1>:（ドン――）//n何かがドアを突いている大きな音が聞こえてくる。
()<Speaker></Speaker>||:……
()||<黑屏1>:
()<Speaker></Speaker>||<BIN>529</BIN><黑屏2><BGM>GF_2022_Summer_Battle_2</BGM><narrator>:「未来号」大陸間列車、F02車両。
()<Speaker></Speaker>||<震屏3><SE1>AVG_Door_Hit</SE1>:車両のドアの向こうから大きな音が聞こえてくる――//nマフィアたちが突破を試みているのだろう。+ルゴザ医師は難しい顔をした。
NPC-Doctor(0)<Speaker>ルゴザ医師</Speaker>||:リュドミラさん、そのドアも長く持たないでしょう。+早めに決断を。
AR18(6)<Speaker>リュドミラ</Speaker><Position>0,70</Position>||:分かっている。+マギー、力を貸してくれ。
()<Speaker></Speaker>||:なぜか指名されたマギーは、一瞬で余裕の笑みが固まった。
