()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>380</BIN><黑点2><BGM>BGM_Hello</BGM>:充実した午前中が瞬く間に過ぎた。朝ご飯を食べていなかった君は、//n急いでコンビニに駆け付け、昼ご飯を買おうとした。+まだこの佐賀というところを完全に受け入れたわけではないが、//n君は少しずつこの地での生活に慣れ始めている。+ただ一つだけ除いて――
()<Speaker>指揮官</Speaker>||:スプリングフィールドのコーヒーが飲みたい……
()<Speaker></Speaker>||<SE1>AVG_Creep</SE1>:一つため息をついて、君はコンビニで買った//nインスタントコーヒーを揺らしてみた。+風味も、香りも、カフェインさえも少ない。//nこれはもはやコーヒーと呼ぶにはふさわしくない、ただの黒い液体だ。+しかし今の君は、これっぽちのカフェインですら欲していた。
()<Speaker>指揮官</Speaker>||:こんな日いつまで続くんだ？
()<Speaker></Speaker>||:またため息をついて、最後の一口を飲み干そうとしたその時――
NPC-Fans(0)<Speaker>？？？</Speaker><Position>0,-250</Position><Scale>1.7</Scale>||:やめなよ、そんな水道水みたいのを。
()<Speaker></Speaker>||<SE1>AVG_20Winter_Drink_Tea</SE1>:見ず知らずの女の子に、手元のカップを奪われ、//n代わりのコーヒーを押し付けられた。
NPC-Fans(0)<Speaker>？？？</Speaker><Position>0,-250</Position><Scale>1.7</Scale>||:わたしの推しがアンバサダーをやってるコーヒーを飲んでみて！//nタダであげるから！
()<Speaker>指揮官</Speaker>||:お、おお、ありがとう。+ちなみに、君の推しというのは？
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_Cheerful</SE1><SE1>Rope</SE1>:それを聞くと、変な仮面をかぶった女の子は、突然きりっと直立し、//n両手でハートの形を作った。
NPC-Fans(0)<Speaker>？？？</Speaker><Position>0,-250</Position><Scale>1.7</Scale><Shake>0.1</Shake>||<BGM>BGM_21Christmas_DeathMetal</BGM><震屏3><SE1>AVG_Cloak_Whoosh</SE1>:<size=50>お姉さま！</size>
NPC-Fans(0)<Speaker>指揮官</Speaker><Position>0,-250</Position><Scale>1.7</Scale><同时置暗>||:うん？
NPC-Fans(0)<Speaker>？？？</Speaker><Position>0,-250</Position><Scale>1.7</Scale>||<SE1>AVG_Rromantic</SE1><震屏3>:<size=50>ネコ、掃除機、灰色の染色剤！</size>
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:君が何かを言い出す前に、女の子は手のポーズを変え、//n今度は逆三角形の形を作った。
NPC-Fans(0)<Speaker>？？？</Speaker><Position>0,-250</Position><Scale>1.7</Scale>||<震屏3><SE1>Rope</SE1>:<size=50>前髪の角度！</size>
NPC-Fans(0)<Speaker>指揮官</Speaker><Position>0,-250</Position><Scale>1.7</Scale><同时置暗>||:……
NPC-Fans(0)<Speaker>？？？</Speaker><Position>0,-250</Position><Scale>1.7</Scale>||<SE1>Rope</SE1><震屏3>:<size=50>緑の芽、ゴシップ、ストレートアイロン！</size>
()<Speaker></Speaker>||:この子はきっと、どこかのアイドルグループの熱狂的なファンなのだろう、と君は推測した。その場を離れよう、と一瞬思ったが、コーヒーをもらってしまった以上、さすがに最後まで見なければ。
()<Speaker></Speaker>||<SE1>AVG_Creep</SE1>:そして女の子はまた、手のポーズを変え、星の形を作った。
NPC-Fans(0)<Speaker>熱狂的ファン</Speaker><Position>0,-250</Position><Scale>1.7</Scale><Shake>0.1</Shake>||<controll_shake>%%type_id=2%%duration=2%%delay=0.1%%range=8</controll_shake><SE1>AVG_Rromantic</SE1>:<size=50>赤！</size>+<size=50>ワイン、赤い光、赤い警報！</size>
()<Speaker></Speaker>||<SE1>AVG_20Winter_Book</SE1>:一通りのコールを終えた後、女の子は流れるような動きで、//n一枚のポスターを君に渡した。
NPC-Fans(0)<Speaker>熱狂的ファン</Speaker><Position>0,-250</Position><Scale>1.7</Scale>||:<size=50>そう、わたしたち、コーヒーの中の起爆剤、ナイトカフェ！</size>+明日ここで彼女たちのライブがあるんだ、絶対見に来てね！
()<Speaker>指揮官</Speaker>||:……ああ、行くよ。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_Door_Open_Close</SE1><SE1>AVG_20Winter_Doorbell</SE1>:女の子は君に敬礼すると、宣伝のポスターやら、先ほどのコーヒーやらを//n詰め込んだバックを背負って、コンビニから出て行った。+何とも言えない笑顔で君は、手元のコーヒーカップに//n印刷されているアイドルの女の子を見た。
()<Speaker></Speaker>||<SE1>AVG_Into_stone</SE1>:そして、その顔がはっきりすると、君の笑顔は固まった。
NPC-Ninja(4)<Speaker>コンビニのお兄さん</Speaker><Position>0,-420</Position><Scale>1.6</Scale>||<SE1>ClothingUp</SE1>:お弁当、温めました。
()<Speaker>指揮官</Speaker>||:……
()<Speaker></Speaker>||<BGM>BGM_Saga_AVG_Dusk</BGM><SE1>AVG_20Winter_Book</SE1>:君はすぐ、さっきの女の子からもらったポスターを広げた。+その上に写っている三人の姿を見て、君は思わず涙をこぼした。
NPC-Ninja(4)<Speaker>コンビニのお兄さん</Speaker><Position>0,-420</Position><Scale>1.6</Scale>||:えっと、その……お弁当……
()<Speaker>指揮官</Speaker>||:……
()<Speaker></Speaker>||<controll_shake>%%type_id=2%%duration=3%%delay=0.1%%range=4</controll_shake><SE1>ClothingUp</SE1>:言葉を失くした君の代わりに、こぼれたコーヒーがすべてを語ってくれた。
NPC-Ninja(4)<Speaker>コンビニのお兄さん</Speaker><Position>0,-420</Position><Scale>1.6</Scale>||:ああ、何か拭くもの持ってきますね……
()<Speaker></Speaker>||:君の手は激しく震えていた。狂喜が血管の隅々まで流れ込み、//n声を出して笑いたい気持ちが抑えきれない。
()<Speaker>指揮官</Speaker>||:よかった……よかった……
()||<黑点1>:
()<Speaker></Speaker>||<BIN>597</BIN><黑点2><SE1>AVG_Door_Open_Close</SE1><SE1>AVG_20Winter_Doorbell</SE1>:独りで何かをブツブツとつぶやきながら、君はコンビニを出た。+ポスターに写った女の子たちの姿が、君の脳裏にしっかりと焼きついた。
()||<黑点1>:
HK21(4)<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:HMG21……
JS-127(4)<Speaker></Speaker>||:JS05……
PM06(2)<Speaker></Speaker>||:PM-06……
()||<黑屏1>:
()<Speaker>指揮官</Speaker>||<BIN>597</BIN><黑点2>:きっと私を助けに来てくれたんだ……+しかも、わざわざアイドルグループを装って……+この地の秩序を乱さないようにしながら、任務を完遂する、//nさすが私が教えた部下たちだ！
()<Speaker></Speaker>||<SE1>RunStep</SE1><SE1>AVG_Cloak_Whoosh</SE1><controll_shake>%%type_id=2%%duration=3%%delay=0.1%%range=8</controll_shake>:午後の暖かな日差しの中、君は子供のように喜んで、跳んで、走った。+明日が彼女たちのライブだ。なにがどうあれ、彼女たちと会える。//nそしたら一緒にグリフィンに帰って、本来の日常に戻れるんだ。+あまりの嬉しさに、君はフランシュシュのみんなに買ったスルメイカや、//n自分の弁当のことすら忘れていた。
()<Speaker></Speaker>||:だけど今の君には、もうそんなことは、どうでもよかった。
()||<黑点1>:
