()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<睁眼><BIN>588</BIN><SE1>AVG_wind_grass</SE1>:安静的清晨，只有窗外小鸟的啾鸣和窗帘被风拂动的沙沙声。
()||<BGM>BGM_Saga_AVG_Dusk</BGM>:你在温暖的被窝中慵懒地伸了个懒腰，今天上午没有什么紧急日程需要你去完成，你可以尽情地睡到想起为止。
()<Speaker>指挥官</Speaker>||:……
()||:不是的，你其实有一件重要的事情需要去做。+你很清楚这一点，但总是下意识地想要再往后拖一拖。+对着被窝里温暖的黑暗叹了口气，你走下床，来到放置衣物的桌边。
()<Speaker>指挥官</Speaker>||:嗯？
()||<common_effect>%%code=Saga_Tae_item%%</common_effect>:在你整齐叠好的衣物旁边，放着一碟鱿鱼丝。+你一眼认出那个盘子是多惠送你的那块木头做的，毕竟上面的花纹可是你在纯子的帮助下亲手绘制的。
()<Speaker>指挥官</Speaker>||<关闭蒙版>:不对劲啊……
()||:你捏起一把盘中盛放得冒尖的鱿鱼丝，放在鼻端小心地嗅闻着——
()<Speaker>指挥官</Speaker>||:很新鲜，没有闻出什么异味，是多惠会立刻塞到嘴里的类型。+……那它怎么会在这里？
()||:多惠的嗅觉非常灵敏，想要进入你的房间更是没有障碍。+你想不明白这碟鱿鱼丝幸存的理由，更想不明白它为什么会在这里。
()<Speaker>指挥官</Speaker>||:多惠？你在吗？
()||<黑点1>:你试探性地问了问，果然没有回应。+于是你换好衣服，走出房间，开始寻找多惠。
()||<黑点2><闪屏><duration>10</duration><rate>20</rate><delay>30</delay><CG>574,604,588</CG></闪屏>:你找遍了洋房的各个角落，但多惠似乎不在这里，可能是出门散步去了。+回到卧室，你又一次来到桌边，凝视着这一碟神秘的鱿鱼丝。
()<Speaker>指挥官</Speaker>||:是错觉吗，总感觉好像比之前少了点？
()||:鱿鱼丝安静地躺在木盘上，带着狡黠的微笑，选择保持沉默。+你只好摇摇头，继续收拾起了你为数不多的行李。+是的，这正是你现阶段最重要的目标——+你该回到格里芬基地了。
()<Speaker>指挥官</Speaker>||:……
()||:从一开始，你这趟旅程的终点就已经标明，留给你的，只有以何种方式抵达终点的选择而已。+你将自己刚叠好的衣物和一些随身的重要物品放在一起，然后从床底抽出法兰秀秀为你准备的行李箱，准备将它们放进箱中。+这样一来，它们就和你之前收拾好的东西一起组成你完整的归家行李。
()<Speaker>指挥官</Speaker>||:行李箱怎么这么重？+……+等一下……
()||<BGM>BGM_Empty</BGM>:一个闪念飞过你的心间，被你一把抓住。
()||<SE1>AVG_Zipper</SE1>:你轻柔地放下行李箱，缓缓拉开拉链，然后——
()||<SE1>ClothingUp</SE1>:唰——
NPC-Tae(0)<Speaker>山田多惠</Speaker><Position>0,-290</Position><Scale>1.3</Scale><GradientShow>2</GradientShow>||<BGM>10381</BGM>:嘎……啊……（好像是在问好）
NPC-Tae(0)<Speaker>指挥官</Speaker><Position>0,-290</Position><Scale>1.3</Scale><同时置暗>||:果然是你！+说吧，这次又把我的行李藏到哪里去了？
NPC-Tae(0)<Speaker>山田多惠</Speaker><Position>0,-290</Position><Scale>1.3</Scale>||:呃啊……唔唔……（一脸天真无辜的样子）
NPC-Tae(0)<Speaker>指挥官</Speaker><Position>0,-290</Position><Scale>1.3</Scale><同时置暗>||:……
