()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>577</BIN><BGM>BGM_Saga_AVG_Dusk</BGM><Night>:
()||<SE1>AVG_AMB_waves_and_seagulls_oneshot</SE1>:……夜の海辺は、昼と全く違う。+昼の海は平穏で、明るい波が一つ、また一つと、砂浜に打ち上がる。+しかし夜の海は、憂鬱で怒りっぽく、泥や砂を巻き上げながら砂浜に押し寄せ、君の足の甲を叩く。
()<Speaker>指揮官</Speaker>||:……
()||:君は一人海辺を歩きながら、額を撫でる海風を快く感じていた。+こんな静かなひと時だからこそ、日常の瑣事に奔走され、//n押さえつけられていた様々な思いが、心の底から湧き出てくる。
()<Speaker>指揮官</Speaker>||:あれは……
()||:（ベンベンベン……）//n波の音に時々埋もれながらも、三味線の音が聞こえてくる。//nその音を辿っていくと、物言う花が、一人海辺にたたずんでいた。
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale><GradientShow>2</GradientShow>||:♪……
()<Speaker>指揮官</Speaker>||:……
()||:足音を忍ばせ、気づかれないように近づいた。ゆうぎりの口ずさんでいる//n鼻歌は、今まで一度も聞いたことがないメロディだった。
NPC-Yugiri(1)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||<SE1>Stop_AVG_loop</SE1>:……指揮官はん？
NPC-Yugiri(1)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:散歩でたまたま通りかかっただけだよ。邪魔してしまったか？
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:そんなことはござんせん。
()||:ゆうぎりは優しく微笑み、バチを下ろした。
()<Speaker>指揮官</Speaker>||:聞いたことのない歌だね。
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:わっちの故郷の歌でありんす。佐賀では珍しいでありんしょう……
NPC-Yugiri(4)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:君は佐賀出身じゃないのか？
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:ええ、昔は江戸で暮らしてたでありんす。//nその後身請けされて、佐賀に来んした。
NPC-Yugiri(4)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:私と同じ異郷の者か。
NPC-Yugiri(3)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:ここで生まれ育ったわけではありんせんが、佐賀には特別な想いがございんす。
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:運命に囚われているようで、ここから離れることはできんせんし、//n離れたいとも思わないでありんす。
NPC-Yugiri(4)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:そうか……
()||:君は彼女の優しい視線から目を逸らし、真っ黒な海の方を向いた。+暗闇の中、グリフィン基地が薄っすらと浮かんできたような気がした。
NPC-Yugiri(2)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:指揮官はん……故郷が、恋しくなったんでありんすか？
NPC-Yugiri(2)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:そんなところかな。
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:指揮官はんの故郷は、どこにあるんでありんすか？
()||:その問いかけに、君はどう応えればいいか分からず、苦笑いした。
()<Speaker>指揮官</Speaker>||:遠いところだよ。
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:遠いところでありんすか……+もし故郷に戻れたら、何がしたいでありんすか？<c>A 自分の副官を思いっきり抱きしめる<c>B 基地を50周走る<c>C 人形たちと一緒に芸能事務所を起業する。
()||:ゆうぎりは軽く笑った。
NPC-Yugiri(3)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:その願いが叶うとようございんすね。
NPC-Yugiri(3)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:きっと叶うさ。
NPC-Yugiri(3)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:ふふっ。
NPC-Yugiri(4)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:そういえば、指揮官はんが故郷に帰ってしまったら、//nどうやって連絡すればいいんでありんしょう？
NPC-Yugiri(4)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:そこではみんな、端末を使って連絡し合っている。
NPC-Yugiri(0)<Speaker>ゆうぎり</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:端末？
