()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><SE1>AVG_Gunfire</SE1><BIN>41</BIN><BGM>10082</BGM>:廃墟の街の中、銃声が絶え間なく鳴り響いていた。
NPC-Pamzan(4)<Speaker>ラムザン</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>アンナ、交互に援護射撃しながら撤退する！</color>
NPC-Ange(29)<Speaker>アンナ</Speaker>||:了解。だが第3小隊の弾薬がほぼ尽きかけている。
NPC-Pamzan(6)<Speaker>ラムザン</Speaker><通讯框>||:<color=#00CCFF>そこを何とかしろ！</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:（ピッ）
()<Speaker></Speaker>||<震屏3><SE1>AVG_Punch</SE1>:アンナは足元の土を蹴飛ばして、第3小隊の4名の生存者たちに目を向ける。
NPC-Ange(29)<Speaker>アンナ</Speaker>||:もう一度本隊と連絡を！
NPC-Wiktor(0)<Speaker>ヴィクトル</Speaker><Position>0,60</Position>||<SE1>AVG_tele_disconnect</SE1>:信号ロスト、繋がりません！
NPC-Ange(29)<Speaker>アンナ</Speaker>||:臨時司令部にまだ3人いるはずだ、増援に来させろ！
NPC-Wiktor(0)<Speaker>ヴィクトル</Speaker><Position>0,60</Position>||:臨時司令部との通信は繋がっていますが、応答はありません！
NPC-Ange(29)<Speaker>アンナ</Speaker>||:……弾薬を節約しながら隠蔽に集中！
()<Speaker></Speaker>||<SE1>Select</SE1>:言いながらアンナはトリガーを引く。
()<Speaker></Speaker>||<SE1>AVG_rifle_finalshot_n</SE1><震屏3>:銃声と共に、1名の敵が倒れる。そしてアンナはすぐに身を伏せる。
()<Speaker></Speaker>||<controll_shake>%%type_id=2%%duration=2%%delay=0.1%%range=5</controll_shake><SE1>AVG_2022Saros_Gunpast</SE1>:次の瞬間、銃弾が壁を掠め飛んでいった。
NPC-Alexander(0)<Speaker>アレキサンダー</Speaker><Position>0,60</Position>||<SE1>AVG_weapon_reload</SE1>:小隊長、大尉たちがもうすぐ予定位置につきます！
NPC-Ange(29)<Speaker>アンナ</Speaker>||:第3小隊集合！　撤退する！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:息をする暇もなく、アンナは撤退ルートを指示した。
NPC-Alexander(0)<Speaker>アレキサンダー</Speaker><Position>0,60</Position>||:やつら蛇よりしつこいな！
