()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<睁眼><BIN>417</BIN><BGM>GF_22W_BGM_1</BGM>:……+目が覚めてからどれくらい時間が経った？　答えは分からない。+でも、それほど重要な問題ではない。+生きる理由はある。すべては……
NytoWhite(0)<Speaker>白ネイト</Speaker>||:実験体はすべて命令通りに出発しました。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position><GradientShow>2</GradientShow>||:……
()||:壁一面のモニターに、潜入任務中の実験体たちの視界共有画面が//n映されていた。+木の枝を踏みつぶす音さえも、はっきり//nこのモニタールームに伝わってくる。
NytoWhite(0)<Speaker>白ネイト</Speaker>||:では、お先に失礼いたします。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:……
()||:白衣の少女は、この基地においては最新モデルのネイトとなる。//nそれでも、彼女は自分を直視することができなかった。+なぜだ？　自分はそんなに恐ろしい存在なのか？+鏡が欲しい。でも、鏡となる物は全部、自分で壊した。+仕方なく、自分の指で、自分の顔の傷を触ってみる。//n首、鎖骨……ツギハギの痕に沿って、指を滑らせていく……
()<Speaker>実験体</Speaker>||:<color=#00CCFF>ガングラティ大尉、目標地点に到着しました。</color>
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:引き続き目標の情報収集を。
()<Speaker>実験体</Speaker>||:<color=#00CCFF>了解です。</color>
()||:隣を向くと、ぬいぐるみを抱いたツギハギの死体が椅子に座っていた。
NPC-Pamzan(10)<Speaker>？？？</Speaker><Position>0,-70</Position>||:兄貴、見ててくれよ。+いよいよ始まりだ……
()||<SE1>AVG_whitenoise</SE1>:（ザザッ――）
()||<SE1>Stop_AVG_loop</SE1>:実験体は施設に盗聴器を設置した。
()<Speaker>女性の声</Speaker>||:<color=#00CCFF>……ノヴィコフ指揮官、補給はすべて倉庫B17からB19の棚に置きました。</color>
()<Speaker>男の声</Speaker>||:<color=#00CCFF>ああ、すでに確認した。</color>+<color=#00CCFF>そういえば、アンジェ指揮官は今月の補給を貰ったのか？</color>
()||:アンジェという名を聞いた瞬間、のんびりと死体の服装を整えていた//nガングラティがモニターを見た。
