SOPIIDamage(2)<Speaker>SOPII</Speaker>||:あっ……替えのパーツがない！
AR15(1)<Speaker>ST AR-15</Speaker>||:損傷具合は？　行動に支障はない？
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:大丈夫！　全然まだ戦えるよ！
M4A1(1)<Speaker>M4A1</Speaker>||:……ごめんなさい。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:なんで謝るの？　M4がやったわけじゃないのに？
AR15(1)<Speaker>ST AR-15</Speaker>||:……
M4A1(1)<Speaker>M4A1</Speaker>||:さっきペルシカさんに実験の中止を要請していれば……+今頃メンテナンスドッグで休めていたはず……+私のせいで、また二人に迷惑を……
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:メンテナンスドッグに入っても面白くないよ！　全然こっちの方がいい！
AR15(1)<Speaker>ST AR-15</Speaker>||:隊長はあんただから、その指示に従うだけの話。+何時、何処にいても、それだけは変わらない。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:世界の果てまで行けって言われても行くからね！
M4A1(1)<Speaker>M4A1</Speaker>||:私……
AR15(1)<Speaker>ST AR-15</Speaker>||:それに、M16があんな大口を叩いたんだ、こっちも負けてはいられない。+意地でもご飯と酒は奢ってもらうよ。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:うんうん！　美味しいものいっぱい食べようね！
M4A1(1)<Speaker>M4A1</Speaker>||:……そうね。
AR15(1)<Speaker>ST AR-15</Speaker>||:実はさっき「オペレーション・ギュルザ」の記録を再確認したけど、//nもっと上手くやれたはずの点をいくつか発見した。
M4A1(1)<Speaker>M4A1</Speaker>||:分かった。それじゃ、まずは一回作戦案を検討してみましょう。
