()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
RO635-NoArmor(0)<Speaker>RO635</Speaker>||<BGM>GF_EV9_Story</BGM><黑屏2><BIN>607</BIN>:実験、すべて終了しました。ペルシカさん、集めたデータおよびレポートは//nすべてここに置いときますね。
NPC-Persica(7)<Speaker>ペルシカ</Speaker>||:……+分からない……分からないわ。+あの女とあの実習生は一体何をして、メンタルに異常を起こしたの？+なんで人形たちが急に強くなった？　人間が何か影響を与えたの？
RO635-NoArmor(3)<Speaker>RO635</Speaker>||:そういうすぐには解決できない問題は一旦置いといて、とりあえずご飯でも食べたらどうですか？
NPC-Persica(7)<Speaker>ペルシカ</Speaker>||:……
()<Speaker></Speaker>||<SE1>ClothingUp</SE1><震屏3>:（スッーー）+ペルシカは急に立ち上がった。
NPC-Persica(8)<Speaker>ペルシカ</Speaker>||:アーカイブ番号206■15■■42■■を取り出しなさい。
RO635-NoArmor(0)<Speaker>RO635</Speaker>;NPC-Persica(8)||:そのアーカイブを取り出すには申請と許可が必要なんですが、//n今から申請しますか？
RO635-NoArmor(0);NPC-Persica(8)<Speaker>ペルシカ</Speaker>||:そんなの待っていられないわ。今すぐデータベースにハッキングしなさい。
RO635-NoArmor(3)<Speaker>RO635</Speaker>;NPC-Persica(8)||:ペルシカさん、それはさすがに――
RO635-NoArmor(3);NPC-Persica(8)<Speaker>ペルシカ</Speaker>||:それとあの実習生を連れ戻してきて！//nまだまだ実験に付き合ってもらわないと！
RO635-NoArmor(0)<Speaker>RO635</Speaker>||:……分かりました。+……
NPC-Persica(6)<Speaker>ペルシカ</Speaker>||:で、アーカイブは？！
RO635-NoArmor(0)<Speaker>RO635</Speaker>||:……+ペルシカさん、アーカイブの方はおそらくもう必要ないかと。
RO635-NoArmor(0);NPC-Persica(6)<Speaker>ペルシカ</Speaker>||:はあ！？
RO635-NoArmor(0)<Speaker>RO635</Speaker>;NPC-Persica(6)||:アーカイブで記録した対象は、間もなく実験室に到着します。
RO635-NoArmor(0);NPC-Persica(6)<Speaker>ペルシカ</Speaker>||<BGM>BGM_Empty</BGM>:……+M16はどこ？　早く呼んできて！
RO635-NoArmor(0)<Speaker>RO635</Speaker>;NPC-Persica(6)||:M16さんなら、15分前近くのバーに入りました。
NPC-Persica(6)<Speaker>ペルシカ</Speaker>||:……
()<Speaker></Speaker>||<SE1>AVG_Door_Hit</SE1><controll_shake>%%type_id=2%%duration=3%%delay=0.1%%range=10</controll_shake>:（ドン！）+実験室のドアが誰かにぶっ壊される。+そこから日の光が差し込み、薄暗い実験室の中に微かに外の空気が入り込む。
NPC-Ange(9)<Speaker>アンジェリア</Speaker><Position>0,-70</Position>||<SE1>AVG_footsteps_woodfloor</SE1>:久しぶりね、ペルシカ。+この実験室……はぁ、相変わらずゴミだらけね。
NPC-Persica(6)<Speaker>ペルシカ</Speaker><Shake>0.1</Shake>||<BGM>m_wv_title</BGM>:<size=50>なんてことするのよ！</size>+そのドアは特製なんだから、ちゃんと弁償してよね！
