()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>BGM_ev2412_2064</BGM><黑点2><bg_move>%%pivot_x=0.6%%pivot_y=0.5%%scale=1.5%%duration=0%%</bg_move><BIN>85</BIN>:……DDR2放送局。
()<Speaker></Speaker>||<SE1>RunStep</SE1>:誰もいないオフィスで、シャドレスは一人、取材用の機材を準備していた。+いつも騒がしいオフィスが、今はビックリするほど静かだ。
()<Speaker>アナウンス</Speaker>||<SE1>AirRaidWarning</SE1>:<color=#00CCFF>……スタッフの皆さんは、直ちに地下駐車場に避難してください！</color>+<color=#00CCFF>繰り返します！　スタッフの皆さんは、直ちに地下駐車場に//n避難してください！</color>
()<Speaker></Speaker>||<SE1>AVG_Zipper</SE1>:局内で流れる放送を無視して、シャドレスは準備を続ける。
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:その時、シャドレスの端末の着信音が鳴った。
NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:はい。
()<Speaker>オシエツキー</Speaker>||:<color=#00CCFF>どこにいる？　はやく地下駐車場に来い！</color>
NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:……
()<Speaker>オシエツキー</Speaker>||:<color=#00CCFF>報道部で来ていないのはお前だけだ！//nこういう時に勝手な真似はやめてくれ！</color>
NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:A5道路が爆撃を受けたとの連絡が入りました。これから現場に向かいます。
()<Speaker>オシエツキー</Speaker>||:<color=#00CCFF>バカかお前は？！　まだ爆撃が続いているんだぞ！</color>
NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:分かっています。
()<Speaker>オシエツキー</Speaker>||<SE1>ClothingUp</SE1>:<color=#00CCFF>いいや分かっていない！　お前は戦場カメラマンじゃないんだぞ！</color>+<color=#00CCFF>バカなこと言ってないではやく避難しろ！</color>
NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:マイクが見つかりませんので、ファルコのを借りてもいいですか？
()<Speaker>オシエツキー</Speaker>||:<color=#00CCFF>お前……！　テレビ局だって危険だぞ！//n爆撃の優先対象だからな！</color>
NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:そう。それじゃ勝手に使わせてもらいますね。他になにか？
