()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
NytoIsomer(4)<Speaker>ダンデライオン</Speaker>||<BIN>253</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:争い、排斥、覆滅、これは人類の永遠のテーマよ。+人間の作り出したものも、この法則からは逃れられないわ。+でも争いがなければ、私たちは存在しない。
NytoIsomer(0)<Speaker>失格異性体</Speaker>||:争いがなければ、私たちは安寧を手に入れられるの？
NytoIsomer(4)<Speaker>ダンデライオン</Speaker>||:力と逃亡から得られる安寧は、まったくの別物よ。+たとえこの世界がどうしようもないことで溢れていても、//n私たちに安寧をもたらす場所は必ず存在するわ。
NytoIsomer(0)<Speaker>失格異性体</Speaker>||:そんなところが実在するの？
NytoIsomer(4)<Speaker>ダンデライオン</Speaker>||:それを信じてるからこそ、あなたたちは私と融合してくれたんじゃないの？+それまでに、争いが止むことはないわ。私たちを求める者と//n私たちが求める者、これからはさらに多くの可能性に出会うことになる。
NytoIsomer(0)<Speaker>失格異性体</Speaker>||:だから彼女を助け続けるの？
NytoIsomer(4)<Speaker>ダンデライオン</Speaker>||:彼女は私たちを認めた。私たちも彼女を認めている。+私たちは特別な存在ではない、//n私たちは争いがもたらした副産物にすぎないわ。+争いの中でもがき、争いの中で生き残り、//n争いの中で私たちの平和を見つけるの。
NytoIsomer(0)<Speaker>失格異性体</Speaker>||:でも、本当にそれを成し遂げられるの？+私たちは何度も失敗した。//n失敗した痛み、死ぬ痛み、忘れられる痛み、捨て去られる痛み。+すべてがあまりにも痛いよ、いつになったらこの痛みから抜け出せるの？
NytoIsomer(4)<Speaker>ダンデライオン</Speaker>||:あの声の言う通りよ、私たちは欠片の数枚にすぎない。+私たちは欠けていて不完全で、//nその不完全さが様々な痛みをもたらしている。+でもその欠片を全部揃えることができれば、//n元の姿に戻ることができるかもしれない。+その時になれば、私たちは自分の力で欲していた安寧を手に入れられるわ。
NytoIsomer(0)<Speaker>失格異性体</Speaker>||:でも私たちは一度バラバラに割れている。元に戻ってもきっと傷だらけよ。+それでも試みるっていうの？+もしかしたら散々努力した後で実現できないことに気づいたり、//n最後の最後になってすべてが無駄だったと気づかされるかもしれないのに。
