()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<黑屏2><BIN>89</BIN><BGM>BGM_Moon</BGM>:
()||:深夜、依然として明かりの灯るスタークリエイトスタジオ内。
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:止め。
P38(2)<Speaker>P38</Speaker>||:ハァ…ハァ……+ど……どうですか……先輩？
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:大分良くはなりましたけれど、合格には程遠いですわね。+先ほどから申し上げているように、わたくしのいる方向が観客席ですのよ。//n貴方がたの最も美しい姿をこちらに向けて、//n身体のラインを極限まで引き伸ばして頂かないと。+HK45の動きは結構ですが、表情がわざとらしく感じますわね。//nあなたはより高みを目指せるはず。+スペクトラM4、あなたもです。//n伴奏だからといって、後方で怠けているようではいけませんわ。
P38(2)<Speaker>P38</Speaker>||:はい……もう一度！
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:いいえ、もう結構。//n皆さまお疲れでしょうから、しばし休憩にいたしましょう。
P38(2)<Speaker>P38</Speaker>||:でも、時間が……
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:ここはわたくしの判断に従って頂きますわ、P38。+パフォーマンスにはベストの状態で挑まなくてはなりません。//n自分に無理強いをするなど言語道断。
P38(2)<Speaker>P38</Speaker>||:わかりました……
()||:デザートイーグルは暫し考え込むと、//n疲労にあえぐ三人に向かって手を差し伸べた。
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:さて……水分補給と参りましょう。
()||<黑屏1>:
P38(2)<Speaker>P38</Speaker>||<黑屏2><BIN>168</BIN>:えっ……グリフィンのカフェテリアに行くのかと思ってましたが//n……ここはどこなんですか？
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:グリフィンのカフェテリアでもショーはご覧になれますけれど、//nいつでも、というわけにはいきませんもの。
HK45(2)<Speaker>Gr HK45</Speaker>||:なるほど、だから街に来たんですね！//nこのバーの名前、聞いた事あります。//nここでよく色んなショーが開かれるんだとか。
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:おっしゃる通りですわ。わたくしも、昔はよくここに入り浸っていたものでしてよ。このお店には新人だけでなく、多くのベテランの方々が足慣らしにいらっしゃるの。色々と学べるはずですわ。+どうぞ中へ、本日はわたくしがご馳走いたしますわ。
P38(2)<Speaker>P38</Speaker>||:本当ですか？
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||:わたくし、こういったことで冗談は申し上げない主義ですの。
P38(2)<Speaker>P38</Speaker>||:は、はい、すみません！
DesertEagle(0)<Speaker>デザートイーグル</Speaker>||<黑点1>:かまいませんわ、参りましょう。
