()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>80</BIN><Night><黑屏2><BGM>BGM_Hello</BGM>:ある日の週末、黄昏の時、グリフィン基地内。+スプリングフィールドのカフェテリア。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:……失礼します。
()<Speaker></Speaker>||:ほとんどの人形たちが眠りについている時分に、リー・エンフィールドは単身カフェテリアへとやってきた。+幸運なことに、店の主人はまだグラスを磨いている最中だった。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:いらっしゃいませ、リーさん。+本日の任務はもう？
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:あ……はい、それは既に。+先ほど、報告書を提出したところです。指揮官は私にしばらく休んでほしいと。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:その足でこちらへ？光栄ですわ。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:……よしてください、スプリングフィールドさんの淹れる紅茶に惚れこんでいるからこそ、こうして足繁く通っているのですから。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:そうやって言葉にして頂けることも、今ではめっきり少なくなりましたわ。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:本当の事を申し上げたまでです。+そして、あなたはその評価に値しうるお方。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:相変わらず、生真面目ですのね。
()<Speaker></Speaker>||:リーはカウンターに静かに腰を下ろした。スプリングフィールドも無言のままだ。+静謐な空間に、紅茶の爽やかな香りが充満しだす。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:さすがです。この一杯だけで、ストレスが全て吹き飛んでいくようですよ。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:紅茶はお客様を選り好みしますわ。正しい味覚なくして、嗜むことは難しいでしょう。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:それで、悩みというのは？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:……え？
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:隠しても無駄ですよ、スプリングフィールドさん。+私もそこまで鈍くはありません。かねて恩顧に預かっているのは私のほうです。+もし何かお手伝いできる事があれば、私は義を辞さない所存です。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:まったく……あなたには敵いませんね。その洞察力を褒め称えるべきか、はたまたそのおおらかさを諌めるべきなのか、迷うところです。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:不躾でしたか？これは失礼。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:ウフフ、冗談ですよ。+こうした率直な物言いをしてくださる事が、たまらなく嬉しいのです。+おっしゃる通り、少々困ったことになっておりまして……どうしたものかと考えていたところです。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:あなたほどの人を困らせるとは。+たいそう重大な悩みとお見受けします。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:もう、リーさん、無暗におだてるのはよして下さい。+大したことではないんです。ただ、このところ人手不足で……
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:おだててなどいません。私はスプリングフィールドさんを、心から尊崇していますよ。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:まったく、お上手ですこと。+うーん……あ、そうだわ！
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:ん？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:言われてみれば……確かにリーさんにお手伝い頂ける事かもしれません。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:なるほど……それはどんな？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:リーさんも小耳に挟んでいるとは思いますけれど、+実は、毎週金曜日だけ、ほんの少し早く店仕舞いしているんです。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:存じています。+平日は遅くまで開いているので、特に支障はないですが。+何人かの人形は、それに気づいているようですね。
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:どうしてだか、ご存知ですか？
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:……私は、知って然るべきなのですか？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:フフ、そう不安にならないで。リーさんったら、可愛らしい。+そうですね、そろそろあなたを御招待しようと思っていたことですし。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:招待？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:悩みというのは、それなんです。+今夜、ちょっとした約束がありまして。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:やく……+……それは、指揮官と？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:あなたの驚いた顔が見られるなんて、貴重ですわ。残念ながら、そういう約束ではないんです。+カルカノのお二人が急に任務に就くことになりまして、懇談会への参加人数が足りなくなってしまったんです。+それで先ほどからどうしたものかと……
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:懇談会……なるほど、そうでしたか。+それで、カルカノ姉妹の代わりに、私に出席してほしいと？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:ご理解が早くて助かりますわ。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker>||:承知しました。+そんなことでよろしければ、ご用命に預かりましょう。+ところで、その懇談会の主旨とは？
M1903Cafe(0)<Speaker>スプリングフィールド</Speaker><Position>0,100</Position>||:紅茶が冷めます、まずはお召し上がりください。+そう焦らないで……こういうことは、少々謎めいていたほうが楽しいでしょう。+大丈夫、きっとお気に召しますから。
