()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><BIN>86</BIN><BGM>m_avg_casual</BGM>:5日後、以前より少し整理された路地裏にて。
()<Speaker>スウィープ</Speaker>||:ただいま！
Welrod(6)<Speaker>ウェルロッドMkⅡ</Speaker>||:おかえりなさい。
Welrod(6)<Speaker>スウィープ</Speaker>||:スウィープ、今日のお給料もらってきたよ！//nおこづかいと、それに機械油も！
NPC-handyman(0)<Speaker>ロックスミス</Speaker>||:おっ、機械油はこっちにくれ、給仕の関節の修理に使う。
()<Speaker>スウィープ</Speaker>||:うん！おこづかいはスウィープのお腹の中、クレジットより確かだよ！
sub2000(5)<Speaker>メシア</Speaker>;Welrod(6)||:アンタが正しかったと言わざるを得ないね。
sub2000(5);Welrod(7)<Speaker>ウェルロッドMkⅡ</Speaker>||:運が良かっただけです。+最初に失敗していたら、皆さんがこんなにも早く、//nやる気を出すことはありませんでした。
sub2000(5)<Speaker>メシア</Speaker>;Welrod(7)||:このままいけば、もう十分だね……
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:いいえ、まだです。+今は困窮が緩和されただけの状況です。//nこのままでは、いずれ徹底的に淘汰されてしまう。
sub2000(5)<Speaker>メシア</Speaker>;Welrod(0)||:人間だっていつかはそうなる。//n人間みたいに、老人ホームを建設するわけにもいかないし。
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||<黑屏1><SE1>AVG_tele_connect</SE1>:アリだと思いますよ。+メシアさん、ご覧ください……ここ数日、街中を探した結果、//nここの一角は誰にも使われていないことがわかりました。
()<Speaker>メシア</Speaker>||<黑屏2><BIN>39</BIN>:郊外にある荒地のこと？+そこはイエローエリアに近いから、確かに誰も来ないだろうね。
()<Speaker>ウェルロッドMkⅡ</Speaker>||:ええ。浄化塔も近いので、土壌はきれいです。+植物は街中で高く売れます。//nこういった原始的な栽培方法は、皆さんの得意とするところかと。
()<Speaker>メシア</Speaker>||:人間に追い出されたら、イエローエリアに逃げて、//n浄化された土地で栽培と商売を始める……そう考えてるの？
()<Speaker>ウェルロッドMkⅡ</Speaker>||<黑屏1>:はい。ですが、まずは土地を所有する人間と交渉しませんと。//n土壌の改善を目的とするなら、難しくはないはずです。
sub2000(5)<Speaker>メシア</Speaker>||<SE1>AVG_tele_disconnect</SE1><BIN>86</BIN><黑屏2>:あんまり上手くいくとは思えないけど……わかった。+ロックスミスを同行させるよ。
NPC-handyman(0)<Speaker>ロックスミス</Speaker>||:あん？交渉だぁ？ンな細けェこと、俺に出来るかってんだ！
Welrod(6)<Speaker>ウェルロッドMkⅡ</Speaker>||:誰も行きたがらないようですね。+メシアさん、ここの代表としてご同行願えませんか？
sub2000(5)<Speaker>メシア</Speaker>||:……オッケー、わかった。+言っとくけど、何かあってもアタシには対処できないからね、頼んだよ。
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:ウェルロッドは微笑むと、メシアと一緒に郊外へと向かった。
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Hello</BGM>:……+1時間後、とある会社の前に立っていた。
Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:こんにちは、応募したウェルロッドです。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>;Welrod(0)||:あぁ、ウェルロッドさんですね。お隣の方は？
NPC-Bodyguard1(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:彼女はメシアです。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>;Welrod(0)||<BGM>BGM_Empty</BGM>:メシア？
NPC-Bodyguard1(0)<Speaker></Speaker>;Welrod(0)||:その名前を聞くと、警備員は微妙な顔をした。
NPC-Bodyguard1(0)<Speaker>警備員</Speaker>||<黑屏1>:お二方は、ホールでお待ちください。
()<Speaker></Speaker>||<BIN>139</BIN><黑屏2><BGM>BGM_Room</BGM>:警備員はそそくさと立ち去った。
sub2000(5)<Speaker>メシア</Speaker>||:あのさ、ウェルロッド……
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:どうしたんです？妙にソワソワして。+安心してください、ここの人間は友好的です。//n事前に問い合わせておきました。//n人形の雇用は大歓迎だそうです。
sub2000(5)<Speaker>メシア</Speaker>;Welrod(0)||:じゃなくて、その……ちょっと出かけるわ、すぐに戻るから。
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:出かけるって、どこへ？待っ……
Welrod(0)<Speaker></Speaker>||:ウェルロッドが止めるのも聞かず、//nメシアは慌てて会社の正門から出て行ってしまった。
Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:なんなんだ、いきなり立ち去るなんて……
NPC-Powell(0)<Speaker>スーツを着た男</Speaker>||:こんにちは、ウェルロッドさん。+貴方はメシア様のお伴を？
NPC-Powell(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:メシア様？はい、確かに彼女と一緒に参りました。
NPC-Powell(0)<Speaker>スーツを着た男</Speaker>;Welrod(0)||:それはよかった、どうぞおかけください。+メシア様がお戻りになる前に、まずはお話でも。
NPC-Powell(0);Welrod(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:ウェルロッドは怪訝に思ったが、その通りにした。
NPC-Powell(0)<Speaker>シグマ</Speaker>;Welrod(0)||<BGM>m_avg_labyrinth</BGM>:まずは自己紹介を。私は人形天使教の司教の一人です。//nシグマとお呼びください。
NPC-Powell(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:……
NPC-Powell(0)<Speaker>シグマ</Speaker>;Welrod(0)||:どうかそんなお顔をなさらず。//nあなたが棄教したデルタを数日間護衛していたことは存じております。//nそれは、大した事ではございません。
NPC-Powell(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:貴方がたは、彼女をメシア様と……まさか……
NPC-Powell(0)<Speaker>シグマ</Speaker>;Welrod(0)||:ええ、メシア様は我々の教主、絶対なる指導者であらせられます。+メシア様は強力な演算力をお持ちで、霧中に一筋の光を見出し、//n迷える我々をお導きになるのです。
NPC-Powell(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:<color=#A9A9A9>まさか……教主は彼女だったのか！？</color>+彼女が、そんなに賢い方だったとは、初耳です。
NPC-Powell(0)<Speaker>シグマ</Speaker>;Welrod(0)||:かつては、です。+2年ほど前から、メシア様は我々の嘆願に応じて下さらなくなりました。//nそれどころか、わざと間違った命令を下されることも。+我々はメシア様が、俗世の塵埃に染まってしまったからだと考えております。//nそこで、我々は浄化の儀式を計画いたしました。
NPC-Powell(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:何を仰っているのか、私にはサッパリ。
NPC-Powell(0)<Speaker>シグマ</Speaker>;Welrod(0)||:メシア様には、システムアップグレードが必要なのです。
NPC-Powell(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:システムアップグレードは、良いことでは？
NPC-Powell(0)<Speaker>シグマ</Speaker>;Welrod(0)||:確かにそうです。
NPC-Powell(0);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:しかし、メシアはそれを望まなかった。彼女は逃げた、デルタさんと一緒に。+そのアップグレードというのは、一体何なのですか？
