()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker>人形</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Truth</BGM>:ゲパード！！　早く逃げて！！
()<Speaker>ゲパード M1</Speaker>||:ま、待って――！！
()<Speaker></Speaker>||<SE1>Explode</SE1><震屏3>:仲間の叫び声が届く前に、砲弾はゲパードの目の前で爆発した。
()||<黑屏1>:
()<Speaker></Speaker>||<睁眼><BIN>99</BIN><SE1>Heartbeat</SE1>:ゲパードの目の前で、仲間の恐ろしい顔は、振り返る余裕もないまま、火花もろとも粉々に砕けて崩れた。
GepardM1(0)<Speaker>ゲパード M1</Speaker><Position>0,150</Position>||:ああ……ああああ！ ！
()<Speaker></Speaker>||:声が喉に絡みつき、ゲパードは自分の銃を抱え込んだまま、その場に放心したように立ち尽くた。+自分は人形だ。しかも戦術人形なのだ……恐怖が自分の体を蝕むことなどありえない……+にも関わらず、その一刻、ゲパードの体は全く動かなくなった。
()<Speaker>？？？</Speaker>||<SE1>RunStep</SE1>:気をつけろ！ ！ ！
()<Speaker></Speaker>||<SE1>Explode</SE1><震屏3>:続けざまに正確無比な砲弾が投下され、ゲパードの脆弱な身体が歩兵部隊の後塵を拝そうとしたその時、バンカーの後ろから黒い影が飛び出すと、ゲパードの身体を掴んで、塹壕の中に投げ込んだ。
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker><Position>0,50</Position>||:何をぼうっとしている！ 　ショートでもしたのか！
GepardM1(0)<Speaker>ゲパード M1</Speaker><Position>0,150</Position>||:し……してない……リー？
()<Speaker></Speaker>||:ゲパードは泥に汚れた同僚の顔を、呆然と見つめた。+エリート人形のリーが、こんなに狼狽えた様子をいまだかつて見たことがなかった。
GepardM1(0)<Speaker>ゲパード M1</Speaker><Position>0,150</Position>||:なんで、あなたがこんな所に！？
MLEMK1(0)<Speaker>リー・エンフィールド</Speaker><Position>0,50</Position>||:私はスプリングフィールドさんの撤退援護をしたばかりで……その後、襲撃に遭いました。+あなたの担当だった第17番防衛線はどうなりましたか？
GepardM1(0)<Speaker>ゲパード M1</Speaker><Position>0,150</Position>||:……生き残ったのはワタシだけ。+撤退中に敵軍に見つかり、砲弾襲撃に遭ったの。+その後は……
()<Speaker></Speaker>||<SE1>Explode</SE1><震屏3>:（爆発音）
GepardM1(0)<Speaker>ゲパード M1</Speaker><Position>0,150</Position><Shake>0.1</Shake>||:うっ……！ ！
