()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>82</BIN><黑屏2>:……
()<Speaker></Speaker>||<SE1>AVG_doorknock_wood</SE1>:早朝、グリフィン宿舎。
()<Speaker></Speaker>||<BGM>BGM_Hello</BGM>:ノックの音に叩き起こされたM870が怒鳴り声を上げた。
M870P(0)<Speaker>M870</Speaker>||:誰よ！？朝っぱらからうるさいな！+ボーナスもらいすぎて罰金でも払いたくなったか？！
()<Speaker></Speaker>||:M870が布団を蹴り飛ばすように起きて、ドアを開けると――+そこにはポーズを決めたKSVKがいた。
KSVK(4)<Speaker>KSVK</Speaker>||:お目覚めか、運命に選ばれし寵児よ。
M870P(0)<Speaker>M870</Speaker>||:KSVK、今の愚行に見合うだけの説明はしてくれるのよね？+さもないと、その帽子いっぱいの切符を切ってやる！
KSVK(4)<Speaker>KSVK</Speaker>||:そう怒るな、M870。我々はやがて稀にみる嵐を迎えることとなる。+嵐が来るまでは、自身が何を失い何を得たのか、誰にも分かるまい。
M870P(0)<Speaker>M870</Speaker>||:まだ声が出るうちにさっさと用件を話しな。+笑えない冗談だったら、クラクション代わりに車の前に縛り付けるわよ。
KSVK(4)<Speaker>KSVK</Speaker>||:この日、グリフィン人形たちは一堂に集い、魂が狂喜せし夜を共にするのだ！
M870P(0)<Speaker>M870</Speaker>||:あたしの我慢は、すでに黄色信号よ。
KSVK(4)<Speaker>KSVK</Speaker>||:今宵の饗宴では、誰もが恐怖に追われることとなろう。//nそれを振りほどく唯一の方法は、他人を驚かすことだ。+しかし、夜が明けるまでに、帰路を探し出せる魂などないのかもしれない……
M870P(0)<Speaker>M870</Speaker>||:余計な情報を削ぎ落とすと、つまり今夜は肝試し大会をやるのね？+珍しく面白そうな話じゃない♪
KSVK(4)<Speaker>KSVK</Speaker>||<黑屏1>:勝者には一年分の炭酸水が与えられるという。+さあ、運命の導きに従い、共に参ろうではないか！
()<Speaker></Speaker>||<Night><BIN>97</BIN><黑屏2><BGM>BGM_Empty</BGM>:……肝試し大会が始まった。+M870は歩きながら、新たに取り付けられた監視装置を触ってみた。
M870P(0)<Speaker>M870</Speaker>||:KSVK並みに説明が長かったわね。//n要するにお化け側と参加者側に分かれて、//n参加者をたくさん驚かせたお化けが勝ちってことでしょ。+にしても、ちゃんと驚かせたかどうかを悲鳴の大きさで判断するからって、//n監視装置までつける？+バカバカしい……ま、グリフィンらしいっちゃ、らしいけど。
()<Speaker></Speaker>||<BGM>BGM_stage5</BGM>:M870は近くで震えている人形をターゲットに決めた。
M870P(0)<Speaker>M870</Speaker>||<黑点1>:フフン、おバカども、せいぜい逃げまどいなさい！+すぐに追いついて、魂が抜けるくらい脅かしてやるわ、アハハハ！
()<Speaker></Speaker>||<Night><BIN>1</BIN><黑点2><BGM>BGM_Empty</BGM>:……30分後。+M870は草を口に咥えて、つまらなさそうに木の上に寝そべっていた。
M870P(0)<Speaker>M870</Speaker>||:ちぇ、つまんないの。+あいつら適当に驚かしたら、すぐに炭酸水を差し出すんだもん。+ゲフ――
()<Speaker></Speaker>||:M870は誰もいなくなった周囲を睨め回した。
M870P(0)<Speaker>M870</Speaker>||:あのバカども、唯一の取り柄は足の速さだけね。+悲鳴を聞くなり、666号ハイウェイであたしの車を目にしたが如く//nすっ飛んでっちゃうし。
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:その時、ちょうど灌木の間からWA2000がコソコソと這い出て、//nM870のいる木の下を通った。
WA2000(4)<Speaker>WA2000</Speaker>||:みんなどこ行ったのよ？ずっと待ち伏せしてたのに、誰も通らないじゃない……
()<Speaker></Speaker>||:WA2000は仁王立ちでため息をついた。
WA2000(4)<Speaker>WA2000</Speaker>||:この前のお化け屋敷イベントじゃ、//n無様にも指揮官に悲鳴を聞かれちゃったし……+今度こそ、完璧なパフォーマンスで指揮官に//nあの失態を忘れさせてやるんだから……+変装して驚かせばいいんでしょ？楽勝よ。
()<Speaker></Speaker>||:M870は咥えていた草を吐き捨て、狂気じみた笑顔を見せた。
M870P(0)<Speaker>M870</Speaker>||:そうね、今夜はお化け役が一番楽だわ。+みんなオバケに変装してるから、もう隠す必要もないわよね……
WA2000(4)<Speaker>WA2000</Speaker><Shake>||:なに？ちょっと、誰が喋ってるの……
()<Speaker></Speaker>||:おたおたと周囲を見渡すWA2000を見下ろしながら、//nM870はなんとか笑いを噛み殺した。
M870P(0)<Speaker>M870</Speaker>||:なに、あたしが見えないの？ずっとあんたの後ろにいるんだけどな……
WA2000(4)<Speaker>WA2000</Speaker><Shake>||:う、嘘言わないで……
()<Speaker></Speaker>||:WA2000はゆっくり振り向いた……+そのタイミングを見計らって、M870は木から飛び降りた……
M870P(0)<Speaker>M870</Speaker>||:ここだよ――！
WA2000(4)<Speaker>WA2000</Speaker>||<震屏>:<size=50>キャアアアアアアアアアオバケェェェェエエエ！</size>
()<Speaker>アナウンス</Speaker>||<BGM>BGM_Empty</BGM>:<color=#FFFF00>お化け側WA2000、リタイア！戦績：0！</color>
()<Speaker></Speaker>||:がむしゃらに逃げていくWA2000の後姿を、M870は満足げに見送った。
