()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><BGM>m_avg_casual</BGM><SE1>AVG_doorknock_wood</SE1>:コンコンと扉をノックする軽快な音にM200は目覚めた。+彼女は急いでメンタル内のデータ整理を終えると、//n小走りで宿舎のドアへと駆け寄った。
M200(0)<Speaker>M200</Speaker>||:どうぞ……あれ？
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:やっほ。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:こんにちは、QBU-88さん。何か御用ですか？+もしかしてボク、何か通知を見逃してしまっていましたか……？
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:そんなことないよ。とりあえず上がっていい？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||<黑点1>:はい、どうぞ。
()<Speaker></Speaker>||<黑点2>:M200はQBU-88を部屋に迎え入れると、ドアを閉めた。
M200(0)<Speaker>M200</Speaker>||:何か飲みますか？
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:おっ、飲み物あるの！何がある？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:紅茶、ジュース、コーヒー、ミルク、//nフルーツティー、ジンジャーティー、それとココアに緑茶。+甘酒もありますよ。温める必要がありますけど……
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:ストップストップ、フルーツティーでいいよ。+もしかしてスプリングフィールドさんと//nドリンクショップでも開くつもり？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:いえ、ほとんどは飲み物作りの勉強のために買った材料なんです。+どうぞ、フルーツティーです。
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:ありがと。+……美味しい！なんてメーカーのやつなのこれ？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:自分で材料を配合したものなんです。//n気に入ったのなら少し差し上げますよ。
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:ありがと！あたしこの甘酸っぱい味が気に入ったの！
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:それで、要件は……？
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:さっきグローザさんがパーティーに参加する人を募集してたでしょ？+あたし、あなたが任務でいけないって言ってるのを見て。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:ええ、そうですね。
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:バックグラウンドのデータを見たんだけど、//nあなた、募集があってから任務を受けたよね？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:……
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:M200は、パーティーの誘いを断ったことなんてなかったでしょ？+だからあたし、おかしいなーって思って。//n会いたくない人でもいるの？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:あっ、いえ！そういうわけではないんです。+ただ、少し悩んでいることがあって……
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:悩んでることって？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:あ……ボクの個人的なことです。//n関係のないことで他の人に迷惑をかけるわけにもいきません！+自分で何とかしますから、気にしないでください。
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:話さなくとも何とかなるなら、話したらもっと早く何とかなるかもよ？+迷惑なんて考えなくていいから。//nそもそもあたしはそれを解決するために来たんだしね！
M200(0)<Speaker>M200</Speaker>;QBU88(0)||<黑点1>:はい……ありがとうございます。//n実は……
()<Speaker></Speaker>||<黑点2>:……+数分後。
QBU88(0)<Speaker>QBU-88</Speaker>||:つまり、難民を取材しようとして、断られちゃったってこと？
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:そうなんです……戦いの跡をカメラに収めて、//nそれを今年のパーティーでドキュメンタリーとして公開したかったんです……+ですが、ボクに撮影できるのは廃墟を除けば……//n帰る場所を失った人々と、彼らの悲しそうな表情ぐらいで……
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:それはそうでしょ？戦争の本質は破壊なんだからさ。
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:違います。//nボクたちは人々の安全を守る企業ですよ、88さん。+ボクたちが戦うのは、より多くの人を守り、//n戦争を一刻も早く終わらせ、平和な時代を迎えるためじゃないですか。
