()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker>RO635</Speaker>||<BIN>138</BIN><黑屏2><BGM>BGM_Sunshine</BGM>:……
()<Speaker></Speaker>||:宿舎を後にすると、ROはM4と共にパーティー会場に足を運んだ。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:わぁ！綺麗な会場！
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:確かに雰囲気がありますね。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:SOP IIも一緒に来ればよかったのに。//nあとで私たちのこと探すの大変だと思うけど……
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:ぐずぐずしているほうが悪いんですよ。//nまぁでももう着替えて来る頃じゃないでしょうか。//n道中でAR-15に会っているかもしれませんし。+ところで、スイーツが山ほどありますが、//nSOP IIが見たら、一人で全部平らげてしまうのでは……？
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:ふふっ、折角のパーティーだもの。//nだからこそこんなに一杯用意されているんだし……+そうだ、ROはこの後何か予定ある？
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:わたしですか？+ええと……指揮官がパーティーを許可したのは予想外でしたが、//n開かれたからには、仕事のことは忘れて、楽しみたいと思ってます。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:それはよかった、ちょうど私も興味のある催しがあるの。時間になったら……
M4A1Mod(0)<Speaker></Speaker>;RO635(0)||<SE1>AVG_tele_connect</SE1>:通信機の音が突如鳴り響いた。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:あ、指揮官からね。
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:指揮官からですか？
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:ええ、私がみんなに良いものを山ほど注文したの覚えてる？
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:良いものですか……//nああ、前回言っていたあれのことですね……
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:そう。お酒を買ったの、それに美味しいものも沢山。//n全部指揮官がお金を出したんだけどね。+そろそろ届いただろうから、指揮官に直接報告しないと。
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:そうだったのですね。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:後でステージのところで会うことにしましょ、//n私が参加したい催しはそこで行われるから。絶対待っててね！
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:ええ、ではまた後で。
RO635(0)<Speaker>RO635</Speaker>||:……よし、と。この後は……+楽しむつもりとは言ったけど、//n何をすることが楽しむってことなのかしら？
RO635(0)<Speaker></Speaker>||<黑屏1>:……+ROはテーブルに置かれたデザートをそっと手に取った。
()<Speaker>RO635</Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:何と言っても……大切なパーティーだから。+……
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Hello</BGM>:今回のパーティーはもちろん大事よ！+私はこの日を楽しみにしているし、私たちの大切な思い出にしたいの。
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:……そうだったのですね？
AR15Mod(0)<Speaker>ST AR-15</Speaker>;RO635(0)||:でも今の会場設営は全然だめね！+私が期待しているような、//n「宝石のような眩さ」とか「光の芸術」なんてのとは程遠いわ。+折角の機会なのに、適当な設営をするなんて絶対に許されない。//n少なくとももっと予算をかけて設営すべきよ。
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:そう、ですね……（釘を打つ音）+そうなんですか？
AR15Mod(0)<Speaker>ST AR-15</Speaker>;RO635(0)||:私はもとよりそのつもりよ。ただ……
AR15Mod(0)<Speaker></Speaker>;RO635(0)||<BIN>137</BIN>:AR-15は、安全ベルトを着用し、//n部隊天井の支柱に吊り下げられながら注意深く作業するROに目を向けた。
AR15Mod(0)<Speaker>ST AR-15</Speaker>;RO635(0)||:あんた、何してるの？
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:わたしですか？
AR15Mod(0);RO635(0)<Speaker></Speaker>||:ROは自身の手に握られた金づちと板に視線を落とした。
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:ステージライトの取り付け、ですかね？
AR15Mod(0)<Speaker>ST AR-15</Speaker>;RO635(0)||:それは担当の人形がやるべき仕事じゃないのかって言ってるのよ！
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:ははは、申し訳ありません。//n皆さん忙しそうにしていたものですから、つい……
AR15Mod(0);RO635(0)<Speaker></Speaker>||:ステージライトの設置に間違いがないか細かくチェックすると、//nROは慣れた様子で支柱から降り、安全ベルトを外した。
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:完成しましたね！+そうだ、ライトのチェックを忘れずに……
AR15Mod(0);RO635(0)<Speaker>ライト担当の人形</Speaker><同时置暗>||:今チェックしていますよ、素晴らしい仕上がりです！+本当にありがとうございました、ROさん。//nあなたが来てからみんなやる気に満ち溢れてますよ！
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:折角のパーティーですからね。//nそのやる気を維持したまま作業をやり遂げたいものですね！//nでは、また後程。
AR15Mod(0)<Speaker>ST AR-15</Speaker>;RO635(0)||:折角のパーティ？
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:AR-15、申し訳ありません、お待たせしました。//n先ほどはなんと？
AR15Mod(2)<Speaker>ST AR-15</Speaker>;RO635(0)||:会場設営のことであんたに話があったのよ。+でももういいわ。//n話したらまた自分でやりかねないもの。
AR15Mod(2);RO635(0)<Speaker>RO635</Speaker>||:わたしに出来ることであれば、の話ですが。
AR15Mod(2)<Speaker>ST AR-15</Speaker>;RO635(0)||:いや、私はあんたにこういう些細なことに首を突っ込んでほしくないのよ。
AR15Mod(2);RO635(0)<Speaker>RO635</Speaker>||:それは……？
AR15Mod(4)<Speaker>ST AR-15</Speaker>;RO635(0)||:M4から聞いたわよ。//nあんたがこの機会に、仕事のことを忘れて、//nパーティーをつもりだって言ってたこと。+だけど、今のあんたは全然そうしてないじゃない。
AR15Mod(4);RO635(0)<Speaker>RO635</Speaker>||:いっ、言われてみれば！
AR15Mod(5)<Speaker>ST AR-15</Speaker>;RO635(0)||:今気づいたの？！
AR15Mod(5);RO635(0)<Speaker>RO635</Speaker>||:すいません。忙しくなると他のことを考える時間を持てなくて。+しかし、このままでも達成感はありますし、//n手伝いをすれば、その分早く準備作業が終わるじゃないですか。
AR15Mod(4)<Speaker>ST AR-15</Speaker>;RO635(0)||:でもそれはあんたが手ずからする必要のないことよ。//n人手は十分に足りてるし、どこも担当の人形が配置されてるわ。//nそれなのにあんたは……+いい？あんたに何の仕事も割り振られていないのは、//nみんなパーティーの時ぐらいはあんたに休んで欲しいからなのよ！
AR15Mod(4);RO635(0)<Speaker>RO635</Speaker>||:そうでしたか、申し訳ない……
AR15Mod(0)<Speaker>ST AR-15</Speaker>;RO635(0)||:誰も責めてるわけじゃないわよ。
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:いえ、ありがとうございます、AR-15。//n確かにパーティーをちゃんと楽しむべきですね。+よし！そうと決まれば精一杯楽しまないと……
AR15Mod(0);RO635(0)<Speaker>ステージ担当の人形</Speaker><同时置暗>||:ROさん、ちょうどいいところに。//nステージのデザインなのですが……
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:あっ、はい。どれどれ……+……はっ！？
AR15Mod(4);RO635(0)<Speaker></Speaker><Shake>||<BGM>BGM_Empty</BGM>:助けを求められたROがそれに応じようと喜んで前へと出た瞬間、//n肩に突然強い力がのしかかった。+振り返ってみると、肩をきつく握りながら恐ろしい視線を//nこちらへ向けるAR-15が目に入る。
AR15Mod(4);RO635(2)<Speaker>RO635</Speaker>||<BGM>BGM_Danger</BGM>:……A、AR-15？
AR15Mod(4)<Speaker>ST AR-15</Speaker>;RO635(2)||:あんた、ちょっと来て。
RO635(2)<Speaker>RO635</Speaker>||<黑屏1>:え、ちょっと……わっ！
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><SE1>AVG_Door_Hit</SE1>:AR-15はROに言葉を返すこともなく、//n無理やりステージ裏の更衣室まで彼女を引きずってゆく。
()<Speaker>RO635</Speaker>||<BGM>BGM_Empty</BGM>:えっと、AR-15？！待ってください……や、やめてくださいよ！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:……
()<Speaker>ST AR-15</Speaker>||:ハイハイ、勝手に動かないで！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:……
()<Speaker></Speaker>||<黑屏1>:……
AR15(3)<Speaker>ST AR-15</Speaker>||<BIN>82</BIN><黑屏2>:よし、と。出てきていいわよ。
RO635(7)<Speaker>RO635</Speaker>||<黑屏1>:……
()<Speaker></Speaker>||<BIN>138</BIN><黑屏2><BGM>BGM_Moon</BGM>:更衣室を出てステージ前に来たROは、//nすっかり新しい衣装に着替えていた。+精緻な縫製と見事な配色に、//nステージの準備に忙しい人形たちも目を奪われる。
RO635(7)<Speaker>RO635</Speaker>||:なっ、なぜです……？
AR15(3)<Speaker>ST AR-15</Speaker>;RO635(7)||:なぜって……ドレスのこと？+宿舎で見つけたのよ。//n着替えるのを忘れたんだと思って持ってきたんだけど。+どうやら、あんたを脚立の上に登らせないようにするにはぴったりね。
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:そんなことしませんよ！
AR15(3)<Speaker>ST AR-15</Speaker>;RO635(7)||:本当に？
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:……おそらく……
AR15(3)<Speaker>ST AR-15</Speaker>;RO635(7)||:……+なかなか似合ってるわよ。
