()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
NPC-xiaodanyan(0)<Speaker>前情提要</Speaker><Position>0,300</Position>||<SE1>AVG_show_start</SE1>:你们的老朋友小单眼来啦！+上一集说到小邪神和衔尾蛇在搞丢了第一个目标NZ75之后，直奔扭蛋馆，准备骗走在那里打工的第二个目标CZ75。+为了还清在扭蛋馆欠下的钱，同时也是为了在CZ75面前展示自己的财力，小邪神叫来了美杜莎给自己送钱。+而同时，美杜莎也成为了NZ75的替补。+但没想到，美杜莎被一心只想笼络异世界友人的小邪神气走了。+狂追美杜莎的小邪神留下衔尾蛇和CZ75对峙，衔尾蛇再次使用谎言放松了CZ75的警惕，并趁机动手放倒了CZ75——+计划终于成功了一环，安顿好CZ75之后，小邪神和衔尾蛇朝着P90的所在地而去……+然后，我想发表一点我的不成熟的感想，小邪神实在太过分了！简直就是蛇渣！
Jashinchan(2)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:恶魔做过分的事有什么错！
NPC-xiaodanyan(0)<Speaker>前情提要</Speaker><Position>0,300</Position>||:与此同时，因为被游佐浩二追杀而迷路的NZ75，正在因为手中隐藏了不得了秘密的不得了的东西而不知所措。+她该何去何从？她最后又会做出什么样的选择呢？
Jashinchan(7)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:哼，挣扎什么，反正最后都会成为我小邪神帝国的人！
NPC-xiaodanyan(0)<Speaker>前情提要</Speaker><Position>0,300</Position>||:那么，请大家继续收看接下来的内容！
()||<黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>385</BIN><BGM>event_summer_Title</BGM>:……清晨，神保町街头。+一个头顶牛角的少女已经精神抖擞地给每一户人家送完牛奶了。
Minosu(0)<Speaker>米诺斯</Speaker>||:好！今天也是元气满满的一天！+不知道今天新的计时有没有突破呢？
()<Speaker></Speaker>||:少女专注地翻看着计时器，脸上的汗水从下巴滑落。
Minosu(0)<Speaker>米诺斯</Speaker>||:好耶！今天比昨天快了两秒！+作为奖励，就冲刺跑回家里洗个澡吧！
()<Speaker></Speaker>||<SE1>RunStep</SE1>:话音未落，少女的身影已经消失在了街头。
()||<黑点1>:
()<Speaker></Speaker>||<BIN>390</BIN><黑点2>:米诺斯的家中响起了电话铃声。+叮铃铃——
Minosu(0)<Speaker>米诺斯</Speaker>||<SE1>AVG_tele_connect</SE1>:你好，这里是米诺斯！
Minosu(0)<Speaker>邪神酱</Speaker>||:<color=#00CCFF>米诺斯，现在有空吗？</color>
Minosu(0)<Speaker>米诺斯</Speaker>||:有空啊，我刚打完工，正准备出去跑个步呢。
Minosu(0)<Speaker>邪神酱</Speaker>||:<color=#00CCFF>你能在百合铃家里等我一下嘛？我待会有事想跟你说。</color>
Minosu(0)<Speaker>米诺斯</Speaker>||:那我直接来找你不就好了！
Minosu(0)<Speaker>邪神酱</Speaker>||:<color=#00CCFF>我……我这边还有其他的事。</color>
Minosu(0)<Speaker>米诺斯</Speaker>||:没关系啦，正好来帮你！
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:不顾小邪神的喊叫，米诺斯放下电话冲出了家门。
()||<黑点1>:
