()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<SE1>AVG_keyboardtype_sci</SE1><BIN>724</BIN><黑屏2><narrator>:■기록■ PACC76539820163287, 디코딩...
()<Speaker></Speaker>||<narrator>:서맨사 쇼(2009-2062)+본명 "예카테리나 바실리예브나 페트로프스카야"
()<Speaker></Speaker>||<narrator>:......+2034년, 주콥스키 공군 아카데미 입학+......+2037년, 자동화 및 고급 기계 설계학 석사 학위 취득, 같은 해 신소련군의 전문직 우등생 모집에 기술 전문가 신분으로 입선 【첨부 파일 77】+......+2037년, 소피아가 유적 기술 반대 조직 "판도라"의 구성원으로 검거되어 체포 및 수감, 예카테리나가 면회 【첨부 파일 81】+......
()<Speaker></Speaker>||<CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<narrator><SE1>AVG_keyboardtype_sci</SE1>:첨부 파일 77, 디코딩...
()||<黑屏1><CGDelay>0.7</CGDelay>:
()<Speaker></Speaker>||<黑屏2><BIN>654</BIN><CGDelay>0.5</CGDelay>:
NPC-shaw(7)<Speaker>예카테리나</Speaker>||<BGM>BGM_23S_Winter_Night</BGM>:학우와 교수진 여러분 반갑습니다, 저는 예카테리나 페트로프스카야입니다.+ 저는 자동화 및 고급 기계 설계 전공을 졸업하여, 이번 기수 우수졸업생으로 후배 여러분께 약간의 노하우를 전수할 수 있게 되어 대단히 영광입니다.
NPC-shaw(7)<Speaker>예카테리나</Speaker>||:저를 잘 아는 사람이라면, 제가 이런 인삿말을 하느니 혼자 실험실에 처박혀 기계나 만지기를 더 좋아한다는 것을 아시겠죠.+근데 그럴 수가 없어요. 새 프로젝트를 하려면 예산을 따야 하는데, 그럼 교수님들한테 밉보이지 않아냐 하니까 이렇게 시답잖은 소리나 하러 나왔습니다.
NPC-shaw(7)<Speaker>예카테리나</Speaker>||:저는 "십자가의 도시"에서 태어났습니다. 거긴 염수호, 천연 가스, 그리고 아무 데나 마구 똥을 싸 놓는 야생동물이 잔뜩인 곳이죠.+그런 환경이지만, 제가 비행기를 좋아하는 걸 방해할 순 없었습니다.+어릴 적 종이 비행기를 갖고 놀았고, 커서는 진짜 비행기를 타고 싶었죠.+교수님들은 여러분께 전공을 선택할 때 수익성이니, 천부적 재능이니, 이상이니, 아무튼 그런 걸 다 고려하라 했겠지만...+제가 보기에, 그딴 거 다 개소립니다.+전 무슨 고상한 이유를 가지고 여길 다니지 않습니다. 애초에 보시는 바와 같이 제가 딱히 고상한 사람도 아니고요.+공부는 진짜 고통이에요.+그저 공부를 해야만 얻을 수 있는 즐거운 결과가 있기에 버틴 겁니다.+일단, 제가 어디 호텔 주방에서 야채나 볶는 그림은 전혀 상상할 수 없으니까요.+물론 이 전공의 장점은 아주 뚜렷합니다——+우리 전공 교실이 식당에서 제일 가까워서, 누구보다 빠르게 학식 먹으러 갈 수 있어요.
