()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>BGM_stage11</BGM><BIN>725</BIN><黑屏2><CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||:法兰克福的白区入口被严密把守着。
()<Speaker></Speaker>||:几道安全检查站一字排开，全副武装的军人和自律安全机器人在各个通道间巡逻。
()<Speaker></Speaker>||:自指挥官强行突破之后，安保级别明显提高了。
()<Speaker></Speaker>||:托卡列夫和格琳娜站在安检站外的广场边缘，观察着严密的防御措施。+托卡列夫身着外套，挡住了身为人形的大部分特征，但完全隐藏身份是不可能的。+格琳娜咬着嘴唇，眉头紧锁。
NPC_Kalina_OL(4)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:情况比预想的还要糟……+那些扫描仪是最新型的人形识别装置。+一旦你靠近，立刻会被识别出来。
NPC_TT33(1)<Speaker>托卡列夫</Speaker>||:从技术上讲，我现在的状态属于“未授权人形”，如果被发现……+格琳小姐，我可以躲在附近，由您独自——
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:格琳娜坚决地摇了摇头。
NPC_Kalina_OL(4)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:不行，我需要你。+而且，分开行动太危险了。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:她从口袋里摸索了一下，但却没能找到什么有帮助的东西。+最后只是掏出了一张绿色的卡片，不由得苦笑起来。
NPC_TT33(2)<Speaker>托卡列夫</Speaker>||:这是……？
NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:……是老板给我的礼物——绿区的永久居住许可。+它能让我在绿区能过上舒适的生活，但此时此刻，对我想要进入白区的目的毫无帮助。+你们前天是怎么进去的？
NPC_TT33(1)<Speaker>托卡列夫</Speaker>||:前天……指挥官带领我们攻入白区时，有几个……我不认识但很熟悉的人形。+她们通过某种电子战手段，干扰了安检系统。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:格琳娜抬起头，眼中闪过一丝了然。
NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:是404……是啊，她们肯定会协助指挥官的行动。
NPC_TT33(2)<Speaker>托卡列夫</Speaker>||:您认识她们？
()<Speaker></Speaker>||:格琳娜点点头，但随即沮丧地叹了口气。
NPC_Kalina_OL(4)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:……但来到这边之后，我还没有见到过她们。+不光是她们，AR小队，忤逆小队，还有其他按理说不在IOP管辖内的人形……我都没有找到。+就好像她们全都……消失了。
NPC_TT33(2)<Speaker>托卡列夫</Speaker>||:……可能她们也在寻找指挥官。+又或者……
()<Speaker></Speaker>||:她没有说完，但格琳娜明白了她的暗示——她们可能已经被官方控制了。+想到这种可能性，格琳娜的脸色变得更加苍白。
NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:不管怎样，现在我们只能靠自己。+……我可能得再联系一下克鲁格先生。
NPC_TT33(2)<Speaker>托卡列夫</Speaker>||:……您确定吗？+克鲁格先生已经明确表示过不想您卷入此事。
NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:他虽然嘴硬，但从未真正拒绝过我的请求。+何况……他对指挥官也是有感情的。
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:格琳娜拿出通讯器，走到一旁。
()<Speaker></Speaker>||:托卡列夫保持着警戒，但依然能听到格琳娜的声音。
()||<黑点1>:
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1><黑点2>:滴滴。+通讯接通。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker><通讯框>||<CGDelay>0.4</CGDelay>:
NPC-Kyruger(0)<Speaker>克鲁格</Speaker><通讯框>||:<color=#00CCFF>格琳？</color>+<color=#00CCFF>不是让你好好休息吗？</color>
NPC-Kyruger(0);NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:克鲁格先生，我需要您的帮助。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker><通讯框>;NPC_Kalina_OL(0)<Position>0,-90</Position>||:<color=#00CCFF>如果是关于指挥官的事，我昨天已经说得很清楚了——</color>
NPC-Kyruger(0);NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:我只需要一个临时的白区通行证，就这一次。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker><通讯框>;NPC_Kalina_OL(0)<Position>0,-90</Position>||:<color=#00CCFF>白区？你现在在哪里？</color>
NPC-Kyruger(0);NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:我——
NPC-Kyruger(0)<Speaker>克鲁格</Speaker><通讯框>;NPC_Kalina_OL(0)<Position>0,-90</Position>||:<color=#00CCFF>你应该在回新苏联的飞机上，格琳，而不是在法兰克福胡闹。</color>
NPC-Kyruger(0);NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||:我不会停止调查的，克鲁格先生。指挥官对我而言不仅仅是长官，他是我的——
NPC-Kyruger(0)<Speaker>克鲁格</Speaker><通讯框>;NPC_Kalina_OL(0)<Position>0,-90</Position>||:<color=#00CCFF>指挥官已经死了，格琳。</color>+<color=#00CCFF>现在立刻回家，别让自己也陷入麻烦。</color>
