DiffclutyNum|2
ShowRuler|0
LightColor|FFFFFFFF,FFFFFFFF
CameraField|41
CameraAngle|35
CameraHight|3
CameraRect|0.18,0,1,1
MissionMapMaxScale|1.2
MissionMapSize|5000,4500
MissionMapOffset|1500,4200
MissionMapAVGSize|5000,5000
MissionMapAVGOffset|0,0
MoveLimitMin|2000,-1000
MoveLimitMax|1200,5500
MoveOffset|-0.18,0.15,0,0.15
MissionMapName|Map2
MissionSpotName|MissionSpot
MissionSpotAvgName|MissionAvgSpot
MissionStartName|MissionStart
MissionSelectName|MissionSelect
MissionSelectEffectName|SelectEffect
MissionClockName|MissionClock
MissionPathName|MissionPath|0.03|#FF0000FF
MissionEffectName|
MissionRewardCode|
MissionCampionRewardCode|
SpotDeep|60
SpotNormalColor|#FFFFFFFF
SpotUnOpenColor|#818181FF
SpotDeepColor|#858996B8
PathNormalColor|#FF3709EB
PathDeepColor|#2E2E5817
PathLockColor|#4D4D4DAE
PathUnReachColor|#FF9A097B
MissionKey|0
CampionName|
MissionAvgID|
