()||<BIN>72</BIN><BGM>BGM_Danger</BGM><SE1>Alarm</SE1>:………………滴！滴！滴！+…………
HK416(3)<Speaker>HK416</Speaker><通讯框>||:喂！發生了什麼！
HK416(3);G11(2)<Speaker>G11</Speaker><通讯框>||:是警報！快點下線，一定是外面出事啦！
HK416(3)<Speaker>HK416</Speaker>||<黑屏1>:該死，偏偏這個時候……
()||<BIN>55</BIN><Night><黑屏2>:…………HK416和G11退出網路。
HK416(3)<Speaker>HK416</Speaker>||:喂，9，外面發生了什麼！
G11(2)<Speaker>G11</Speaker>||:喂喂，不會吧……+那個……那個不是……
G11(2);BossDestroyerPlus(0)<Speaker>？？</Speaker><通讯框>||:哼哼，又見面了，404的各位。+之前的前菜味道如何？雖然只是個餐前小食，不足以體現我們的誠意。+接下來，就讓全新的我來親自招待你們吧！
G11(2);BossDestroyerPlus(0)<Speaker>？？</Speaker>||:不過現在的我，你們已經認不出來了吧？
G11(2)<Speaker>G11</Speaker>;BossDestroyerPlus(0)||:你是……破壞者吧？
G11(2);BossDestroyerPlus(0)<Speaker>破壞者</Speaker>||:誒！為什麼你還能認出來！
HK416(2)<Speaker>HK416</Speaker>;BossDestroyerPlus(0)||:破壞者？等等，破壞者不應該是那個小矮子嗎？
HK416(2);BossDestroyerPlus(0)<Speaker>破壞者</Speaker>||:喂！為什麼你還認不出來！還有誰是小矮子啊！+再說我之前不是變成過大狗嗎！
UMP9(2)<Speaker>UMP9</Speaker>;BossDestroyerPlus(0)||:這種事情是該自豪地拿出來說嗎……
UMP9(2);BossDestroyerPlus(0)<Speaker>破壞者</Speaker>||:呿！吵死啦！你們這群廢物明明馬上就要死了，就不能說說好話祈求我的慈悲嗎！
HK416(0)<Speaker>HK416</Speaker>;BossDestroyerPlus(0)||:好像是破壞者沒錯，笨蛋人格完全沒變呢。
G11(0)<Speaker>G11</Speaker>;BossDestroyerPlus(0)||:然後呢？除了骨頭長了脂肪多了，和之前有什麼區別嗎？
BossDestroyerPlus(0)<Speaker>破壞者</Speaker>||:哈哈哈哈！蠢貨們！本小姐很快就讓你們體會到火力級別的差距！+被格里芬反復踩在腳下的歷史已經被改寫了，而你們將是第一批見證者！+以及犧牲品……感到榮幸吧！啊哈哈哈哈！
UMP9(2)<Speaker>UMP9</Speaker>||:（歎氣）鐵血都喜歡這樣裝模作樣地喊廣播嗎？
G11(0)<Speaker>G11</Speaker>;UMP9(2)||:囂張個什麼啊。+只不過是老了十幾歲，為什麼那麼開心……
HK416(0)<Speaker>HK416</Speaker>;UMP9(2)||:這回怎麼辦？雖然看起來依然很蠢，但這次外形似乎的確強大了不少。
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||:只要它的能力比不上軍方的戰術人形，我們就有勝算。
HK416(0)<Speaker>HK416</Speaker>;UMP9(0)||:真的要打嗎？
HK416(0);UMP9(0)<Speaker>UMP9</Speaker>||<黑屏1>:報告傳輸還要一段時間，我們必須做好準備。+我會聯繫希爾和德爾，做好萬全之策。+各位，要開始最後的作戰了，再堅持一下吧！
