()||<BIN>7</BIN><Night><BGM>BGM_Room</BGM>:……
UMP9(0)<Speaker>UMP9</Speaker>||<BIN>7</BIN><Night>:45姐，格里芬的梯隊3分鐘後就會到達這裡了。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:人情賣到這就夠了，我們走吧。+這次得和雇主要個好價錢呢……+對了，9，記得把我們的記錄清理乾淨。
UMP9(3)<Speaker>UMP9</Speaker>||<BIN>7</BIN><Night><黑点1>:放心啦，我正在做呢。+這次人有點多，再給我5分鐘，我們就能消失得無影無蹤了。
()||<BIN>34</BIN><黑点2>:——數十分鐘後。+404小隊與安潔會合。
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:好久不見，UMP45。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:雖然我也想附和你一下……+不過每次和你見面，遇到的都是非常麻煩的事。+想必這次也是一樣吧？
UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:看來你已經做好心理準備了。+正因如此，你們的存在才相當有價值啊。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:好了，閒話少說。+這次鬧出這麼大的動靜……發生了什麼事？
UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:你知道歐伽斯系統嗎？
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:我知道，那是鐵血人形協議的基礎。+也是使得我能偽裝成它們的基礎，所以這和我們有什麼關係？
UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:僅僅為了一個基於歐伽斯系統的指揮協議，用不著如此大動干戈。+他們想要的，是比這個系統更重要的東西，更有破壞力的東西。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:那麼那是什麼呢？
UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:我還不知道。+不過，你還記得蝴蝶事件吧。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:…………+我怎麼可能忘記。
UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:這次事件的本質，就是蝴蝶行動的後續。+那次只是個序章，而這次才是他們期望的正篇。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:所以犧牲也是正篇級別的。真是一群殘渣。+那就告訴我吧，這次需要我做什麼。
UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:哦？這次倒是很積極啊。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:畢竟我也有想要討回的東西。
UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:這次的任務是找出鐵血的大訊息庫，盡可能搜尋和歐伽斯以及蝴蝶行動相關的情報，然後定位主腦的位置。+動作要快，我們必須搶在對手前面找到主腦。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<黑屏1><BIN>34</BIN>:知道了。+我們馬上休整完畢，然後出發。
UMP45()<Speaker>UMP45</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:終於到了這一刻……+我已經改變了，40……+現在，是時候為這一切畫上句號了。
