()||<BIN>7</BIN><BGM>BGM_Sneak</BGM>:…………半小時後。
M16(3)<Speaker>M16A1</Speaker>||:天氣好像好轉了一點，不過視野還是很差勁……+RO，你那邊能看到機場嗎？
RO635(4)<Speaker>RO635</Speaker>||:（瞇起眼睛）沒，我……還沒……
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:喂，我看到機場啦！就在那邊！+但是……沒看到直升機，也沒有物資啊……
M16(3)<Speaker>M16A1</Speaker>||:這樣下去可不妙，大家的口糧都快見底了。+繼續在外面行動，我們很快就要走不動了……
()||:…………滴。
NPC-Helian(0)<Speaker>赫麗安</Speaker><通讯框>||:M16，你們還在嗎？+我剛才要說完的是，現在區域內的陣風導致空投補給十分困難。+我們的無人機只能在天氣好轉時才能抵達機場，然後立即撤離。
M16(3)<Speaker>M16A1</Speaker>;NPC-Helian(0)||:也就是說，我們必須抓住空隙來到機場進行補給，對吧？
M16(3);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:是的，我會把陣風的間隔時間通知你，你們要算好時間來呼叫補給。+另外，我們有一名重要的人形在之前隨著運輸機墜落在這裡。+她身上攜帶著重要的技術模組，請你們務必將她營救出來。
M16(3)<Speaker>M16A1</Speaker>;NPC-Helian(0)||:收到啦，不過那名人形是誰呢？
M16(3);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:是M1887，是一名裝配了霰彈武器的精英戰術人形。+我們最後一次聯絡她時，她正在區域中心的避難所。+你們要從東南方的通道進入，繞開敵方的炮台陣線才能抵達。
M16(3)<Speaker>M16</Speaker>||<黑屏1>:收到命令，我們這就去避難所調查。
