()||<BIN>10</BIN>:【提示】請認真閱讀接下來的劇情教學以順利進行遊戲。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:這裡也搞定了！
K2(0)<Speaker>K2</Speaker>||:太棒了，克莉爾！
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:再多誇誇我吧，我會很開心哦！
AEK999(0)<Speaker>AEK999</Speaker>||:明明是你一直在製造麻煩。+話說回來啊，菲爾和克莉爾，真的算是兩個人嗎？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:至少我覺得，菲爾和我……是兩個不同的靈魂。+我們有重合的地方，也有彼此疏離的地方。
TMP(0)<Speaker>TMP</Speaker>||:也許，我們有辦法將你們完全分離開。
M950A(0)<Speaker>M950A</Speaker>||:哈？你認真的？菲爾明明造成了那麼多麻煩啊。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:菲爾應當為她犯的錯誤付出代價。+但我不覺得……菲爾的出現這件事是個錯誤。
Thunder50(0)<Speaker>雷電</Speaker>||:只要她不再對這裡的精靈下手。
M950A(0)<Speaker>M950A</Speaker>||:（苦笑）還有我。+只要她願意成為我們的朋友，那就隨便吧。
K2(0)<Speaker>K2</Speaker>||:好啦，我們先繼續前進，看看這次是誰的封印吧！
()||:【提示】前方的戰鬥將與通常戰鬥完全不同，請閱讀以下說明。+首先，請提前關閉【自動技能】指令，並打開遊戲設置的【音樂】開關，以免出現突發狀況。+在音樂標記墜落到水平線的瞬間，準確點擊對應的人形技能圖標，以獲得對應的MAX同步率。+否則，人形將受到一定傷害。+在音樂播放結束前保證您的人形沒有全部被擊敗，即可獲得勝利。+最後提示，請提前關閉【自動技能】指令，並打開遊戲【音樂】以免出現突發狀況。
