()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
()<Speaker>安潔莉婭</Speaker>||<BIN>9</BIN><黑屏2><SE1>Heartbeat</SE1>:我用了兩分鐘……+……恢復了知覺。
()<Speaker>安潔莉婭</Speaker>||:我用了十分鐘……+……在地上掙扎，爬起來，靠掩體支撐，做一點聊勝於無的急救。
()<Speaker>安潔莉婭</Speaker>||:我用了一分鐘……+……思考。+……思考我究竟是活著，還是已經死了。
()<Speaker>安潔莉婭</Speaker>||:然後我用十秒鐘總結了答案……
()<Speaker>安潔莉婭</Speaker>||<黑屏1>:我還活著，但就快死了。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||<BIN>157</BIN><睁眼>:咳咳……+咳……+真難受……身體不太受使喚了……+M4A1……+AK12……+聽得到我說話嗎？你們怎麼樣了？主腦呢？被截獲下來了嗎？
()<Speaker></Speaker>||:……+……頻道中只有噪音。
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:嘖……這裡的輻射濃度看來無法進行通訊，我得……離開這裡……+不知道這副身體……還能不能戰鬥……
NPC-AngeDamage(2)<Speaker></Speaker>||:……安潔艱難地把通訊器塞進口袋。
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:我不是個對外表完全不在乎的人類，所以我一點都不想知道自己的臉現在是什麼樣子。+但看到自己的雙手……我確定現在自己一定像個怪物。+我會變成什麼，除了死亡……還有什麼……
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<震屏>:咳！咳咳——！
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:我知道那是什麼……
()<Speaker>？？</Speaker>||:呃啊啊啊啊啊啊啊——！！
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:……！
()<Speaker></Speaker>||:……遠處傳來一陣陣令人毛骨悚然的嚎叫。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||<黑屏1>0,0.7<黑屏1>:……就是它們，我知道那些不詳的聲音，世界大戰前就散播的噩夢。+我的咳嗽聲會吸引它們，就得快點離開這裡……快！
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Empty</BGM><黑屏2>:稍後……安潔在掩體之間躲藏，這時通訊器突然有了反應。
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>安潔！安潔！你沒事吧？你已經好久沒有應答了！我還以為你……</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Persica(1)||<BGM>BGM_Room</BGM>:咳咳……我還沒那麼容易變成你以為的那樣……
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>哈威爾</Speaker><通讯框>||:<color=#00CCFF>安潔，我就知道你沒事——</color>+<color=#00CCFF>哈哈，這當然是騙你的，我以為你死定了，不過你居然活下來了，這是你第二次出乎我的意料了。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(0)||:沒按你的預想去死真是抱歉了，同步一下情況吧，我現在還在污染區裡，我聯繫不上忤逆小隊。+如果她們沒有完成任務，我們得有後備方案的後備方案……+雖然我知道你不是很在乎我的死活，哈威爾，不過我姑且問一句，你現在能提供支援嗎，隨便什麼都行。
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>你知道我不能越過安全局的許可權給你協助，不如你再問問你的局長？</color>
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:開什麼玩笑！+我連那個髒彈都引爆了，你現在和我說不能越過什麼許可權！？
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>冷靜點年輕人，太激動的話會加快你的感染速度。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:……你知道我被感染了？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF></color>在坍塌液髒彈的輻射範圍內，就一定會受廣域性低輻射感染的影響。能不能活著出來就看你是否是耐受體質了，至少看反應，你目前的身體素質還不錯。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:那真是謝謝誇獎了……
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>別著急安潔，哈威爾剛才一直在協調支援，你聽他說完吧？</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Persica(3)||:好吧……咳咳……姑且……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈威爾</Speaker><通讯框>||:<color=#00CCFF>抱歉，說正事吧，我會嘗試和你們的局長澤林斯基進行聯繫的。</color>+<color=#00CCFF>不過我想你也猜得到，讓他們直接派遣支援是不太可能的，你也是明白這一點所以才沒找他聯繫，對吧？</color>
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:的確不能指望他們，特別是髒彈爆炸後，局長已經和我是對立面了……
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>不過我會想辦法讓他無法阻撓我們的，所以我和帕斯卡已經在為你提供解決方案了。</color>+<color=#00CCFF>與其依賴別人，不如自己想辦法解決，來解釋一下吧，帕斯卡。</color>
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>抱歉安潔，之前你說人形的武裝無法面對軍方時我就在想……</color>+<color=#00CCFF>你還記得之前格里芬的指揮官俘獲了一個鐵血頭目嗎？</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Persica(3)||:你是說……那個……叫“建築師”的人形？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈威爾</Speaker><通讯框>||:<color=#00CCFF>看來你的記性不錯，她是個很好的技術樣本，也很配合我們。</color>+<color=#00CCFF>帕斯卡從它和它的武器身上採集了很多資料，然後做了些新玩意。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:你們居然用敵人的素體開發武器？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>我們可從沒跟它說謝謝。</color>+<color=#00CCFF>帕斯卡之前就一直在對它做相應的研究，理論上可以為人形裝配部分重型火力，很強大，當然，研發代價的也很大，讓多個人形合作操縱複雜武器的AI可不便宜。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:操縱重型火力？這已經違背了私人安全承包商的武器條款了吧？
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>昂貴、危險、又違法。像錢的東西這種根本沒法賣，理論上作為投資人的我應該阻止帕斯卡投入資源去研究。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(0)||:不過以你的個性就是喜歡這種危險的東西……
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>“不刺激的武器沒有價值”！你要感謝我的個性，因為我的個性也許你還能得救。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(0)||:咳咳……我萬分感激……+不過有一件事你搞錯了，哈威爾，我逃出去的可能性微乎其微。+我要你提供支援的，是格里芬的指揮官，把你們那些昂貴、危險、又違法的玩意交給他，也許格里芬的部隊還可以突圍……
NPC-AngeDamage(0);NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||: <color=#00CCFF>什麼？但是現在最需要支援的是你……！</color>
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>;NPC-Persica(1)||:我？我現在能做什麼……？我在輻射區的中心苟延殘喘，沒法去追捕主腦，手裡也沒有人形可以抵禦軍方……+就算派什麼重型火力過來也就只能對抗一些低輻射感染者，但是這毫無意義……哈威爾，你一定不會把錢投在沒有回報的地方吧？
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>哈威爾</Speaker><通讯框>||:<color=#00CCFF>……</color>
NPC-AngeDamage(2);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>但是……</color>
