()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>9</BIN><黑屏2><BGM>BGM_Room</BGM>:……
NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>||:安潔逃到哪裡了嗎？
NPC-YegorDamage(0);NPC-Yegor(3)<Speaker>軍方下士</Speaker>||:信號顯示，安潔和她的部隊躲到了一個位於【黃區】的建築群，我們的人形已經鎖定了她們的座標。+坦克部隊抵達還需要一些時間，但她們的建築群前方就是我們的一處偵察據點，我們無法通過遠端通訊確認這個據點的情況。
NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>;NPC-Yegor(3)||:別去想沒用的事，我們的士兵會盡職盡責，前提是他們還活著……+讓追擊部隊儘快通過目擊來確認她們的位置和數目，以及安潔本人，確保她還在裡面。
NPC-YegorDamage(0);NPC-Yegor(3)<Speaker>軍方下士</Speaker>||:十分鐘前我們已經通過信號掃描過了。
NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>;NPC-Yegor(3)||:信號可以被偽裝，這次戰鬥我確實見識過16LAB的能耐了，而且我確實很久沒看到安潔的影像了。
NPC-YegorDamage(0);NPC-Yegor(3)<Speaker>軍方下士</Speaker>||:你還在懷疑她們中途分頭行動？
NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>;NPC-Yegor(3)||:我說過，這很有可能，犧牲幾十個人偶去換自己的命，任何人類都會覺得划算。
NPC-YegorDamage(0);NPC-Yegor(3)<Speaker>軍方下士</Speaker>||:根據分析，她們分開的最佳時機應該就是在剛才那座廢棄大樓，但我們之前在那附近進行了信號掃描，並沒有在大樓中掃描到人類生命的訊號，也沒有任何跡象表明有單位進入過那座大樓。
NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>||<黑点1>:……真的是這樣嗎？
()||<黑点2>:……同一時間。
安潔()<Speaker>安潔</Speaker>||<黑屏1>:……
()<Speaker>安潔莉婭</Speaker>||<BIN>46</BIN><睁眼>:AK12……
AK12(2)<Speaker>AK12</Speaker>||:安潔……你終於……
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>;AK12(2)||:很少看到你這個表情……我……是死過一次了嗎？
