模組()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>55</BIN><BGM>BGM_Room</BGM>:與此同時，格里芬小隊方向。
Kord(0)<Speaker>Kord</Speaker>||<SE1>AVG_tele_connect</SE1>:這裡是偵查B小隊，我們已經穿過殺傷區域前來協助作戰。+供電中樞被破壞了，我們可以開始進入中心城區。+同時，這邊檢測到輕微的地震，也許防禦系統的深度比我們預計的要深，有可能會遇到沒被癱瘓的炮台。+剛才的干擾變得更加嚴重了，我們會提供齊納中段通訊支持，盡可能保證通訊通暢。
M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>;Kord(0)||:<color=#00CCFF>收到，請繼續保持通訊並排除威脅。</color>+<color=#00CCFF>諸位，我們在這裡分開，各自摧毀任務目標。</color>
Kord(0)<Speaker>Kord</Speaker>||<SE1>AVG_tele_disconnect</SE1>:（嘆氣）雖然早有準備，但還真是位冷漠的小姐……+應該沒有給她留下什麼壞印象吧。
Kord(0)<Speaker></Speaker>||:滴……滴滴……+警報聲響起。
Kord(0)<Speaker>Kord</Speaker>||:哇——+沒完沒了呢，這些東西。+那麼，做完了“訊號塔”，我也該做回善後的本職啦。
Kord(0)<Speaker></Speaker>||:面對著圍過來的感染生物，她瀟灑地打開了槍支保險。
Kord(0)<Speaker>Kord</Speaker>||<SE1>AVG_weapon_reload</SE1><黑屏1>:感染的小朋友們，一個都別想過去。
()<Speaker></Speaker>||<BIN>197</BIN><黑屏2><BGM>BGM_Empty</BGM>:一分三十秒後，塔林車站門前。
RO635(0)<Speaker>RO635</Speaker>||<BGM>BGM_Sneak</BGM>:啊，總算是進……啊！+什麼東西衝過來了？！
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<震屏>:M4！我已經到門前了哦！+哦——RO也到了！
RO635(5)<Speaker>RO635</Speaker><Shake>;M4 SOPMOD IIMod(0)||:什麼叫我也到了，我可是第一個到的！
RO635(0)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:……算了，不計較這個。看起來通訊恢復正常了，多虧了其他梯隊的努力。
RO635(0)<Speaker>RO635</Speaker>||:M4A1，是我們先進去還是等你們會合？
M4A1Mod(3)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>這邊有些感染生物，等我們解決完過去。</color>
