()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>214</BIN><黑屏2><BGM>BGM_Moon</BGM>:……格里芬基地，建築師的房間外。+一隻兵蟻急急地衝了進來，迅速跳上了桌面，將自己保管的小禮物推進了物資傳輸口。+緊接著，像是察覺到遠處隱隱約約的喊殺聲，兵蟻趕緊頭也不回地跑掉了。+建築師好奇地拿起了禮物……
()<Speaker>建築師</Speaker>||<黑點1>:哈哈，我的騎士小姐，還真是每年都會為我準備禮物啊。+可惜今年也不能回贈了呢……+耶誕節快樂……
()<Speaker></Speaker>||<BIN>7</BIN><黑點2><Night>:……格里芬基地附近的隱蔽角落。
BOSS-7(0)<Speaker>計量官</Speaker><通訊框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>我的計畫成功了，我現在趕去會合地點等你。</color>+<color=#00CCFF>你還有10分鐘趕到。</color>
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-7(0)<通訊框>||:什麼？你的計畫成功了？！+等等，我的兵蟻全部失去信號了……
BOSS-6(0);BOSS-7(0)<Speaker>計量官</Speaker><通訊框>||:<color=#00CCFF>意料之中的結果。</color>
BOSS-7(0)<Speaker>計量官</Speaker><通訊框>||:<color=#00CCFF>快撤退吧，再不走就要被格里芬發現了，如果你不想和那個笨蛋作伴的話。</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:……通訊結束。
BOSS-6(0)<Speaker>破壞者</Speaker>||:可、可是……
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:破壞者的目光在一片漆黑的雷達偵測器和報時器上來回拉扯。
BOSS-6(0)<Speaker>破壞者</Speaker>||<BGM>GF_Memorial</BGM>:嗚啊啊……我該怎麼辦？+沒有時間了，可是我明明努力了一天卻還什麼也沒得到……
()<Speaker></Speaker>||:破壞者癱坐在地上嚎啕大哭。
()<Speaker>指揮官</Speaker>||:是誰在哭？
()<Speaker></Speaker>||<黑點1>:破壞者趕緊噤聲，鑽進了最近的灌木叢中。
()<Speaker></Speaker>||<黑點2><BIN>9</BIN>:破壞者聽著指揮官逐漸逼近的腳步聲……
BOSS-6(0)<Speaker>破壞者</Speaker>||:完了……我也要被格里芬捕獲了嗎……+我才不要跟建築師一樣丟人……+要是被夢想家知道了，肯定會被嘲笑到後年的……+我自爆算了……
()<Speaker></Speaker>||:指揮官的腳步停在了一團奇怪隆起還在發抖的灌木叢前，無奈地笑了笑。
()<Speaker>指揮官</Speaker>||:咳咳，雖然不知道是哪裡的人形，不過，哭得這麼傷心一定是沒有拿到禮物吧。+正好我這裡多了一份，就放在這裡了。+耶誕節快樂。
()<Speaker></Speaker>||<黑點1>:破壞者的眼睛在黑暗中爆發出了光芒，她以從未有過的速度衝向聲音的來源……
()<Speaker></Speaker>||<黑點2><Night><BIN>7</BIN>:「砰」——+破壞者堅硬的頭顱結結實實撞上了蹲在灌木叢前的指揮官的下巴……
BOSS-6(0)<Speaker>破壞者</Speaker>||:耶、耶誕節快樂！
()<Speaker></Speaker>||<黑屏1>:趁著指揮官被撞得頭暈目眩，破壞者迅速搶走了禮物跑掉了……
()<Speaker></Speaker>||<BIN>161</BIN><黑屏2><Night>:……會合地點。
BOSS-7(0)<Speaker>計量官</Speaker>||:我還以為，下一次見你要等到攻破格里芬基地了。
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-7(0)||:你豐富的想像力還是留著給代理人編造理由吧。
BOSS-6(0);BOSS-7(0)<Speaker>計量官</Speaker>||:……+所以最後你還是拿到了你心心念念的禮物？+我們走吧。
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-7(0)||:嗯，不過折耗了這麼多資源空手回去，代理人會不會把我們……
BOSS-6(0);BOSS-7(0)<Speaker>計量官</Speaker>||:放心吧。
BOSS-7(0)<Speaker>計量官</Speaker>||:反正等你醒來也什麼都不記得了。
BOSS-6(0)<Speaker>破壞者</Speaker>||<黑點1>:……
()<Speaker></Speaker>||<BIN>7</BIN><黑屏2><Night><BGM>BGM_Empty</BGM>:……格里芬基地附近。+被撞得坐在地上的指揮官緩了半天才終於搖搖晃晃地站了起來。
