()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>5</BIN><SE1>AVG_Helicopter</SE1>:德國，不萊梅，威爾赫河道下游。
()<Speaker></Speaker>||:此處距離居民區已經有了相當的一段距離。+在河道的兩側，大約50米左右的距離，則被黑色的包廂車和拉好的禁止通行橫條團團圍住。
()<Speaker></Speaker>||<BGM>BGM_Brain</BGM>:在直升機的轟鳴聲中，年輕的男性提著手提箱，穿過了河道邊的苔蘚路。
NPC-Light(0)<Speaker>？？？</Speaker>||:……
()<Speaker></Speaker>||:隔著樹蔭，他都能聽見對方的對講機內嘈雜的聲音。
()<Speaker>國安局特工A</Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>D1區搜索完成，未發現異常狀況。</color>
()<Speaker>國安局特工B</Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>A2區搜索完成，未發現異常狀況。</color>
NPC-Jason(1)<Speaker>K</Speaker>||:收到，繼續搜索，往下再查一公里。+注意，「兔子」已經脫籠了，給我擦亮眼睛，找找她掉下的毛。
()<Speaker>國安局特工A&B</Speaker>||:<color=#00CCFF>明白。</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:國安局的搜索人員已經不眠不休地在河道的兩岸工作了超過24個小時。+而距安潔莉婭邁入德國境內，已經過去了五天。
()<Speaker></Speaker>||<SE1>AVG_wind_grass</SE1>:外衣和灌木摩擦著發出細碎的聲響，覺察到氣息的靠近，K也轉過了頭。+當K看清來人的面孔時，一瞬提起的心又放了回去。
NPC-Light(0)<Speaker>？？？</Speaker>||:長官。
NPC-Jason(1)<Speaker>K</Speaker>||:過來吧。
NPC-Light(0)<Speaker>？？？</Speaker>||:是。
()<Speaker></Speaker>||:模樣年輕的男子走到了K的身邊。+他銳利的目光筆直地盯著河道，看著那些仍在忙碌著的搜救船。
NPC-Jason(1)<Speaker>K</Speaker>||:時間緊急，我就長話短說了。+也不兜圈子，你知道我叫你過來幹什麼吧？萊特？
NPC-Light(0)<Speaker>萊特</Speaker>;NPC-Jason(1)||:是，我聽說是關於安潔莉婭女士的事。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:讀過報告了嗎？
NPC-Light(0)<Speaker>萊特</Speaker>;NPC-Jason(1)||:嗯，直到安潔莉婭女士與默莉朵小姐發生衝突為止，我都已經清楚了。+這案子之前是J前輩在跟吧。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:那傢伙現在指望不上，還是你更派得上用場。+正好你現在也是關鍵時刻——想好選哪個字母了嗎？
NPC-Light(0)<Speaker>萊特</Speaker>;NPC-Jason(1)||:請您不要拿我尋開心了。+J前輩是很優秀的特工，我還差得很遠。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:真沒幽默感。
NPC-Light(3)<Speaker>萊特</Speaker>;NPC-Jason(1)||:是您說時間緊急的。
NPC-Jason(1)<Speaker>K</Speaker>||:你這傢伙……算了。
()<Speaker></Speaker>||:K偏過頭，眺望起河道上仍在忙碌著的搜救船。
NPC-Jason(1)<Speaker>K</Speaker>||:你覺得默莉朵會死在河裡嗎？
NPC-Light(0)<Speaker>萊特</Speaker>;NPC-Jason(1)||:很難講，就算是同在飛機上的幾個人，也沒有目擊到落水的瞬間。+以這個高度來說，就算是訓練有素的特工也很容易受傷。+如果是普通人，就算摔死在水面上也沒什麼奇怪的。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:但我們的小秘書可沒那麼簡單。
NPC-Light(0)<Speaker>萊特</Speaker>;NPC-Jason(1)||:是的，問題在於，默莉朵小姐並不是普通人。+就安潔莉婭女士的說法，她是隸屬於大型非法組織「帕拉蒂斯」的新型改造人。+據說強度足以匹敵狼群小隊的AK12。
NPC-Light(0);NPC-Jason(1)<Speaker>K</Speaker>||:關於帕拉蒂斯的資料，機密程度仍是A級。+這次是破例讓你知道的，你明白我的意思吧。
NPC-Light(0)<Speaker>萊特</Speaker>;NPC-Jason(1)||:是。
