()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>84</BIN><黑屏1><BGM>BGM_Brain</BGM>:從倉庫離開之後，迦拉提亞集團的車隊仍行駛在崎嶇的道路上。+他們並沒有返回市區，而是前往了更偏僻的地方。
()<Speaker></Speaker>||<黑屏2><BIN>159</BIN>:跨過了隔離牆，來到了淨化區外後，又駛了一段時間。+直到抵達無人之境，車隊終於緩緩停下。
NPC-Bodyguard1(0)<Speaker>保安人員</Speaker>||:格雷女士，到了。
NPC-Bodyguard1(0);NPC-MrsGray(0)<Speaker>格雷</Speaker>||:…………
NPC-Bodyguard1(0);NPC-MrsGray(0)<Speaker></Speaker>||<同时置暗>:……沙沙……
NPC-Bodyguard1(0)<Speaker>保安人員</Speaker>;NPC-MrsGray(0)||:……！
NPC-Bodyguard1(0);NPC-MrsGray(0)<Speaker></Speaker>||<同时置暗>:忽然的異動讓保安人員們瞬間都拉響了警報。+周圍的掩體後，忽然冒出了大量白色的士兵，將包括格雷在內的迦拉提亞人員團團包圍。
NPC-Bodyguard1(0)<Speaker>保安人員</Speaker>||:什麼人！
NytoWhite(0)<Speaker>涅托</Speaker>||:……
NytoWhite(0)<Speaker></Speaker>||:……從白色士兵當中，一位白色的半機械少女慢慢地走了出來。
NPC-Bodyguard1(0)<Speaker>保安人員</Speaker>||:禁，禁止再靠近！
NPC-Bodyguard1(0)<Speaker></Speaker>||:保安人員們紛紛抬起了槍，眼前這支神秘部隊的詭異程度，讓他們產生了強烈的不安。
NPC-MrsGray(0)<Speaker>格雷</Speaker>||:……
NPC-MrsGray(0)<Speaker></Speaker>||:而他們的保護對象，被圍在中央的格雷女士，卻主動走出了防護圈。
NPC-Bodyguard1(0)<Speaker>保安人員</Speaker><Shake>;NPC-MrsGray(0)||:等……格雷女士！小心！
NPC-Bodyguard1(0)<Speaker></Speaker>||:看到柔弱的上司主動走向了手持鐮刀的少女，一位保安人員驚呼了起來。+但緊跟著，他便看到了讓他吃驚的一幕。
()<Speaker></Speaker>||:啪！+格雷女士一個耳光重重地打在了少女的臉上。
NPC-MrsGray(5)<Speaker>格雷</Speaker>||:……為什麼安潔莉婭會出現在工廠？
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(5)||:對不……
NytoWhite(0);NPC-MrsGray(5)<Speaker></Speaker>||:啪！+格雷女士反手又是一耳光。
NytoWhite(0);NPC-MrsGray(5)<Speaker>格雷</Speaker>||:蠢貨。
NytoWhite(0);NPC-MrsGray(5)<Speaker></Speaker>||:格雷女士陰森的表情，和她令人膽寒的聲音，都令保安們懷疑自己是不是在做夢。
NytoWhite(0);NPC-MrsGray(5)<Speaker>格雷</Speaker>||:如果我的人沒有及時通知我，你知道你的失誤會造成什麼後果嗎？
NytoWhite(0)<Speaker>涅托</Speaker><Shake>;NPC-MrsGray(5)||:……
NytoWhite(0);NPC-MrsGray(5)<Speaker>格雷</Speaker>||:你們讓我完美的計劃沾上了灰塵。+如果父親因此而發怒，你承擔得起責任嗎？
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(5)||:……我會負責的。
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:格雷看了白涅托一會，逐漸恢復原本的姿態。
NytoWhite(0);NPC-MrsGray(0)<Speaker>格雷</Speaker>||<BGM>BGM_Empty</BGM>:那是當然的。+……從現在就開始做吧。
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(0)||<BGM>BGM_Danger</BGM>:是。
NytoWhite(0)<Speaker></Speaker>||:白涅托點了點頭，目光從格雷的身上移開，看向了她身後的迦拉提亞士兵。
NPC-Bodyguard1(0)<Speaker>保安人員</Speaker>||:格雷女士……這到底是怎麼回事！
NytoWhite(0)<Speaker>涅托</Speaker>||<SE2>Alarm</SE2>:……殺光他們。
NytoWhite(0)<Speaker></Speaker>||:高舉起鐮刀，白涅托輕輕地吐出自己的命令。
NPC-Bodyguard1(0)<Speaker>保安人員</Speaker>||<SE1>Explode</SE1>:什麼——！
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:一瞬間，槍火與慘叫聲同時爆發。+格雷撣了撣衣角的灰塵，甚至不曾回過一次頭。
NPC-MrsGray(0)<Speaker>格雷</Speaker>||<BGM>BGM_Empty</BGM>:記得，午夜十二點之前。
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(0)||<BGM>BGM_Brain</BGM>:……需要帶回屍體嗎？
NytoWhite(0);NPC-MrsGray(5)<Speaker>格雷</Speaker>||:……
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:幾乎被對方的愚蠢程度再次激怒，格雷瞇了瞇眼，剛要發難，卻突然冒出了一個想法。+她舒展了眉頭。
NytoWhite(0);NPC-MrsGray(0)<Speaker>格雷</Speaker>||:可以。+但不要送到我這裡。+……去給默莉朵一個驚喜。
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(0)||:是。
NytoWhite(0)<Speaker></Speaker>;NPC-MrsGray(0)||:白涅托點了點頭，又看向格雷。+似乎有些害怕觸怒對方，但白涅托還是小心翼翼地試探道。
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(0)||:您在安潔莉婭身邊安插的眼線……+可以利用嗎？
NytoWhite(0);NPC-MrsGray(0)<Speaker>格雷</Speaker>||:……
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:格雷看著涅托，臉上面無表情。+直到白涅托逐漸開始緊張之後，她才搖了搖頭，回過了身。
NPC-MrsGray(0)<Speaker>格雷</Speaker>||:暫時不能。
NPC-MrsGray(0)<Speaker></Speaker>||:此時，屠殺已經結束，血蔓延到格雷的腳邊。+白色士兵們熟練地開始分揀屍體，並將車上的貨品按照程序銷毀。+格雷嫌惡地看了看被血污弄髒的交通工具，向後退了退。
NPC-MrsGray(0)<Speaker>格雷</Speaker>||:潘朵拉的盒子……是不能隨便打開的。
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(0)||:知道了。
NytoWhite(0)<Speaker></Speaker>;NPC-MrsGray(0)||:白涅托恭敬地點頭。
NPC-MrsGray(0)<Speaker>格雷</Speaker>||:另外，我需要一輛車。
NytoWhite(0)<Speaker>涅托</Speaker>;NPC-MrsGray(0)||<黑屏1>:……是。
