()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>357</BIN><BGM>m_avg_casual</BGM>:……柏林市區，臨時指揮部。+疲憊不堪的指揮官一進門就癱在了沙發上。
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>指揮官，既然你已經平安抵達指揮部，那我們就先休息了。</color>
UMP45Mod(0)<Speaker>指揮官</Speaker><通讯框>||:好，今天你們的任務也結束了。
UMP9Mod(0)<Speaker>UMP9</Speaker><通讯框>||:<color=#00CCFF>45姐快點！再不出門就排長隊了！</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>來了。指揮官，明天見。</color>
()||<SE1>AVG_tele_disconnect</SE1>:通訊結束，指揮官伸手扶了扶額。
RO635Mod(0)<Speaker>RO635</Speaker>||:安潔小姐怎麼樣？
()<Speaker>指揮官</Speaker>||:還行，起碼看起來能輕鬆扭斷我的脖子。
AR15Mod(0)<Speaker>AR15</Speaker>||:說起來，關於瑪赫蓮——
()||<SE1>AVG_doorknock_wood</SE1>:帕羅莎端著一杯濃茶站在門口。
()<Speaker>指揮官</Speaker>||:怎麼了？
VP1915(0)<Speaker>帕羅莎</Speaker>||:指揮官，她醒過來了。+另外我想你應該會需要這個。
()||:接過溫度正好的茶，這在脣齒間徘徊的濃濃香氣讓精神清醒了幾分。
()<Speaker>指揮官</Speaker>||:叫上丹德萊，準備審訊吧。
VP1915(0)<Speaker>帕羅莎</Speaker>||:她去整理伯恩村的資料了。
()<Speaker>指揮官</Speaker>||<黑点1><BGM>BGM_Empty</BGM>:那我們先開始吧。
()||<黑点2><BIN>82</BIN><BGM>GF_EV9_Story</BGM>:房間內，瑪赫蓮已經醒來，正坐在椅子上冷冷地看著指揮官。+指揮官拖來一把椅子，坐在了瑪赫蓮的對面。
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……
()<Speaker>指揮官</Speaker>||:你的名字是瑪赫蓮，對嗎？
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:是。+那你呢？你真的叫羅賓嗎？
()<Speaker>指揮官</Speaker>||:無可奉告，但你可以繼續叫我羅賓。
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……果然。+不管怎樣，你總歸救過我。
()||:指揮官從平板上的資料裡抬起頭，仔細端詳起了瑪赫蓮的樣子。+剛剛從強制昏迷中醒來，瑪赫蓮的臉上還帶著幾分睡意和迷惘。+長相確實和資料中默莉朵的照片近乎一致，但散發出的氣質卻又和默莉朵大相徑庭。+究竟是默莉朵太善於偽裝，還是真的是另一個人？
()<Speaker>指揮官</Speaker>||:你是什麼時候加入的帕拉蒂斯？
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:我從來沒有加入過帕拉蒂斯，我只是一個普通人。
()<Speaker>指揮官</Speaker>||:……+據我所知，有一個帕拉蒂斯少女跟你的外貌完全一致。+你聽過那個名字——默莉朵。+你們之間是什麼關係？
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……
()<Speaker>指揮官</Speaker>||:還是說，你就是她？
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:我的名字只有一個——瑪赫蓮，這是我唯一的稱呼。
()<Speaker>指揮官</Speaker>||:你還是不願意說出你們的關係？
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:她的事我不關心，也不想知道，我只想一輩子都不跟她有任何聯繫。
()||:聽見「默莉朵」，瑪赫蓮的眼中出現了恐懼和痛苦。
()<Speaker>指揮官</Speaker>||:那我們還是回到你的身上吧，找到你的時候，你正在伯恩村。+據我所知，伯恩村是最近幾年才新建立起來的難民收容所，你在伯恩村做什麼？
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……治療輻射病人。
()<Speaker>指揮官</Speaker>||:為什麼？
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:沒有為什麼，既然我具備這樣的能力，我就應該用它來治療那些需要幫助的難民。
()<Speaker>指揮官</Speaker>||:據我所知，這世上並沒有特效藥能夠直接治療輻射病。+目前主流的療法是通過增強患者的抗體來逐步緩和病狀。+但你可以，我親眼看見你只是進行了祈禱，然後做了某種儀式，那位難民就有所好轉。+你到底做了什麼？是用了什麼藥物嗎？
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:是……
()<Speaker>指揮官</Speaker>||:你的藥是從哪裡來的？
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……
()<Speaker>指揮官</Speaker>||:是誰提供給你的藥物？
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……
()||:瑪赫蓮囁嚅著，似乎想要說什麼，但脣齒顫抖了半天終究還是沒能說出口。
()<Speaker>指揮官</Speaker>||:你在害怕什麼？ 
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……+我……
()||:瑪赫蓮沉默了片刻，避開了話題。
