()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<SE1>AVG_Rain2</SE1><边框>2</边框><黑屏2><BIN>157</BIN><common_effect>%%code=CJ_rain%%</common_effect>:……冰冷的雨水砸在了臉上。+砸醒了混在廢棄異構體中逃出基地的自己。
()<Speaker>□□□</Speaker>||<边框>2</边框>:……
()||<边框>2</边框><BGM>GF_21winter_avg_mahaline</BGM>:推開壓在身上的廢棄異構體，緩緩站了起來。+目光所及之處，幾乎都是少女們的屍骸。
()<Speaker>□□□</Speaker>||<边框>2</边框>:……我是？+瑪……赫蓮……
()||<边框>2</边框>:吃力地回想起了自己的名字，但問題接踵而至。
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:我……要去哪兒？+哪兒來……我……
()||<边框>2</边框>:迷茫地走出少女屍骸的溝壑。
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:普通人……活著……
()||<边框>2</边框>:雨水浸濕了身上的繃帶，傷口疼了起來。
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:救……救救他們……
()||<边框>2</边框>:心中涌現出了奇異的畫面……
()||<闪屏><duration>10</duration><rate>20</rate><delay>30</delay><CG>317,328,169,157</CG></闪屏><边框>2</边框>：那是災難般的場景……
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:想……想救他們……+我想……救他們……
()||<边框>2</边框>:身後隱隱傳來了說話的聲音。
()<Speaker>涅托的聲音1</Speaker>||<边框>2</边框>:最近新送來的一批垃圾都在這裡了，是嗎？
()<Speaker>涅托的聲音2</Speaker>||<边框>2</边框>:是的，姐姐。
()<Speaker>涅托的聲音1</Speaker>||<边框>2</边框>:集合所有人力，把她給我找出來。
()<Speaker>涅托的聲音2</Speaker>||<边框>2</边框>:是！
NPC-Machlian(7)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:不……不要……+我不要回去……+我想……想救他們……
()||<边框>2</边框><SE1>RunStep</SE1><黑点1>:抓住這個萌生於心間的閃念，跌跌撞撞向前跑著……+跑……跑……不停歇地跑……+不知道自己跑了多久，也不知道跑了多遠。
NPC-Lilyan(0)<Speaker>？？？</Speaker>||<边框>2</边框><睜眼><BIN>269</BIN><关闭蒙版>:哎呀，姐姐，你身上怎麼這麼狼狽啊？
NPC-Machlian(7)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:我……不要碰我！
NPC-Lilyan(0)<Speaker>艾爾莎</Speaker>||<边框>2</边框>:姐姐別害怕！我叫艾爾莎！+我發誓，我不會傷害你的……
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:……
NPC-Lilyan(0)<Speaker>艾爾莎</Speaker>||<边框>2</边框>:你受了好多傷……
NPC-Elijah(0)<Speaker>？？</Speaker>||<边框>2</边框>:艾爾莎，你在大驚小怪什麼？
NPC-Lilyan(0)<Speaker>艾爾莎</Speaker>||<边框>2</边框>:以利亞姐姐！這裡有個難民需要我們幫助！
NPC-Elijah(0)<Speaker>以利亞</Speaker>||<边框>2</边框>:胡說八道！這哪裡是難民！+這是我們的聖女！
NPC-Lilyan(0)<Speaker>艾爾莎</Speaker>||<边框>2</边框>:聖女？聖女姐姐？
NPC-Elijah(0)<Speaker>以利亞</Speaker>||<边框>2</边框>:你好啊，聖女，你一定就是神派來拯救我們的聖女！
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:我……我不明白……
NPC-Elijah(0)<Speaker>以利亞</Speaker>||<边框>2</边框>:沒關係，你先跟我來吧。+我經營著一家難民收容所，太多人等待著你的拯救……
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<边框>2</边框>:難民……拯救……
NPC-Elijah(0)<Speaker>以利亞</Speaker>||<边框>2</边框>:來……跟我來吧……
NPC-Lilyan(0)<Speaker>艾爾莎</Speaker>||<边框>2</边框>:太好了，我們有聖女姐姐了！
()||<边框>2</边框><黑屏1>:溫熱的小手緊緊握住自己的手。+明明是初次相識的人，心裡卻莫名安心下來。
