()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><SE1>AVG_Water_Drip</SE1>:滴答。+昏暗的廠房中，破裂的管道滴落的冰水在地面上積起了水泊。+濕冷的空氣浸透骨髓，每一次呼吸都刺痛著胸腔。
()<Speaker>瑪赫蓮</Speaker>||<黑屏1>:……艾爾莎。
()<Speaker></Speaker>||<BIN>229</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:唯一的光亮處，堆積如山的屍體將嬌小的女孩圍在中央。
()<Speaker>瑪赫蓮</Speaker>||:艾爾莎……再等等，等等我。+姐姐馬上就給你把藥做出來。
()<Speaker></Speaker>||:從天花板上落下的導管頂端生出了尖銳的刺針，狠狠地扎入了瑪赫蓮的皮膚。
()<Speaker>瑪赫蓮</Speaker>||:嗚！
()<Speaker></Speaker>||:血液在流失。+如同吸血的螞蟥，刺針貪婪地從瑪赫蓮的體內掠奪著養分。+她每往前走一步，落下的導管便越來越多。
()<Speaker>瑪赫蓮</Speaker>||:艾爾……莎。
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:噗通！+渾身都被刺入導管的瑪赫蓮不堪重負，整個人撲倒在了地上。+她艱難地爬行著。+只差一步了。那女孩的背影就在觸手可及的地方。
()<Speaker>瑪赫蓮</Speaker>||:……！！
()<Speaker></Speaker>||:渾濁的水面映出了她的臉。+渾身的血液都被抽乾殆盡，此時的瑪赫蓮，乾枯的面龐就如同一具木乃伊。
()<Speaker>神秘的聲音</Speaker>||:你是個怪物。+你是個用死人屍體造出來的怪物！
()<Speaker>瑪赫蓮</Speaker>||:不……不……+不是，我不是！
NPC-Lilyan(0)<Speaker>艾爾莎</Speaker>||:聖女……姐姐？
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:艾爾莎！
NPC-Lilyan(0);NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:瑪赫蓮猛地抬起了頭，看到艾爾莎的臉時卻心裡一緊。+她潰爛的臉仍在不斷地流血，逐漸硅化的皮膚也在撕裂原本就脆弱無比的肉體。
NPC-Lilyan(0)<Speaker>艾爾莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:姐姐……我好痛……
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<黑屏1>:艾爾莎……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||<黑屏2><BIN>9</BIN><SE1>Heartbeat</SE1>:咕嚕——+水泊內驟然伸出無數雙發黑腐爛的手，將艾爾莎的身體生生扯入了深淵之中。
NPC-Machlian(7)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:不！+艾爾莎！
NPC-Machlian(7)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<BGM>BGM_Empty</BGM><震屏>:艾爾——！
()<Speaker></Speaker>||<BGM>BGM_Truth</BGM><BIN>202</BIN><闪屏><duration>5</duration></闪屏>:從夢中驚醒過來，瑪赫蓮的眼前，卻是熟悉的格里芬指揮部。
()<Speaker>指揮官</Speaker>||:瑪赫蓮？你醒了？
()<Speaker></Speaker>||:眾人圍在戰術桌前，似乎正在討論著什麼。+指揮官看向躺在沙發上的瑪赫蓮，皺了皺眉。
()<Speaker>指揮官</Speaker>||:怎麼了？你看起來臉色不太好。
AR15Mod(4)<Speaker>AR15</Speaker>||:她臉色怎麼會不太好？+這種時候都睡得著，心態好著呢。
AR15Mod(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:好可惜喔！我還想等開完會就在你臉上畫畫呢！
AR15Mod(4)<Speaker>AR15</Speaker><Shake>||:你還敢提這個！？
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:我……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:瑪赫蓮揉了揉眼睛，深吸了一口氣。
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……對不起，我沒事。+你們在討論什麼？
NytoIsomer(7)<Speaker>丹德萊</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:我們距你提供的坐標只有不到五十米的距離。+剛才我們下車去做了一次前瞻調查，確定那裡是個廢棄的工廠。+在正式進去之前，我們需要一個完整的計劃。
NytoIsomer(7);NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:我們到了！？
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||<SE1>AVG_lifttable</SE1>:瑪赫蓮聞言猛地從沙發上翻身而起，膝蓋撞在了茶几上。
NPC-Machlian(5)<Speaker>指揮官</Speaker>||:小心。
NPC-Machlian(7)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……呃。
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:瑪赫蓮捂著被撞到的地方，跌跌撞撞地來到了桌旁。
AR15Mod(4)<Speaker>AR15</Speaker>||<BGM>BGM_Empty</BGM>:……裝模作樣。
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<BGM>BGM_Sneak</BGM>:這是……地圖？
NytoIsomer(7)<Speaker>丹德萊</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:是的，這是我掃描的結果，和你的了解有誤差嗎？
AR15Mod(4)<Speaker>AR15</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:……這可是帕拉蒂斯的地盤，你確定要問她？
NytoIsomer(7)<Speaker>丹德萊</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:只是做一個確認。+如果你不信任她，可以單看我的地圖。
AR15Mod(4)<Speaker>AR15</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:真是個討厭的二選一……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:瑪赫蓮沉默著看起了呈現在桌面上的切麵圖。
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……跟我的記憶並沒有很大的出入。+太神奇了，你居然站在門口就能掃描這麼大的範圍？
NytoIsomer(7)<Speaker>丹德萊</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:我在這方面略有造詣。
NytoIsomer(7);RO635Mod(0)<Speaker>RO635</Speaker>||:地形我們差不多已經了解了。+保安方面呢？
NytoIsomer(7)<Speaker>丹德萊</Speaker>;RO635Mod(0)||:沒有發現任何帕拉蒂斯士兵或涅托的存在。+裡面空空盪蕩，和瑪赫蓮的說法一致，應該是已經廢棄了。
NytoIsomer(7)<Speaker>指揮官</Speaker>;RO635Mod(0)<同时置暗>||:瑪赫蓮，你……真的是從這個工廠逃出來的？
NytoIsomer(7);NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<BGM>BGM_Empty</BGM>:……嗯。
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||<BGM>m_avg_labyrinth</BGM>:夢魘彷彿要與現實重疊在一起，瑪赫蓮看著眼前的地圖，眼前一黑，雙手撐在了桌面上。+強忍著嘔吐的慾望，她慢慢將呼吸調整均勻。
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……我在這裡誕生，並接受帕拉蒂斯的調試，實驗。+當他發現我身為部分免疫體的資質後，他就著手研發了以我的血為原料的血清。+他的本意……大概並不是為了救人。+但在我逃出來的時候，我還是帶走了這些能夠治癒輻射病患者的藥物。
VP1915(0)<Speaker>帕羅莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:你是怎麼逃出來的？
VP1915(0);NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:他們當時正在著手撤離這裡。+實驗素材的屍體，可搬運的設備，還有其他的一些物品……+我不知道發生了什麼，但當時所有人都很著急。+我趁沒有人注意我的時候……一直跑，一直跑。+直到……跑到伯恩村。
AR15Mod(4)<Speaker>AR15</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||<BGM>BGM_Empty</BGM>:真是輕鬆呢。+哦，不對。+這個叫爭天奪運是吧？
AR15Mod(4);RO635Mod(0)<Speaker>RO635</Speaker>||<BGM>BGM_Sneak</BGM>:15，你一點都不適合含沙射影。
AR15Mod(4)<Speaker>AR15</Speaker>;RO635Mod(0)||:你管我！
AR15Mod(4)<Speaker>指揮官</Speaker>;RO635Mod(0)<同时置暗>||:……這樣的話，怎麼能肯定製作血清的設備還在裡面？+也許他們撤離的時候連那個也一起帶走了呢？
