()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>527</BIN><narrator>:「未來號」洲際列車 柯爾特快車
()||<BGM>GF_2022_Summer_AVG_4</BGM>:瑪姬端坐在桌子的一邊，帶著微笑看向對面的黑影。+在黑影面前的桌上，一張黑桃K端放在那裡，被壓在酒杯的下面。
ColtWalker(3)<Speaker>瑪姬</Speaker>||:這是「她」的定位。
NPC-Tareus(2)<Speaker>黑桃K</Speaker>||:……收到。
ColtWalker(3)<Speaker>瑪姬</Speaker>||:那麼「皇家賭場」這個委託單的尾款？……我什麼時候能收到呢？
NPC-Tareus(2)<Speaker>黑桃K</Speaker>||:……會有人負責。
()||:黑桃K冷淡地隨口應付了一下瑪姬，便從她的眼前消失了，正如她來時一樣無聲無息。
()||<黑屏1>:
()||<黑屏2><BIN>467</BIN><narrator>:「未來號」洲際列車 柯爾特快車 最後一節車廂
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>||:總算回來了……
()||:看見瑪姬出現在車廂，凱瑟琳長嘆一口氣。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>||:現在外有不明軍隊，內有律賊。+車廂還漏水……+這種超難訂單希望以後都不要再有了！+早知道，就不該貪尼古拉那筆錢。
NPC-Scalper(3);ColtWalker(3)<Speaker>瑪姬</Speaker>||:……別嘀嘀咕咕整天說一些沒用的事了。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(3)||:那你說點有用的！+現在不是沒我們事兒麼……
NPC-Scalper(3);ColtWalker(3)<Speaker>瑪姬</Speaker>||:誰說的……+接下來的事多著呢。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(3)||:打住打住……別說這個了，一說我就頭大。+你這一次下注風險是不是太大了？+我還以為你會跟以前一樣，在兩個雇主打架的時候兩頭押注。
NPC-Scalper(3);ColtWalker(1)<Speaker>瑪姬</Speaker>||:……人生也有隻能踩一條船的情況啊。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(1)||:外面的那些裝甲車會怎樣呢？+我還沒見過這種陣仗……
NPC-Scalper(3);ColtWalker(1)<Speaker>瑪姬</Speaker>||:所以你知道為什麼絕對不要輕易接下除了自己主導以外的黑市天價委託單了吧……+我只想賺點更換素體和安享晚年的錢，不想跟這幫不要命的人搞在一起。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>;ColtWalker(1)||:但現在的世界越來越混亂了。+有時候輪不到我們來做選擇啊。
NPC-Scalper(3);ColtWalker(1)<Speaker>瑪姬</Speaker>||:人類從來不吸取任何教訓。+他們用初級的武器打一戰，用精良的武器打二戰，用全自動化的武器打三戰。+……誰知道四戰還有多遠啊。
NPC-Scalper(3)<Speaker>凱瑟琳</Speaker>||:……算了，我不想想那麼久遠的事。
()||<SE1>ClothingUp</SE1>:唰。+凱瑟琳的身影從車廂內消失了。
ColtWalker(1)<Speaker>瑪姬</Speaker>||:……真的久遠嗎？+天塌了也有個子高的頂，我操心又有什麼用呢。
()||<SE1>ClothingUp</SE1>:唰。+瑪姬的身影也從車廂內消失了。+……
()||<黑点1>:
()||<黑点2><BIN>528</BIN><narrator>:「未來號」洲際列車 F09車廂（餐車）
()||<BGM>GF_2022_Summer_AVG_2</BGM><SE1>AVG_Amb_Rain_0</SE1>:沙沙……+雨點打在車廂的玻璃上，敲擊著靜默的心。+沒有人再吵鬧著下車。+絕望的氣息開始在狹小的車廂內彌散開。
NPC-TD_Porter(0)<Speaker>蘇珊娜</Speaker>||:……
()||<SE1>Stop_AVG_loop</SE1>:蘇珊娜站在門邊，當門扉掩上的時候，她彷彿還能看到雨幕中那具屍體死不瞑目的樣子。+車廂內的乘客們彼此確認著受傷情況，默默等待著也許會出現，也許永遠不會出現的黎明。
Erma(1)<Speaker>艾爾瑪</Speaker>||:……你躺下會舒服一點。
()||<SE1>ClothingUp</SE1>:艾爾瑪小心翼翼地護著柳德米拉的右邊手臂。+而對方絲毫沒有病號的自覺，用沉默的眼神冷冷地看著遠處的燈光。
Erma(1)<Speaker>艾爾瑪</Speaker>||:……你真的不坐下來休息嗎？
()||:柳德米拉似乎終於無法忍受，回頭看了她一眼。
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>||:我傷的是手，不是腿。+而且這點小傷不算什麼。
Erma(1)<Speaker>艾爾瑪</Speaker>||:……可是，本來應該我保護你的。
()||:柳德米拉有些錯愕。
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>||:？
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:我才是姐姐啊。+應該我保護你，就像「母親」保護我那樣。
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:……你想多了。+他不是你的「母親」，他也不會保護你。
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:……我不信。+你太喜歡騙人了。
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:？
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:如果你不認為自己是我的妹妹，那你為什麼會保護我？+<color=#66CDAA>放心吧，你是蘇聯特務的事，我誰也不會說的。</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>||:……
()||:柳德米拉想說無論是誰，在那種情況下她都會伸出援手。+就像身為教官的自己，無數次做過的那樣。+但這真的是休謨博士的作品嗎？+……她最終的結局如果依舊是瘋狂，那會是怎樣一番景象？
Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>我在夏園裡給你專門製作了一把鑰匙。</color>+<color=#66CDAA>將來如果我忘記你，只要有人在我面前提起柳德米拉這個名字，我就會想起你來。</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:……記憶錨點？
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>對，我的心智裡它們是鑰匙的形狀。</color>+<color=#66CDAA>雖然可能過陣子我會忘記你，不過沒關係，總有一天我會想起來。</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:……+你別再尋找休謨博士了。+忘了他，隨便找一份工作，作為自由人形活下去。
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>……不行。</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:為什麼這麼堅持？
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>我說過了，我想做一個完整的「自己」。</color>+<color=#66CDAA>每一份記憶都對我彌足珍貴，它們會塑造我，陪伴我，安慰我。</color>+<color=#66CDAA>如果我在不經意間忘記了那些人那些事。</color>+<color=#66CDAA>這對他們來說很不公平！</color>+<color=#66CDAA>……那我也太過分了……</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:記憶裡不是只有美好。
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>那又怎樣？</color>+<color=#66CDAA>美好的記憶是我的，痛苦的記憶也是我的。</color>+<color=#66CDAA>它們一起，才拼成了完整的我。</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:……那就去吧。
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>嗯？</color>+<color=#66CDAA>你同意告訴我「休謨博士」的事情了？</color>+<color=#66CDAA>不再討厭提起他了？</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:……沒有。
Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>好吧，那我們換個話題。</color>+<color=#66CDAA>……你怎麼知道那些不是救援小隊？</color>+<color=#66CDAA>蘇珊娜小姐打出的信號他們不是給出回應了嗎？</color>
()||:柳德米拉嘆了口氣。
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>||:他們來得太快了。
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>我們開出華沙不遠，而且這麼大的動靜，外面應該很快就會收到消息吧……</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||:就算正巧有附近的救援部隊能第一時間趕到，也不會擺出那樣的陣型。+……那是裝甲部隊的攻擊陣型。
AR18(6)<Position>0,70</Position>;Erma(2)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>裝甲部隊……攻擊陣型？</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(2)||:沒有哪一個國家的救援會擺開攻擊陣型。+醫生應該帶血包，而不是刺刀。
Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>……原來如此。</color>
()||<BGM>BGM_Empty</BGM>:此時，一個聲音突然傳來。
ColtWalker(1)<Speaker>瑪姬</Speaker>||:……柳德米拉教官你自言自語些什麼？
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;ColtWalker(1)||:……
AR18(6)<Position>0,70</Position>;Erma(1)<Speaker>艾爾瑪</Speaker>||:<color=#66CDAA>……哎呀我忘記我是在直接跟你對話了。</color>
AR18(6)<Speaker>柳德米拉</Speaker><Position>0,70</Position>;Erma(1)||<BGM>GF_2022_Summer_AVG_3</BGM>:……+什麼事？
