()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>139</BIN><BGM>GF_Swim_Marnie</BGM>:……距現在十個月前，慈善晚會。+身著華貴禮服的人們游走在酒席間，觥籌交錯，好不熱鬧。+尼古拉混跡其中，如魚得水。
()<Speaker>晚會主持人</Speaker>||:……感謝各位來賓的捧場，我很榮幸地在此宣布，慈善拍賣環節正式開始！
()||<SE1>AVG_applause_indoor</SE1>:潮水般的掌聲響起，尼古拉敷衍地鼓著掌，同時在人群中搜索著值得下手的目標。
()<Speaker>晚會主持人</Speaker>||<SE1>Stop_AVG_loop</SE1>:我們的第一件藏品是由塔奇拉美術館提供的阿爾希普·伊凡諾維奇·庫因芝所繪的《第聶伯河上的月夜》。+負責人瑪姬小姐是這樣介紹這幅名畫的——+這幅畫採用了留白的構圖方式，深藍色的夜空下，河水在月光的照耀下發出幽幽的藍光，連圓月周圍的雲彩也是靜謐的藍，而恰到好處的留白更是渲染出了空間的寂靜……
NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||:……
()||:主持人還在台上滔滔不絕，而尼古拉手中的香檳杯早已停滯多時。+沉思了半晌後，尼古拉臉上凝滯的表情漸漸化開，露出了隱藏其下的狡黠的微笑。
NPC-NervousMan(1)<Speaker>尼古拉</Speaker>||<黑屏1>:這可真是我離開律賊以後的最好的消息。
()||<黑屏2><Night><BIN>97</BIN><SE1>AVG_20Winter_People_Discussion_Loop</SE1>:……慈善晚會外，人流擁擠的走廊。+塔奇拉美術館的負責人瑪姬正和感興趣的賓客熱絡地聊著天。
()||<SE1>Stop_AVG_loop</SE1>:尼古拉搖晃著手中的香檳杯，看似漫不經心地來到了瑪姬的身邊。
NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||:《第聶伯河上的月夜》，這失傳已久的名畫，真是好久沒有聽見它的消息了。
ColtWalker(1)<Speaker>瑪姬</Speaker>||:是的，我們塔奇拉美術館也是多方打聽、費了好一番功夫才找到的。+這位先生怎麼稱呼？
ColtWalker(1);NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||<BGM>BGM_Empty</BGM>:尼古拉·瓦西里耶維奇，叫我尼古拉就好。
ColtWalker(2)<Speaker>瑪姬</Speaker>;NPC-NervousMan(0)||:您好，尼古拉先生。裡面正在進行畫作的拍賣，感興趣的話，可不要錯過。
ColtWalker(2);NPC-NervousMan(0)<Speaker>尼古拉</Speaker>||<BGM>BGM_stage11</BGM>:我對這幅畫作確實很感興趣，但很遺憾，我並不想拍下它。+因為這只是一幅贗品。
ColtWalker(4)<Speaker>瑪姬</Speaker>;NPC-NervousMan(0)||:……
ColtWalker(4);NPC-NervousMan(0)<同时置暗><Speaker></Speaker>||:圍繞在瑪姬身邊的喧囂驟停，瑪姬臉上保持著從容的笑容。
