()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>563</BIN><黑屏2><BGM>BGM_Scar_Shenzhizi</BGM>:薩摩的心智空間。+像往常一樣，薩摩抽出自己的椅子坐下，圍繞在身邊的七把椅子已經坐滿了人。
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:那種熟悉的感覺湧上來……
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:……這個女孩身上，有關於我們的回憶。
()<Speaker>？？</Speaker>||:是誰的……
()<Speaker>？？？</Speaker>||:十三年了……我們終於可以……+可以分清楚誰是誰了嗎？
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:……也許。
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:關於那個女孩，一共有七段記憶。+因為我們無法對外顯示身份，也沒有向那個女孩披露任何資訊。+所以目前唯一能夠確定身份的是其中一段教學的回憶。
NPC-SCAR-H(1)<同时置暗><Speaker>？？？</Speaker>||:教學？
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:我們中間那個人教會了她如何拆除炸彈以及……射擊。+那段記憶裡，「我」的視角能看見自己所持的槍械。
NPC-SCAR-H(1)<同时置暗><Speaker>？？</Speaker>||:是誰？
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:優拉。
()||<SE1>AVG_Applause</SE1>:一陣掌聲響起。
()<Speaker>？？</Speaker>||:恭喜你，找回了自己的記憶。
()<Speaker>？？？</Speaker>||:恭喜，你的名字是優拉。
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:……優拉，嗎？
()<Speaker>？？？？</Speaker>||:我們又向前走了一步。
()<Speaker>？？？</Speaker>||:對，這是一個很大的進步。
()<Speaker>？？</Speaker>||<黑点1>:是的優拉，恭喜你找回了自己的名字。
()||<BGM>BGM_Empty</BGM><黑点2><BIN>9</BIN>:……
()||<黑屏1>:
()||<睁眼><BIN>548</BIN><BGM>GF_21winter_avg_mahaline</BGM><SE1>AVG_Knock</SE1>:砰砰砰——+有人用力敲門的聲音，將薩摩從心智深處中喚醒。
NPC-Cheryl(0)<Speaker>謝麗爾</Speaker><Position>0,-100</Position>||:別緊張，是我的快遞……
()||<SE1>RunStep</SE1>:謝麗爾去開門，拿回了快遞。
()<Speaker>謝麗爾</Speaker>||:這是我給你買的蓄電池，本來是準備今天帶你去換上的。+這樣，你或許電量能撐得久一點……
()<Speaker>薩摩</Speaker>||:……
NPC-Cheryl(0)<Speaker>謝麗爾</Speaker><Position>0,-100</Position>||:雖然我也只買得起二手的，但我覺得應該會比你現在的電池好用。
NPC-SCAR-H(1)<Speaker>薩摩</Speaker>||:……+我有事想跟你說。
NPC-Cheryl(0)<Speaker>謝麗爾</Speaker><Position>0,-100</Position>||:怎麼了？
()||<SE1>AVG_Cloak_Whoosh</SE1>:薩摩沉默地走到謝麗爾的身邊，從雜亂的衣服中開闢出一片足以坐下的空地。
