()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<睜眼><BIN>588</BIN><SE1>AVG_wind_grass</SE1>:安靜的清晨，只有窗外小鳥的啾鳴和窗簾被風拂動的沙沙聲。
()||<BGM>BGM_Saga_AVG_Dusk</BGM>:你在溫暖的被窩中慵懶地伸了個懶腰，今天上午沒有什麼緊急日程需要你去完成，你可以盡情地睡到想起為止。
()<Speaker>指揮官</Speaker>||:……
()||:不是的，你其實有一件重要的事情需要去做。+你很清楚這一點，但總是下意識地想要再往後拖一拖。+對著被窩裡溫暖的黑暗嘆了口氣，你走下床，來到放置衣物的桌邊。
()<Speaker>指揮官</Speaker>||:嗯？
()||<common_effect>%%code=Saga_Tae_item%%</common_effect>:在你整齊疊好的衣物旁邊，放著一碟魷魚絲。+你一眼認出那個盤子是妙送你的那塊木頭做的，畢竟上面的花紋可是你在純子的幫助下親手繪製的。
()<Speaker>指揮官</Speaker>||<关闭蒙版>:不對勁啊……
()||:你捏起一把盤中盛放得冒尖的魷魚絲，放在鼻端小心地嗅聞著——
()<Speaker>指揮官</Speaker>||:很新鮮，沒有聞出什麼異味，是妙會立刻塞到嘴裡的類型。+……那它怎麼會在這裡？
()||:妙的嗅覺非常靈敏，想要進入你的房間更是沒有障礙。+你想不明白這碟魷魚絲倖存的理由，更想不明白它為什麼會在這裡。
()<Speaker>指揮官</Speaker>||:妙？你在嗎？
()||<黑点1>:你試探性地問了問，果然沒有回應。+於是你換好衣服，走出房間，開始尋找妙。
()||<黑点2><闪屏><duration>10</duration><rate>20</rate><delay>30</delay><CG>574,604,588</CG></閃屏>:你找遍了洋房的各個角落，但妙似乎不在這裡，可能是出門散步去了。+回到臥室，你又一次來到桌邊，凝視著這一碟神秘的魷魚絲。
()<Speaker>指揮官</Speaker>||:是錯覺嗎，總感覺好像比之前少了點？
()||:魷魚絲安靜地躺在木盤上，帶著狡黠的微笑，選擇保持沉默。+你只好搖搖頭，繼續收拾起了你為數不多的行李。+是的，這正是你現階段最重要的目標——+你該回到格里芬基地了。
()<Speaker>指揮官</Speaker>||:……
()||:從一開始，你這趟旅程的終點就已經標明，留給你的，只有以何種方式抵達終點的選擇而已。+你將自己剛疊好的衣物和一些隨身的重要物品放在一起，然後從床底抽出法蘭秀秀為你準備的行李箱，準備將它們放進箱中。+這樣一來，它們就和你之前收拾好的東西一起組成你完整的歸家行李。
()<Speaker>指揮官</Speaker>||:行李箱怎麼這麼重？+……+等一下……
()||<BGM>BGM_Empty</BGM>:一個閃念飛過你的心間，被你一把抓住。
()||<SE1>AVG_Zipper</SE1>:你輕柔地放下行李箱，緩緩拉開拉鏈，然後——
()||<SE1>ClothingUp</SE1>:唰——
NPC-Tae(0)<Speaker>山田妙</Speaker><Position>0,-290</Position><Scale>1.3</Scale><GradientShow>2</GradientShow>||<BGM>10381</BGM>:嘎……啊……（好像是在問好）
NPC-Tae(0)<Speaker>指揮官</Speaker><Position>0,-290</Position><Scale>1.3</Scale><同时置暗>||:果然是你！+說吧，這次又把我的行李藏到哪裡去了？
NPC-Tae(0)<Speaker>山田妙</Speaker><Position>0,-290</Position><Scale>1.3</Scale>||:呃啊……唔唔……（一臉天真無辜的樣子）
NPC-Tae(0)<Speaker>指揮官</Speaker><Position>0,-290</Position><Scale>1.3</Scale><同时置暗>||:……
()||:你無奈地坐在了行李箱邊，看著妙寶貝般地聚攏起自己放在行李箱中的魷魚絲。
()<Speaker>指揮官</Speaker>||<黑屏1>:上一次也是這樣……
()||<黑屏2><BIN>593</BIN><回忆>:那時候，你背著裝好行李的背包，正準備去找夕霧介紹給你的一位朋友。
NPC-Tae(6)<Speaker>山田妙</Speaker><Position>0,-290</Position><Scale>1.3</Scale>||:啊啊……呃啊……（語氣有幾分驚訝，可能是在問你怎麼在這裡）
NPC-Tae(6)<Speaker>指揮官</Speaker><Position>0,-290</Position><Scale>1.3</Scale><同时置暗>||:哦，是妙。
()||:你看了看她手裡提著的口袋，裡面應該是今晚的食材，看來妙是在幫忙跑腿。
()<Speaker>指揮官</Speaker>||:跑腿辛苦了，快回去吧，夕霧一定還在等你。
NPC-Tae(6)<Speaker>山田妙</Speaker><Position>0,-290</Position><Scale>1.3</Scale>||:……
()||:妙呆呆地看著你的背包，你以為她是在眼饞裡面可能存在的食物，於是笑著將背包打開主動接受檢查。
()<Speaker>指揮官</Speaker>||:看吧，裡面沒有好吃的，都是我的行李。
NPC-Tae(6)<Speaker>山田妙</Speaker><Position>0,-290</Position><Scale>1.3</Scale>||:呃唔……唔啊啊？（能聽出疑問的語氣）
NPC-Tae(6)<Speaker>指揮官</Speaker><Position>0,-290</Position><Scale>1.3</Scale><同时置暗>||:嗯？是在問我為什麼要背著行李嗎？+我在尋找回家的路，妙，未來的某一天我將回到我來的地方。
NPC-Tae(6)<Speaker>山田妙</Speaker><Position>0,-290</Position><Scale>1.3</Scale>||:……
