()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>577</BIN><BGM>BGM_Saga_AVG_Dusk</BGM><Night>:
()||<SE1>AVG_AMB_waves_and_seagulls_oneshot</SE1>:……夜晚的海邊和白晝是完全不同的。+白天的大海情緒穩定，淨亮的浪潮一個卷著一個翻倒在岸邊。+但夜晚的海是憂愁易怒的，浪潮含著滿嘴泥沙，渾濁地撲向海岸線，將滿腔憤怒拍在你的腳背。
()<Speaker>指揮官</Speaker>||:……
()||:你獨自走在海邊，感受著海風輕撫你的額頭。+在這樣的寂靜時刻，你心中平日被瑣事壓下的種種思緒才會清晰地浮出水面。
()<Speaker>指揮官</Speaker>||:那是……
()||:錚錚錚……三味線聲隨著浪花的翻涌時隱時現，你循聲望去，看見一個倩麗的身影獨自站在海邊。
NPC-Yugiri(4)<Speaker>夕霧</Speaker><Position>120,-150</Position><Scale>1.85</Scale><GradientShow>2</GradientShow>||:♪……
()<Speaker>指揮官</Speaker>||:……
()||:你悄然走近，聽見她輕聲哼唱著什麼曲調，是你從未聽過的。
NPC-Yugiri(1)<Speaker>夕霧</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||<SE1>Stop_AVG_loop</SE1>:……指揮官？
NPC-Yugiri(1)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:我只是散步恰好路過，打擾到你了嗎？
NPC-Yugiri(4)<Speaker>夕霧</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:沒有的。
()||:夕霧溫婉一笑，放下了撥子。
()<Speaker>指揮官</Speaker>||:我從沒聽過你唱這首。
NPC-Yugiri(4)<Speaker>夕霧</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:這是我家鄉的小調，在佐賀恐怕很難能聽見呢……
NPC-Yugiri(4)<Speaker>指揮官</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:你不是佐賀出生的嗎？
NPC-Yugiri(4)<Speaker>夕霧</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:不是哦，我原本在江戶生活，後來才跟隨故人來到佐賀。
