()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><SE1>AVG_Gunfire</SE1><BIN>41</BIN><BGM>10082</BGM>:砰砰砰！廢棄城鎮中，槍聲如煙火般一直未曾停歇。
NPC-Pamzan(4)<Speaker>拉姆贊</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>安娜，交替掩護撤退，你立刻帶著三排進行火力掩護！</color>
NPC-Ange(29)<Speaker>安娜</Speaker>||:收到，但是我方彈藥告急。
NPC-Pamzan(6)<Speaker>拉姆贊</Speaker><通讯框>||:<color=#00CCFF>想辦法！</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:滴。
()<Speaker></Speaker>||<震屏3><SE1>AVG_Punch</SE1>:安娜踹開腳下泥濘的泥土，看向三排僅剩的四名倖存者。
NPC-Ange(29)<Speaker>安娜</Speaker>||:再次聯繫上級指揮部！
NPC-Wiktor(0)<Speaker>一班長維克多</Speaker><Position>0,60</Position>||<SE1>AVG_tele_disconnect</SE1>:訊號丟失，聯繫不上！
NPC-Ange(29)<Speaker>安娜</Speaker>||:臨時集合點還有三個人，讓他們過來接應！
NPC-Wiktor(0)<Speaker>一班長維克多</Speaker><Position>0,60</Position>||:有訊號，但是沒人響應！
NPC-Ange(29)<Speaker>安娜</Speaker>||:……節省彈藥，注意隱蔽！
()<Speaker></Speaker>||<SE1>Select</SE1>:安娜在瞄準鏡中鎖定了目標，扣下扳機。
()<Speaker></Speaker>||<SE1>AVG_rifle_finalshot_n</SE1><震屏3>:砰！一名敵人應聲而倒，安娜立刻俯身。
()<Speaker></Speaker>||<controll_shake>%%type_id=2%%duration=2%%delay=0.1%%range=5</controll_shake><SE1>AVG_2022Saros_Gunpast</SE1>:下一刻，子彈擦著牆體飛了過去！
NPC-Alexander(0)<Speaker>亞歷山大</Speaker><Position>0,60</Position>||<SE1>AVG_weapon_reload</SE1>:排長，上尉他們快到預定位置了！
NPC-Ange(29)<Speaker>安娜</Speaker>||:三排！收縮防線！準備後撤！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:安娜端著槍，快速確定了新一段撤退路線。
NPC-Alexander(0)<Speaker>亞歷山大</Speaker><Position>0,60</Position>||:媽的是黑巴曼蛇嗎？咬得這麼緊！
()<Speaker></Speaker>||<SE1>AVG_rifle_finalshot_n</SE1><SE1>RunStep</SE1>:砰——亞歷山大用單發射擊壓制著敵人的火力，隨後趕到安娜身旁數米的距離。
NPC-Alexander(0)<Speaker>亞歷山大</Speaker><Position>0,60</Position>||:維克多，待會兒再收拾那台破機器，快過來！
NPC-Wiktor(0)<Speaker>一班長維克多</Speaker><Position>0,60</Position>||:來了！欸，有訊號了？！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:維克多高興地舉起通訊儀器——
()<Speaker></Speaker>||<震屏3><SE1>AVG_rifle_finalshot_h</SE1>:砰！
()<Speaker></Speaker>||<SE1>AVG_Bullet_Hit_Body</SE1><SE1>AVG_21Winter_Phone_Crash</SE1>:子彈穿過將儀器擊得粉碎，連同維克多的手。
NPC-Wiktor(0)<Speaker>一班長維克多</Speaker><Position>0,60</Position><Shake>0.1</Shake>||<controll_shake>%%type_id=2%%duration=3%%delay=0.1%%range=8</controll_shake>:<size=50>啊啊啊啊啊——！！！</size>
NPC-Alexander(0)<Speaker>亞歷山大</Speaker><Position>0,60</Position>||:維克多，快隱蔽！
