()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
NPC-Pamzan(12)<Speaker>甘拉狄</Speaker><Position>0,-70</Position>||<BIN>658</BIN><Night><黑屏2><BGM>10082</BGM>:哈哈……
()||:他發出低沉又狂妄的笑聲，手中的槍已然耗盡了彈藥。+站在他對面的安潔固執地舉起手槍，顫抖的手指遲遲沒有扣下扳機。
NPC-Pamzan(12)<Speaker>甘拉狄</Speaker><Position>0,-70</Position>||:你為什麼不開槍？沒記錯的話，你還有最後一顆子彈。
NPC-Ange(19)<Speaker>安潔</Speaker>;NPC-Pamzan(12)<Position>0,-70</Position>||:……
NPC-Ange(19);NPC-Pamzan(12)<Speaker>甘拉狄</Speaker><Position>0,-70</Position>||:還是說，你想留給自己？
NPC-Ange(22)<Speaker>安潔</Speaker>;NPC-Pamzan(12)<Position>0,-70</Position>||:告訴我，到底發生了什麼？+你的身上，到底發生了什麼？
NPC-Ange(22);NPC-Pamzan(13)<Speaker>甘拉狄</Speaker><Position>0,-70</Position>||:你不配問出這個問題！+你是一切悲劇的始作俑者，大哥和紗那都被你親手殺害……
NPC-Ange(22)<Speaker>安潔</Speaker>;NPC-Pamzan(13)<Position>0,-70</Position>||:你到底在說些什麼？+別斯蘭的事情你忘了嗎？！
NPC-Pamzan(13)<Speaker>甘拉狄</Speaker><Position>0,-70</Position>||<黑屏1>:死也不會忘！+在別斯蘭，他們……都死在你的槍下……
NPC-Ahmin(0)<Speaker>艾赫明</Speaker>||<黑屏2><BIN>654</BIN><边框>2</边框>:安潔……為什麼？
NPC-Sana(3)<Speaker>紗那</Speaker><Position>0,210</Position>||<边框>2</边框>:安潔姐姐，不要拿槍指著我好嗎？我很害怕……
NPC-Ange(19)<Speaker>安潔</Speaker>||<边框>2</边框>:……
()||<边框>2</边框>:即便艾赫明和紗那苦苦哀求，安潔也沒有放下手中的槍。
()<Speaker>甘拉狄</Speaker>||<边框>2</边框>:你在幹什麼！把槍放下！
NPC-Ange(20)<Speaker>安潔</Speaker>||<边框>2</边框>:……
()||<SE1>RunStep</SE1><边框>2</边框>:聽見狂奔而來的甘拉狄的呼喊，安潔只是回頭冷笑了下。
()||<BIN>9</BIN><SE1>AVG_rifle_finalshot_h</SE1>:砰——
()||<SE1>AVG_rifle_finalshot_3h</SE1><黑屏1>:砰砰砰——
NPC-Pamzan(10)<Speaker>甘拉狄</Speaker><Position>0,-70</Position>||<黑屏2><BIN>658</BIN><Night>:殺了你！現在就殺了你！
()||<SE1>RunStep</SE1>:被憤怒驅使，他丟掉了彈藥耗盡的槍支，衝向了安潔。
()||<SE1>ClothingUp</SE1>:安潔立刻撿回了手槍，翻滾向掩體後。
NPC-Ange(22)<Speaker>安潔</Speaker>||:我從來沒有……也絕不可能對她們開槍……
NPC-Pamzan(13)<Speaker>甘拉狄</Speaker><Position>0,-70</Position>||:<size=50>殺了你！殺了你！殺了你！</size>
()||<SE1>RunStep</SE1><黑屏1>:怒意在血液中狂湧，他提著手中的刀不顧一切地衝向安潔——
NPC-Sana(1)<Speaker>紗那</Speaker><Position>0,210</Position>||<黑屏2><BIN>129</BIN><边框>2</边框>:老師怎麼還沒來？
NPC-Ahmin(1)<Speaker>艾赫明</Speaker>||<边框>2</边框>:就快了，先喝點牛奶吧？一會就要涼了。
NPC-Sana(3)<Speaker>紗那</Speaker><Position>0,210</Position>||<边框>2</边框>:我不愛喝嘛，你幫我喝！
()||<边框>2</边框>:溫熱的牛奶杯來到了他的面前。
()<Speaker>甘拉狄</Speaker>||<边框>2</边框>:不行哦，紗那，要是老師來了發現你還沒喝光牛奶，一定不會帶你去玩的。
NPC-Sana(4)<Speaker>紗那</Speaker><Position>0,210</Position>||<边框>2</边框>:……那不行，哼！你們都不幫我！
